ref.date,dlsp_exchange_adjustment,expect_focus_fiscal_dlsp_ny,expect_focus_fiscal_primary_balance_ny,expect_focus_fiscal_nominal_balance_ny
2013-01-01,17843.21573207,33.1,2.5,-2
2013-02-01,4139.95102174,33.2,2.4,-2.05
2013-03-01,-12454.954528919998,33.1,2.3,-2.05
2013-04-01,3944.0572533,34,2,-2.5
2013-05-01,-42044.73284659,34.9,1.55,-2.9
2013-06-01,-26748.168257949997,35,1.58,-3.1
2013-07-01,-23901.52863719,34.9,1.45,-3
2013-08-01,-26350.971455870003,34.85,1.4,-3.17
2013-09-01,45479.41491292001,34.5,1.5,-3.2
2013-10-01,8655.92580548,34.55,1.5,-3.4
2013-11-01,-38883.52026196,34.5,1.5,-3.5
2013-12-01,-5601.912100890001,35,1.4,-3.5
2014-01-01,-26491.783244180002,35,2,-3
2014-02-01,29521.977795029998,35,2,-3.25
2014-03-01,22206.845583010003,35,2,-3.4
2014-04-01,8527.611742020003,35,2,-3.48
2014-05-01,-951.5744714699998,35.1,2,-3.55
2014-06-01,11534.428991919998,35,1.9,-3.6
2014-07-01,-20490.903407989994,35,1.9,-3.55
2014-08-01,8683.506372709999,35,1.9,-3.6
2014-09-01,-65547.13133312999,35.45,1.8,-3.6
2014-10-01,2095.47767782,35.8,1.5,-3.8
2014-11-01,-35697.11906763001,36.2,1,-4.5
2014-12-01,-29465.84223768,37.3,1,-4.5
2015-01-01,-1822.5770171300005,37,2,-3.8
2015-02-01,-65757.44032068,38.9,1.9,-4.2
2015-03-01,-100629.04756905,38.9,1.8,-4.4
2015-04-01,65610.04439581001,38.7,1.7,-4.45
2015-05-01,-57308.70183204999,38.5,1.7,-4.55
2015-06-01,23711.20490093,38.05,1.5,-4.8
2015-07-01,-90708.30816678,38.5,1.2,-5.2
2015-08-01,-78693.97713169,38.85,0.5,-6
2015-09-01,-101745.20419198,39.35,-0.2,-7
2015-10-01,35600.11954212999,39.3,-0.4,-7.2
2015-11-01,2722.4873739799996,39.9,-0.7,-7.6
2015-12-01,-16721.507274679996,40,-0.95,-8.3
2016-01-01,-42271.74044857,43,0,-6.18
2016-02-01,19247.45020912,44.9,-0.5,-7.3
2016-03-01,129173.11186523002,46.2,-1.05,-7.5
