panel,sample,n_months,n_series,fixed_r,fixed_p,q,ic2
baseline_111,full,153,111,5,4,1,-0.4152992532120622
baseline_111,full,153,111,5,4,2,-0.47172943268125467
baseline_111,full,153,111,5,4,3,-0.47116116349615506
baseline_111,full,153,111,5,4,4,-0.4648058982540597
baseline_111,full,153,111,5,4,5,-0.4523394373416554
baseline_111,pre_covid,84,111,5,4,1,-0.48753241269473047
baseline_111,pre_covid,84,111,5,4,2,-0.508555586414446
baseline_111,pre_covid,84,111,5,4,3,-0.49785609580320356
baseline_111,pre_covid,84,111,5,4,4,-0.47643043001197555
baseline_111,pre_covid,84,111,5,4,5,-0.4575900677797464
exchange_112,full,153,112,5,4,1,-0.41979822046600523
exchange_112,full,153,112,5,4,2,-0.47689365431948855
exchange_112,full,153,112,5,4,3,-0.4754361252669073
exchange_112,full,153,112,5,4,4,-0.4690889738813625
exchange_112,full,153,112,5,4,5,-0.45620246948421
exchange_112,pre_covid,84,112,5,4,1,-0.4878810611729536
exchange_112,pre_covid,84,112,5,4,2,-0.514089388298018
exchange_112,pre_covid,84,112,5,4,3,-0.5030346622403203
exchange_112,pre_covid,84,112,5,4,4,-0.4825012123838086
exchange_112,pre_covid,84,112,5,4,5,-0.46058108042902646
expectations_114,full,153,114,5,4,1,-0.4062241086347317
expectations_114,full,153,114,5,4,2,-0.46186511281301457
expectations_114,full,153,114,5,4,3,-0.4607349933852596
expectations_114,full,153,114,5,4,4,-0.458199715034791
expectations_114,full,153,114,5,4,5,-0.45211059424698324
expectations_114,pre_covid,84,114,5,4,1,-0.481160468932485
expectations_114,pre_covid,84,114,5,4,2,-0.5022634454927524
expectations_114,pre_covid,84,114,5,4,3,-0.49965495123945924
expectations_114,pre_covid,84,114,5,4,4,-0.47953319613751033
expectations_114,pre_covid,84,114,5,4,5,-0.4607350152567867
exchange_expectations_115,full,153,115,5,4,1,-0.41101818993910255
exchange_expectations_115,full,153,115,5,4,2,-0.4670160390332998
exchange_expectations_115,full,153,115,5,4,3,-0.46504335972525
exchange_expectations_115,full,153,115,5,4,4,-0.4624468947816109
exchange_expectations_115,full,153,115,5,4,5,-0.4563603474882683
exchange_expectations_115,pre_covid,84,115,5,4,1,-0.48103341989594545
exchange_expectations_115,pre_covid,84,115,5,4,2,-0.5052063874782489
exchange_expectations_115,pre_covid,84,115,5,4,3,-0.5025113742496472
exchange_expectations_115,pre_covid,84,115,5,4,4,-0.4828679271310873
exchange_expectations_115,pre_covid,84,115,5,4,5,-0.4630632549280442
