panel,sample,n_months,n_series,criterion,selected_r
baseline_111,full,153,111,IC1,5
baseline_111,full,153,111,IC2,5
baseline_111,full,153,111,IC3,20
baseline_111,pre_covid,84,111,IC1,3
baseline_111,pre_covid,84,111,IC2,2
baseline_111,pre_covid,84,111,IC3,20
exchange_112,full,153,112,IC1,5
exchange_112,full,153,112,IC2,5
exchange_112,full,153,112,IC3,20
exchange_112,pre_covid,84,112,IC1,3
exchange_112,pre_covid,84,112,IC2,2
exchange_112,pre_covid,84,112,IC3,20
expectations_114,full,153,114,IC1,5
expectations_114,full,153,114,IC2,4
expectations_114,full,153,114,IC3,20
expectations_114,pre_covid,84,114,IC1,3
expectations_114,pre_covid,84,114,IC2,2
expectations_114,pre_covid,84,114,IC3,20
exchange_expectations_115,full,153,115,IC1,5
exchange_expectations_115,full,153,115,IC2,4
exchange_expectations_115,full,153,115,IC3,20
exchange_expectations_115,pre_covid,84,115,IC1,3
exchange_expectations_115,pre_covid,84,115,IC2,2
exchange_expectations_115,pre_covid,84,115,IC3,20
