panel,sample,n_months,n_series,r,criterion,value
baseline_111,full,153,111,1,IC1,-0.10375281404336595
baseline_111,full,153,111,1,IC2,-0.0952063504658303
baseline_111,full,153,111,1,IC3,-0.12619010179025356
baseline_111,full,153,111,2,IC1,-0.1670707647730147
baseline_111,full,153,111,2,IC2,-0.1499778376179434
baseline_111,full,153,111,2,IC3,-0.2119453402667899
baseline_111,full,153,111,3,IC1,-0.20278549480458904
baseline_111,full,153,111,3,IC2,-0.1771461040719821
baseline_111,full,153,111,3,IC3,-0.27009735804525187
baseline_111,full,153,111,4,IC1,-0.21571938706521626
baseline_111,full,153,111,4,IC2,-0.18153353275507367
baseline_111,full,153,111,4,IC3,-0.30546853805276664
baseline_111,full,153,111,5,IC1,-0.22467614993039242
baseline_111,full,153,111,5,IC2,-0.1819438320427142
baseline_111,full,153,111,5,IC3,-0.3368625886648305
baseline_111,full,153,111,6,IC1,-0.22171075629839027
baseline_111,full,153,111,6,IC2,-0.1704319748331764
baseline_111,full,153,111,6,IC3,-0.3563344827797159
baseline_111,full,153,111,7,IC1,-0.21521999221614624
baseline_111,full,153,111,7,IC2,-0.15539474717339674
baseline_111,full,153,111,7,IC3,-0.3722810064443594
baseline_111,full,153,111,8,IC1,-0.20828028328555837
baseline_111,full,153,111,8,IC2,-0.13990857466527318
baseline_111,full,153,111,8,IC3,-0.38777858526065917
baseline_111,full,153,111,9,IC1,-0.2003930600910394
baseline_111,full,153,111,9,IC2,-0.12347488789321859
baseline_111,full,153,111,9,IC3,-0.40232864981302785
baseline_111,full,153,111,10,IC1,-0.1834359685438538
baseline_111,full,153,111,10,IC2,-0.09797133276849734
baseline_111,full,153,111,10,IC3,-0.40780884601272993
baseline_111,full,153,111,11,IC1,-0.16746245266435145
baseline_111,full,153,111,11,IC2,-0.07345135331145936
baseline_111,full,153,111,11,IC3,-0.4142726178801151
baseline_111,full,153,111,12,IC1,-0.1494430678153118
baseline_111,full,153,111,12,IC2,-0.04688550488488408
baseline_111,full,153,111,12,IC3,-0.4186905207779631
baseline_111,full,153,111,13,IC1,-0.13218211269006963
baseline_111,full,153,111,13,IC2,-0.02107808618210616
baseline_111,full,153,111,13,IC3,-0.4238668533996084
baseline_111,full,153,111,14,IC1,-0.11470161715109228
baseline_111,full,153,111,14,IC2,0.004948872934406712
baseline_111,full,153,111,14,IC3,-0.4288236456075186
baseline_111,full,153,111,15,IC1,-0.09375584666074244
baseline_111,full,153,111,15,IC2,0.034441107002292304
baseline_111,full,153,111,15,IC3,-0.43031516286405636
baseline_111,full,153,111,16,IC1,-0.07199702055885693
baseline_111,full,153,111,16,IC2,0.06474639668171345
baseline_111,full,153,111,16,IC3,-0.43099362450905854
baseline_111,full,153,111,17,IC1,-0.04920034113269556
baseline_111,full,153,111,17,IC2,0.09608953968541045
baseline_111,full,153,111,17,IC3,-0.43063423282978486
baseline_111,full,153,111,18,IC1,-0.0270559159953494
baseline_111,full,153,111,18,IC2,0.12678042840029224
baseline_111,full,153,111,18,IC3,-0.4309270954393263
baseline_111,full,153,111,19,IC1,-0.006583604204942972
baseline_111,full,153,111,19,IC2,0.1557992037682343
baseline_111,full,153,111,19,IC3,-0.4328920713958073
baseline_111,full,153,111,20,IC1,0.013160268674093478
baseline_111,full,153,111,20,IC2,0.1840895402248064
baseline_111,full,153,111,20,IC3,-0.4355854862636588
baseline_111,pre_covid,84,111,1,IC1,-0.07107369158155588
baseline_111,pre_covid,84,111,1,IC2,-0.05931686711572576
baseline_111,pre_covid,84,111,1,IC3,-0.09912624196074016
baseline_111,pre_covid,84,111,2,IC1,-0.1107454031537376
baseline_111,pre_covid,84,111,2,IC2,-0.08723175422207735
baseline_111,pre_covid,84,111,2,IC3,-0.16685050391210615
baseline_111,pre_covid,84,111,3,IC1,-0.11282321984710675
baseline_111,pre_covid,84,111,3,IC2,-0.0775527464496164
baseline_111,pre_covid,84,111,3,IC3,-0.19698087098465955
baseline_111,pre_covid,84,111,4,IC1,-0.10622842875645389
baseline_111,pre_covid,84,111,4,IC2,-0.05920113089313339
baseline_111,pre_covid,84,111,4,IC3,-0.21843863027319096
baseline_111,pre_covid,84,111,5,IC1,-0.09833263424478167
baseline_111,pre_covid,84,111,5,IC2,-0.03954851191563108
baseline_111,pre_covid,84,111,5,IC3,-0.23859538614070308
baseline_111,pre_covid,84,111,6,IC1,-0.09494576274139688
baseline_111,pre_covid,84,111,6,IC2,-0.024404815946416192
baseline_111,pre_covid,84,111,6,IC3,-0.2632610650165025
baseline_111,pre_covid,84,111,7,IC1,-0.07794327236383125
baseline_111,pre_covid,84,111,7,IC2,0.004354498896979586
baseline_111,pre_covid,84,111,7,IC3,-0.27431112501812116
baseline_111,pre_covid,84,111,8,IC1,-0.05627663725632048
baseline_111,pre_covid,84,111,8,IC2,0.037777958470320505
baseline_111,pre_covid,84,111,8,IC3,-0.28069704028979464
baseline_111,pre_covid,84,111,9,IC1,-0.034992269561071154
baseline_111,pre_covid,84,111,9,IC2,0.07081915063139987
baseline_111,pre_covid,84,111,9,IC3,-0.2874652229737297
baseline_111,pre_covid,84,111,10,IC1,-0.014745846532046802
baseline_111,pre_covid,84,111,10,IC2,0.10282239812625438
baseline_111,pre_covid,84,111,10,IC3,-0.2952713503238896
baseline_111,pre_covid,84,111,11,IC1,0.006625861863249982
baseline_111,pre_covid,84,111,11,IC2,0.1359509309873813
baseline_111,pre_covid,84,111,11,IC3,-0.30195219230777703
