ref.date,dlsp_exchange_adjustment,dlsp_fx_internal_indexed,dlsp_fx_external_methodological,sublines_sum,rounding_difference,dlsp_exchange_adjustment_adjusted
2013-01-01,17843.21573207,1095.96322207,16747.25251,17843.21573207,0,17843.21573207
2013-02-01,4139.95102174,253.74817869999998,3886.2028430400005,4139.95102174,0,4139.95102174
2013-03-01,-12454.954528919998,-758.8784834899999,-11696.076045429998,-12454.954528919998,0,-12454.954528919998
2013-04-01,3944.0572533,239.87418617999998,3704.18306712,3944.0572533,0,3944.0572533
2013-05-01,-42044.73284659,-2385.76039951,-39658.97244708,-42044.73284659,0,-42044.73284659
2013-06-01,-26748.168257949997,-1419.9188204,-25328.24943755,-26748.168257949997,0,-26748.168257949997
2013-07-01,-23901.52863719,-1213.92073515,-22687.60790204,-23901.52863719,0,-23901.52863719
2013-08-01,-26350.971455870003,-1347.24483947,-25003.726616400003,-26350.971455870003,0,-26350.971455870003
2013-09-01,45479.41491292001,2120.41393305,43359.000979870005,45479.41491292001,0,45479.41491292001
2013-10-01,8655.92580548,283.42174828,8372.5040572,8655.92580548,0,8655.92580548
2013-11-01,-38883.52026196,-1329.14932767,-37554.370934290004,-38883.52026196,0,-38883.52026196
2013-12-01,-5601.912100890001,-194.69759118000002,-5407.214509710001,-5601.912100890001,0,-5601.912100890001
2014-01-01,-26491.783244180002,-970.28171701,-25521.501527170003,-26491.783244180002,0,-26491.783244180002
2014-02-01,29521.977795029998,1073.0367375199999,28448.941057509997,29521.977795029998,0,29521.977795029998
2014-03-01,22206.845583010003,658.64910173,21548.196481280003,22206.845583010003,0,22206.845583010003
2014-04-01,8527.611742020003,251.49591633,8276.115825690002,8527.611742020003,0,8527.611742020003
2014-05-01,-951.5744714699998,-25.26201504,-926.3124564299998,-951.5744714699998,0,-951.5744714699998
2014-06-01,11534.428991919998,312.46868162,11221.960310299999,11534.428991919998,0,11534.428991919998
2014-07-01,-20490.903407989994,-562.33476033,-19928.568647659995,-20490.903407989994,0,-20490.903407989994
2014-08-01,8683.506372709999,246.93047467000002,8436.575898039999,8683.506372709999,0,8683.506372709999
2014-09-01,-65547.13133312999,-1899.53193296,-63647.599400169995,-65547.13133312999,0,-65547.13133312999
2014-10-01,2095.47767782,62.521724850000005,2032.95595297,2095.47767782,0,2095.47767782
2014-11-01,-35697.11906763001,-1077.66686607,-34619.45220156001,-35697.11906763001,0,-35697.11906763001
2014-12-01,-29465.84223768,-911.68805359,-28554.15418409,-29465.84223768,0,-29465.84223768
2015-01-01,-1822.5770171300005,-61.30270951,-1761.2743076200004,-1822.5770171300005,0,-1822.5770171300005
2015-02-01,-65757.44032068,-2095.87652622,-63661.56379446,-65757.44032068,0,-65757.44032068
2015-03-01,-100629.04756905,-3235.7600313499997,-97393.2875377,-100629.04756905,0,-100629.04756905
2015-04-01,65610.04439581001,2167.82613707,63442.21825874,65610.04439581001,0,65610.04439581001
2015-05-01,-57308.70183204999,-2503.70453586,-54804.99729618999,-57308.70183204999,0,-57308.70183204999
2015-06-01,23711.20490093,1177.74979749,22533.45510344,23711.20490093,0,23711.20490093
2015-07-01,-90708.30816678,-4525.09730652,-86183.21086026,-90708.30816678,0,-90708.30816678
2015-08-01,-78693.97713169,-3913.60297553,-74780.37415616,-78693.97713169,0,-78693.97713169
2015-09-01,-101745.20419198,-5044.84115819,-96700.36303379,-101745.20419198,0,-101745.20419198
2015-10-01,35600.11954212999,1766.6073096500002,33833.512232479996,35600.11954212999,0,35600.11954212999
2015-11-01,2722.4873739799996,127.36862298,2595.1187509999995,2722.4873739799996,0,2722.4873739799996
2015-12-01,-16721.507274679996,-705.57849131,-16015.928783369996,-16721.507274679996,0,-16721.507274679996
2016-01-01,-42271.74044857,-1607.5892940600002,-40664.15115451,-42271.74044857,0,-42271.74044857
2016-02-01,19247.45020912,493.2019245899999,18754.24828453,19247.45020912,0,19247.45020912
2016-03-01,129173.11186523002,3314.36105631,125858.75080892003,129173.11186523002,0,129173.11186523002
2016-04-01,33448.56543579,857.02247491,32591.54296088,33448.56543579,0,33448.56543579
2016-05-01,-44521.61894781,-1140.9838445699997,-43380.63510324,-44521.61894781,0,-44521.61894781
2016-06-01,118772.31237578,3006.93513711,115765.37723867,118772.31237578,0,118772.31237578
2016-07-01,-9045.85406076,-227.83506696999999,-8818.018993790001,-9045.85406076,0,-9045.85406076
2016-08-01,-386.6793611900001,-19.53446145,-367.14489974000014,-386.6793611900001,0,-386.6793611900001
2016-09-01,-1812.0483690099995,-50.31532389,-1761.7330451199996,-1812.0483690099995,0,-1812.0483690099995
2016-10-01,20070.733613100005,500.76790893,19569.965704170005,20070.733613100005,0,20070.733613100005
2016-11-01,-65796.75443490999,-1600.29561503,-64196.45881988,-65796.75443490999,0,-65796.75443490999
2016-12-01,41680.63984620001,986.13522186,40694.50462434001,41680.63984620001,0,41680.63984620001
2017-01-01,40275.98147617,913.5532618699998,39362.4282143,40275.98147617,0,40275.98147617
2017-02-01,8501.052448330001,184.54100885999998,8316.511439470001,8501.052448330001,0,8501.052448330001
2017-03-01,-21152.53483307,-418.01949053000004,-20734.51534254,-21152.53483307,0,-21152.53483307
2017-04-01,-9162.403634909999,-106.57605093000001,-9055.827583979999,-9162.403634909999,0,-9162.403634909999
2017-05-01,-13860.490114940003,-207.99583748000006,-13652.494277460002,-13860.490114940003,0,-13860.490114940003
2017-06-01,-19761.399567700002,-290.23382030000005,-19471.165747400002,-19761.399567700002,0,-19761.399567700002
2017-07-01,54703.51009122,737.8652644599998,53965.64482676,54703.51009122,0,54703.51009122
2017-08-01,-5071.23777857,-65.84850193,-5005.38927664,-5071.23777857,0,-5071.23777857
2017-09-01,-6410.6831673,-35.856687670000014,-6374.82647963,-6410.6831673,0,-6410.6831673
2017-10-01,-33340.98496549001,-283.31214927999997,-33057.67281621001,-33340.98496549001,0,-33340.98496549001
2017-11-01,4673.769166169999,41.63418918000001,4632.134976989999,4673.769166169999,0,4673.769166169999
2017-12-01,-14251.233568940002,-93.55625019000001,-14157.677318750002,-14251.233568940002,0,-14251.233568940002
2018-01-01,44611.99192693999,208.97153602000003,44403.02039091999,44611.99192693999,0,44611.99192693999
2018-02-01,-25256.830508959996,-103.64477952000004,-25153.185729439996,-25256.830508959996,0,-25256.830508959996
2018-03-01,-24063.74119724,-46.62906601999998,-24017.11213122,-24063.74119724,0,-24063.74119724
2018-04-01,-47901.94523574,-43.79906813000002,-47858.14616761,-47901.94523574,0,-47901.94523574
2018-05-01,-77793.987630909993,-32.02757915999973,-77761.96005175,-77793.987630909993,0,-77793.987630909993
2018-06-01,-36208.31789404,-275.58418876999986,-35932.73370527,-36208.31789404,0,-36208.31789404
