panel,variable,h,point
baseline_111,cambio_eur,0,0.13537093330805605
baseline_111,cambio_eur,1,0.14401239045830683
baseline_111,cambio_eur,2,0.1039875570586645
baseline_111,cambio_eur,3,0.10431342989369258
baseline_111,cambio_eur,4,0.09010503577517963
baseline_111,cambio_eur,5,0.05130561419280837
baseline_111,cambio_eur,6,0.03140944011871581
baseline_111,cambio_eur,7,0.012379969499068298
baseline_111,cambio_eur,8,-0.015611283192939543
baseline_111,cambio_eur,9,-0.036502779950127656
baseline_111,cambio_eur,10,-0.05339800175519692
baseline_111,cambio_eur,11,-0.07098558470837578
baseline_111,cambio_eur,12,-0.08451971597606175
baseline_111,cambio_eur,13,-0.09475113895334172
baseline_111,cambio_eur,14,-0.10339588904399402
baseline_111,cambio_eur,15,-0.10954264551580854
baseline_111,cambio_eur,16,-0.11339728337602718
baseline_111,cambio_eur,17,-0.11562100698481337
baseline_111,cambio_eur,18,-0.11622725099625207
baseline_111,cambio_eur,19,-0.11534587573716414
baseline_111,cambio_eur,20,-0.11326682711309272
baseline_111,cambio_eur,21,-0.11015176305890335
baseline_111,cambio_eur,22,-0.10611679121389771
baseline_111,cambio_eur,23,-0.10130811159353506
baseline_111,cambio_eur,24,-0.09586486537590433
baseline_111,cambio_eur,25,-0.08988819644330238
baseline_111,cambio_eur,26,-0.08347395957077666
baseline_111,cambio_eur,27,-0.07672577369773677
baseline_111,cambio_eur,28,-0.06973011332650067
baseline_111,cambio_eur,29,-0.06256378758362868
baseline_111,cambio_eur,30,-0.05530600278006386
baseline_111,cambio_eur,31,-0.04802826960894443
baseline_111,cambio_eur,32,-0.04079416843224253
baseline_111,cambio_eur,33,-0.033664850965383956
baseline_111,cambio_eur,34,-0.026696039533817523
baseline_111,cambio_eur,35,-0.01993693319110671
baseline_111,cambio_eur,36,-0.013432070598739583
baseline_111,cambio_eur,37,-0.007220715140996731
baseline_111,cambio_eur,38,-0.001336326350778547
baseline_111,cambio_eur,39,0.00419284502601582
baseline_111,cambio_eur,40,0.009343681943620454
baseline_111,cambio_eur,41,0.014098238939365931
baseline_111,cambio_eur,42,0.018443428477326992
baseline_111,cambio_eur,43,0.02237074737200969
baseline_111,cambio_eur,44,0.025876061917348047
baseline_111,cambio_eur,45,0.028959303766138013
baseline_111,cambio_eur,46,0.03162413723492316
baseline_111,cambio_eur,47,0.03387764624243177
baseline_111,cambio_eur,48,0.035730009327415956
baseline_111,cambio_cny,0,0.021831601427607074
baseline_111,cambio_cny,1,0.023808329063098863
baseline_111,cambio_cny,2,0.01944497684254679
baseline_111,cambio_cny,3,0.020340464677044784
baseline_111,cambio_cny,4,0.018849197572452396
baseline_111,cambio_cny,5,0.013966521855157404
baseline_111,cambio_cny,6,0.011476876351492629
baseline_111,cambio_cny,7,0.008829530370010245
baseline_111,cambio_cny,8,0.0049099692243108
baseline_111,cambio_cny,9,0.0018194712475253993
baseline_111,cambio_cny,10,-8.67369700783701e-4
baseline_111,cambio_cny,11,-0.003685786731836237
baseline_111,cambio_cny,12,-0.006021353209939747
baseline_111,cambio_cny,13,-0.007966417589560364
baseline_111,cambio_cny,14,-0.009717521627559482
baseline_111,cambio_cny,15,-0.01115445828158365
baseline_111,cambio_cny,16,-0.012297399311801271
baseline_111,cambio_cny,17,-0.013221593354667634
baseline_111,cambio_cny,18,-0.01392545291677861
baseline_111,cambio_cny,19,-0.014420754292344138
baseline_111,cambio_cny,20,-0.01473984637899171
baseline_111,cambio_cny,21,-0.014900731543212357
baseline_111,cambio_cny,22,-0.014914881304910388
baseline_111,cambio_cny,23,-0.01479812597087803
baseline_111,cambio_cny,24,-0.014566294984043236
baseline_111,cambio_cny,25,-0.014230310798728923
baseline_111,cambio_cny,26,-0.01380089374817267
baseline_111,cambio_cny,27,-0.013290318929638681
baseline_111,cambio_cny,28,-0.012708925592680697
baseline_111,cambio_cny,29,-0.012066224199103377
baseline_111,cambio_cny,30,-0.01137244558003162
baseline_111,cambio_cny,31,-0.010637148392236416
baseline_111,cambio_cny,32,-0.009869206501658918
baseline_111,cambio_cny,33,-0.0090774876309473
baseline_111,cambio_cny,34,-0.008270421857727358
baseline_111,cambio_cny,35,-0.007455840318802385
baseline_111,cambio_cny,36,-0.006641180135974088
baseline_111,cambio_cny,37,-0.005833371310525151
baseline_111,cambio_cny,38,-0.005038740305509159
baseline_111,cambio_cny,39,-0.004263054971861724
baseline_111,cambio_cny,40,-0.0035115056083045875
baseline_111,cambio_cny,41,-0.002788673725759553
baseline_111,cambio_cny,42,-0.002098546497439472
baseline_111,cambio_cny,43,-0.0014445287910176774
baseline_111,cambio_cny,44,-8.294495093561524e-4
baseline_111,cambio_cny,45,-2.555809677282252e-4
baseline_111,cambio_cny,46,2.753357583966435e-4
baseline_111,cambio_cny,47,7.620661826125318e-4
baseline_111,cambio_cny,48,0.0012038544616792188
baseline_111,cambio_ars,0,0.006478784258626647
baseline_111,cambio_ars,1,0.00721644491092869
baseline_111,cambio_ars,2,0.006664491236072407
baseline_111,cambio_ars,3,0.007443377454837235
baseline_111,cambio_ars,4,0.007357886859802704
baseline_111,cambio_ars,5,0.006486907294858203
baseline_111,cambio_ars,6,0.006184742738857316
baseline_111,cambio_ars,7,0.005681030520214241
baseline_111,cambio_ars,8,0.004844745930562692
baseline_111,cambio_ars,9,0.004162329994290899
baseline_111,cambio_ars,10,0.003498927975445975
baseline_111,cambio_ars,11,0.0027656850617570174
baseline_111,cambio_ars,12,0.0021046141977119283
baseline_111,cambio_ars,13,0.0014912474692744765
baseline_111,cambio_ars,14,8.920063991331785e-4
baseline_111,cambio_ars,15,3.366543368285659e-4
baseline_111,cambio_ars,16,-1.7562751630857237e-4
baseline_111,cambio_ars,17,-6.55608178388258e-4
baseline_111,cambio_ars,18,-0.0010997044773339894
baseline_111,cambio_ars,19,-0.0015063323190620964
baseline_111,cambio_ars,20,-0.0018785082221207353
baseline_111,cambio_ars,21,-0.002217125014259275
baseline_111,cambio_ars,22,-0.002521308120165076
baseline_111,cambio_ars,23,-0.002791530788398742
baseline_111,cambio_ars,24,-0.0030287898412214294
baseline_111,cambio_ars,25,-0.0032330536623389754
baseline_111,cambio_ars,26,-0.0034046135341314803
baseline_111,cambio_ars,27,-0.0035444663777367885
baseline_111,cambio_ars,28,-0.003653374418198504
baseline_111,cambio_ars,29,-0.003732215684587389
baseline_111,cambio_ars,30,-0.003782309431108619
baseline_111,cambio_ars,31,-0.0038050422169316174
baseline_111,cambio_ars,32,-0.0038018863204476215
baseline_111,cambio_ars,33,-0.003774533907871148
baseline_111,cambio_ars,34,-0.0037247709645995097
baseline_111,cambio_ars,35,-0.003654434394156451
baseline_111,cambio_ars,36,-0.003565441306283568
baseline_111,cambio_ars,37,-0.0034597445834190876
baseline_111,cambio_ars,38,-0.0033392972333755534
baseline_111,cambio_ars,39,-0.0032060465108403836
baseline_111,cambio_ars,40,-0.0030619139021726255
baseline_111,cambio_ars,41,-0.0029087734192337574
baseline_111,cambio_ars,42,-0.002748440151475986
baseline_111,cambio_ars,43,-0.0025826590392441767
baseline_111,cambio_ars,44,-0.0024130929288278093
baseline_111,cambio_ars,45,-0.0022413141045836173
baseline_111,cambio_ars,46,-0.0020687980229393698
baseline_111,cambio_ars,47,-0.0018969175663591765
baseline_111,cambio_ars,48,-0.0017269387946555776
baseline_111,cambio_inr,0,0.0017967912478520107
baseline_111,cambio_inr,1,0.001946934149503978
baseline_111,cambio_inr,2,0.0015461450259993234
baseline_111,cambio_inr,3,0.0015838998974635416
baseline_111,cambio_inr,4,0.0014388122789552166
baseline_111,cambio_inr,5,0.0010024412084021575
baseline_111,cambio_inr,6,7.81939227587125e-4
baseline_111,cambio_inr,7,5.585408699372634e-4
baseline_111,cambio_inr,8,2.2500027145577306e-4
baseline_111,cambio_inr,9,-3.024228916132001e-5
baseline_111,cambio_inr,10,-2.448691973763297e-4
baseline_111,cambio_inr,11,-4.713764985927382e-4
