ref.date,expect_focus_fiscal_dlsp_ny,expect_focus_fiscal_primary_balance_ny,expect_focus_fiscal_nominal_balance_ny
2013-01-01,33.1,2.5,-2
2013-02-01,33.2,2.4,-2.05
2013-03-01,33.1,2.3,-2.05
2013-04-01,34,2,-2.5
2013-05-01,34.9,1.55,-2.9
2013-06-01,35,1.58,-3.1
2013-07-01,34.9,1.45,-3
2013-08-01,34.85,1.4,-3.17
2013-09-01,34.5,1.5,-3.2
2013-10-01,34.55,1.5,-3.4
2013-11-01,34.5,1.5,-3.5
2013-12-01,35,1.4,-3.5
2014-01-01,35,2,-3
2014-02-01,35,2,-3.25
2014-03-01,35,2,-3.4
2014-04-01,35,2,-3.48
2014-05-01,35.1,2,-3.55
2014-06-01,35,1.9,-3.6
2014-07-01,35,1.9,-3.55
2014-08-01,35,1.9,-3.6
2014-09-01,35.45,1.8,-3.6
2014-10-01,35.8,1.5,-3.8
2014-11-01,36.2,1,-4.5
2014-12-01,37.3,1,-4.5
2015-01-01,37,2,-3.8
2015-02-01,38.9,1.9,-4.2
2015-03-01,38.9,1.8,-4.4
2015-04-01,38.7,1.7,-4.45
2015-05-01,38.5,1.7,-4.55
2015-06-01,38.05,1.5,-4.8
2015-07-01,38.5,1.2,-5.2
2015-08-01,38.85,0.5,-6
2015-09-01,39.35,-0.2,-7
2015-10-01,39.3,-0.4,-7.2
2015-11-01,39.9,-0.7,-7.6
2015-12-01,40,-0.95,-8.3
2016-01-01,43,0,-6.18
2016-02-01,44.9,-0.5,-7.3
2016-03-01,46.2,-1.05,-7.5
2016-04-01,46.15,-1.1,-8.5
2016-05-01,47,-1.02,-8.1
2016-06-01,48,-1.5,-8.5
2016-07-01,49,-2,-8.5
2016-08-01,49.05,-2.1,-8.67
2016-09-01,49.5,-2.2,-8.97
2016-10-01,50,-2.2,-8.89
2016-11-01,50.55,-2.2,-9
2016-12-01,50.74,-2.2,-9.05
2017-01-01,55,-1.68,-8
2017-02-01,55,-1.64,-7.85
2017-03-01,55,-1.7,-7.85
2017-04-01,55,-1.8,-7.5
2017-05-01,55.1,-1.8,-7.8
2017-06-01,55.17,-1.8,-7.54
2017-07-01,55.1,-1.84,-7.65
2017-08-01,55.65,-2.17,-7.5
2017-09-01,55.7,-2.21,-7.7
2017-10-01,55.81,-2.2,-7.55
2017-11-01,55.55,-2.2,-7.58
2017-12-01,55.7,-2.2,-7.4
2018-01-01,57.6,-1.5,-7
2018-02-01,57.8,-1.42,-6.75
2018-03-01,57.4,-1.3,-6.7
2018-04-01,57,-1.3,-6.6
2018-05-01,57,-1.35,-6.7
2018-06-01,58,-1.5,-6.8
2018-07-01,58,-1.5,-6.9
2018-08-01,57.6,-1.55,-6.85
2018-09-01,57.95,-1.5,-6.8
2018-10-01,56.85,-1.5,-6.8
2018-11-01,57.03,-1.5,-6.5
2018-12-01,56.4,-1.4,-6.5
2019-01-01,57.88,-0.68,-5.95
2019-02-01,58.35,-0.7,-5.98
2019-03-01,58.2,-0.76,-6.05
2019-04-01,58.3,-0.8,-6.2
2019-05-01,58.55,-0.9,-6.1
2019-06-01,58.55,-1,-6
2019-07-01,58.7,-1,-6.05
2019-08-01,58.5,-1,-5.99
2019-09-01,58.15,-1.13,-5.95
2019-10-01,58.15,-1,-5.8
2019-11-01,58.3,-1.1,-5.89
2019-12-01,58,-1.1,-5.6
2020-01-01,58,-0.5,-5.05
2020-02-01,57.82,-0.5,-5
2020-03-01,58.72,-0.79,-5.4
2020-04-01,64.98,-1.9,-5.7
2020-05-01,65.2,-2.06,-6
2020-06-01,68.06,-2.3,-6.5
2020-07-01,69.83,-2.84,-6.5
2020-08-01,69.65,-2.5,-6.2
2020-09-01,70,-2.8,-6.5
2020-10-01,70,-3,-6.75
2020-11-01,68.44,-2.9,-6.8
2020-12-01,66.3,-3,-7
2021-01-01,65.8,-2.08,-6.4
2021-02-01,65.65,-2,-6.6
2021-03-01,66.2,-2.15,-6.8
2021-04-01,66.3,-2,-6.6
2021-05-01,65.5,-2,-6.6
2021-06-01,63.6,-1.7,-6.3
2021-07-01,63.3,-1.5,-6.0978
