panel,variable,h,point,lo68,hi68,lo90,hi90
baseline_111,yield_6m,0,0.005,0.005,0.005,0.005,0.005
baseline_111,yield_6m,1,0.006106291484822624,0.005325850433028682,0.006679902374653181,0.004891498909109532,0.007047518385557234
baseline_111,yield_6m,2,0.007131819726487489,0.00575013543550387,0.007960660927063863,0.004963760716863515,0.008716432721298751
baseline_111,yield_6m,3,0.008215131114005793,0.006390119483952699,0.009306723024056322,0.005292185592570423,0.010154923939802187
baseline_111,yield_6m,4,0.008676323309549615,0.006341922676436339,0.010293928465708771,0.004947922053136752,0.011315604495512782
baseline_111,yield_6m,5,0.008900104790380841,0.0062241125715320495,0.011127707006661797,0.0046169230055718965,0.012512257940039554
baseline_111,yield_6m,6,0.009067284580169267,0.006466504035191797,0.011900955774849212,0.004531288611270753,0.013681249176982069
baseline_111,yield_6m,7,0.008915967995547544,0.006232822721322758,0.012724107117283332,0.004289666827474578,0.014699191461046085
baseline_111,yield_6m,8,0.008619809267568185,0.006106297363620532,0.013056075354127755,0.003989025113471495,0.015485011033369744
baseline_111,yield_6m,9,0.00821714459465224,0.005923286013487777,0.01327869057327788,0.0034952683542987025,0.016104274441339227
baseline_111,yield_6m,10,0.007681540836704695,0.005458451628332003,0.013444056782168937,0.0032044968174974355,0.016632934154528357
baseline_111,yield_6m,11,0.007082454222257943,0.00490375919542171,0.013373924546731678,0.00279735896289042,0.016966728678064057
baseline_111,yield_6m,12,0.006425628144666768,0.004576410705854065,0.013182765947917272,0.0023974647651952194,0.017327686165207995
baseline_111,yield_6m,13,0.005718535440086314,0.004000480798158872,0.012792520357843739,0.0017666751228135832,0.01709576056211205
baseline_111,yield_6m,14,0.004987284689523274,0.0035340603205291634,0.012400021147632332,0.0012403712039468703,0.01695891210349727
baseline_111,yield_6m,15,0.004235552937459796,0.0029593684223405015,0.011956669457966529,5.675545089660461e-4,0.01661525014409667
baseline_111,yield_6m,16,0.003472755585871563,0.0023183879662505057,0.011485358429676566,-1.8591974702491454e-5,0.01600116528699258
baseline_111,yield_6m,17,0.0027110492882495125,0.001702326953277492,0.010984595384170553,-6.1492177928935e-4,0.015603779520764178
baseline_111,yield_6m,18,0.0019550003762546036,0.001048127120477029,0.01048337147475829,-0.0012185256639373804,0.015111109733351375
baseline_111,yield_6m,19,0.0012116983440297764,2.7961494572392855e-4,0.009825032018359213,-0.0017718629799351882,0.01448346285305436
baseline_111,yield_6m,20,4.8803579125737136e-4,-3.7196524341142945e-4,0.008984012634895564,-0.002452158131043084,0.013979745712710006
baseline_111,yield_6m,21,-2.1174913678825247e-4,-9.294819644134971e-4,0.008314290203536452,-0.0031163780140369304,0.013133726111208187
baseline_111,yield_6m,22,-8.826276736229104e-4,-0.0015572053621863825,0.007530080692827934,-0.003784141840535652,0.012467801390706947
baseline_111,yield_6m,23,-0.0015201779038827073,-0.002043540911363273,0.006981965205767512,-0.0044456605323104845,0.011836625494112477
baseline_111,yield_6m,24,-0.002121120177125247,-0.002730844534442387,0.006323176385295514,-0.0052427830977436534,0.010956998570837694
baseline_111,yield_6m,25,-0.002682246003724553,-0.003343923757813591,0.0055569319230302375,-0.005697601065000841,0.010272478093775576
baseline_111,yield_6m,26,-0.003200958344787604,-0.0038718285134110965,0.004922994695246261,-0.00641870092614431,0.00960912380176622
baseline_111,yield_6m,27,-0.0036753700139564383,-0.004427276677560407,0.004304634998739412,-0.006894326041979004,0.008995624667258577
baseline_111,yield_6m,28,-0.004103983269709989,-0.0048908749888951115,0.003682776092155877,-0.007412904759215948,0.008291779137256221
baseline_111,yield_6m,29,-0.004485841033941588,-0.005340783201473751,0.0032129720081265157,-0.008096504296932238,0.007764347124255673
baseline_111,yield_6m,30,-0.0048205206770071405,-0.005671344379102385,0.0028044908223775426,-0.008260062608331922,0.007142093023237215
baseline_111,yield_6m,31,-0.0051080279122749294,-0.006005149364972968,0.0023986747297240073,-0.008694463614181386,0.006627098203825481
baseline_111,yield_6m,32,-0.005348810207689085,-0.006353820178693214,0.0019926634256830474,-0.009105404357578057,0.006270319008622243
baseline_111,yield_6m,33,-0.0055437206340849575,-0.006545263162487851,0.0016947614784196586,-0.009527781351834472,0.005661887440036216
baseline_111,yield_6m,34,-0.005693964714953516,-0.00675289695994255,0.001382380050034616,-0.009671926488903467,0.005321572990516419
baseline_111,yield_6m,35,-0.005801072655808698,-0.006815171938450501,0.0011042091581963084,-0.009564527549321071,0.004971033650105302
baseline_111,yield_6m,36,-0.005866857048537237,-0.0069322904187859476,7.646853680988942e-4,-0.009678961247818287,0.004609477830149552
baseline_111,yield_6m,37,-0.005893371963844844,-0.006987459554718561,4.6718330794654275e-4,-0.009871181257901993,0.004359759325353405
baseline_111,yield_6m,38,-0.005882877103792462,-0.006941120275394463,3.0392330797585304e-4,-0.009881725513050495,0.004075242584671436
baseline_111,yield_6m,39,-0.005837798749006409,-0.006920067556271798,2.1769302117669454e-4,-0.00970641933141477,0.003843201737239992
baseline_111,yield_6m,40,-0.005760694445743277,-0.006894120377418001,1.81947091674312e-4,-0.009755463770413293,0.0036663975422649483
baseline_111,yield_6m,41,-0.0056542197413057835,-0.006791766487354658,2.396310462387963e-4,-0.009879794869720338,0.0036262878515069047
baseline_111,yield_6m,42,-0.005521095471009107,-0.006646107367985592,2.4756811853371397e-4,-0.009623143857409821,0.0034624154162214106
baseline_111,yield_6m,43,-0.0053640783080004676,-0.006619567259386558,3.151026377890985e-4,-0.009427877181319056,0.0034415172975697287
baseline_111,yield_6m,44,-0.005185933326269035,-0.006545799976741783,4.6573631965512107e-4,-0.009185841404994661,0.0033597436081188492
baseline_111,yield_6m,45,-0.004989408337784516,-0.006477377688709058,6.658842449855046e-4,-0.009033708914522242,0.0032326196407818247
baseline_111,yield_6m,46,-0.004777210943358084,-0.006372856558526579,7.685065064994516e-4,-0.008718237233155193,0.0031836862643686193
baseline_111,yield_6m,47,-0.004551987730169766,-0.006243916244713725,8.855986262508715e-4,-0.00854895091757851,0.0033729272024894934
baseline_111,yield_6m,48,-0.00431630555612455,-0.005971241180072594,9.600878323878106e-4,-0.008428333868643062,0.0034188615809897746
baseline_111,yield_2y,0,0.0072818768605230405,0.006360500551341575,0.008073306628978105,0.0057899870322121565,0.008697465927125524
baseline_111,yield_2y,1,0.00880090748602107,0.007025391720466557,0.009869490762463861,0.006212874580591792,0.010879956156759454
baseline_111,yield_2y,2,0.00893956547244175,0.0066614772723909395,0.010176095898502692,0.005460403996499266,0.011670568220630352
baseline_111,yield_2y,3,0.010512101426715745,0.00778882487446245,0.011815048237046466,0.006426440833996708,0.013402343780761989
baseline_111,yield_2y,4,0.010867167282974113,0.00770206785672399,0.012808990587434364,0.0060609586889813745,0.014686101265148972
baseline_111,yield_2y,5,0.010467949166188687,0.007069084119523672,0.013150691133601032,0.0055606888413343184,0.015272582364978695
baseline_111,yield_2y,6,0.010358008158253234,0.007042915900722392,0.01383223546200887,0.005472648574871643,0.016429802957783107
baseline_111,yield_2y,7,0.009914949081293103,0.006765897320971751,0.014290382208044594,0.0049264123478164395,0.0174669707225889
baseline_111,yield_2y,8,0.009132971018330613,0.006287116556778532,0.01432516129902975,0.004133621160606758,0.018175543085312582
baseline_111,yield_2y,9,0.00834525720672251,0.005903238227250841,0.01421322219927272,0.00370803127822232,0.018600215337966065
baseline_111,yield_2y,10,0.007490703043753512,0.005368991622886704,0.013977735322914568,0.0031592705661084046,0.019075408808588903
baseline_111,yield_2y,11,0.006550762650302041,0.004624189791416702,0.013677038893648116,0.0025468041671447045,0.01908215115438172
baseline_111,yield_2y,12,0.005603472124477015,0.003943024061507622,0.013285841545884967,0.001830120735373737,0.01904687344226953
baseline_111,yield_2y,13,0.004658880860871214,0.0033625735219526393,0.012962665263060181,0.0010459824332432698,0.018417967076511443
baseline_111,yield_2y,14,0.0037176165160065656,0.0026140269997893375,0.012381549640382579,4.293250708195577e-4,0.018295234930433998
baseline_111,yield_2y,15,0.0027911051577494965,0.001926546809514398,0.01180593972512033,-3.8288301017632483e-4,0.018011003985657005
baseline_111,yield_2y,16,0.0018917288333745934,0.0011866298704467056,0.011095107726191067,-0.0010386240946965702,0.017534885948689252
baseline_111,yield_2y,17,0.0010234477457525192,3.1710562148219175e-4,0.010505812616707182,-0.0018240830976692097,0.016695226403666046
baseline_111,yield_2y,18,1.875048255166811e-4,-4.120643658795686e-4,0.009615563987915793,-0.002667703621091218,0.015909146819446218
baseline_111,yield_2y,19,-6.092190280441497e-4,-0.001130756471215841,0.00894662713622066,-0.003567585844470558,0.014974384832154124
baseline_111,yield_2y,20,-0.0013632350028718663,-0.001823885909177002,0.008164001411455029,-0.0042944072880514664,0.013792398705133994
