panel,sample,r,q,p,n_months,n_series,xi_mp,f_robust_mp,n_obs_aligned,max_companion_root,stable,failure
baseline_111,full,5,3,4,153,111,2.843303811054628,3.8679760314831806,149,0.9681262003935757,TRUE,NA
baseline_111,full,5,4,4,153,111,4.356863212709557,7.298105343792891,149,0.9681262003935757,TRUE,NA
baseline_111,full,5,5,4,153,111,5.240158304905198,10.060921519348764,149,0.9681262003935757,TRUE,NA
baseline_111,full,6,3,4,153,111,2.4112571282233306,2.9583867688023613,149,0.9630504474105424,TRUE,NA
baseline_111,full,6,4,4,153,111,3.559893215538847,5.0343348285718275,149,0.9630504474105424,TRUE,NA
baseline_111,full,6,5,4,153,111,4.605972561028626,7.524927616556372,149,0.9630504474105424,TRUE,NA
baseline_111,full,6,6,4,153,111,5.516571694311751,10.251354368217225,149,0.9630504474105424,TRUE,NA
baseline_111,full,7,3,4,153,111,7.040405343519416,13.60011360824139,149,0.9630983372442028,TRUE,NA
baseline_111,full,7,4,4,153,111,5.893976051543983,9.756428081236324,149,0.9630983372442028,TRUE,NA
baseline_111,full,7,5,4,153,111,6.060241091619202,10.143143914826279,149,0.9630983372442028,TRUE,NA
baseline_111,full,7,6,4,153,111,6.275571934047775,10.56386065652045,149,0.9630983372442028,TRUE,NA
baseline_111,full,7,7,4,153,111,6.8347715099348045,12.086243114329797,149,0.9630983372442028,TRUE,NA
baseline_111,full,8,3,4,153,111,6.3655731710119845,11.684506109477008,149,0.983972931515771,TRUE,NA
baseline_111,full,8,4,4,153,111,6.391183505190289,11.765077123851112,149,0.983972931515771,TRUE,NA
baseline_111,full,8,5,4,153,111,6.464553177548892,11.91146820866871,149,0.983972931515771,TRUE,NA
baseline_111,full,8,6,4,153,111,6.4599182188127475,11.47829878157492,149,0.983972931515771,TRUE,NA
baseline_111,full,8,7,4,153,111,6.460904713792329,11.482777782007847,149,0.983972931515771,TRUE,NA
baseline_111,full,8,8,4,153,111,7.045792237790587,13.360827138637802,149,0.983972931515771,TRUE,NA
baseline_111,pre_covid,5,3,4,84,111,5.028603515998631,6.312679434485678,80,0.9924826507498166,TRUE,NA
baseline_111,pre_covid,5,4,4,84,111,7.976249063013169,13.142496969388638,80,0.9924826507498166,TRUE,NA
baseline_111,pre_covid,5,5,4,84,111,7.478324275893151,11.874945340584947,80,0.9924826507498166,TRUE,NA
baseline_111,pre_covid,6,3,4,84,111,7.517780015720757,7.2374616092976405,80,0.9795033967009653,TRUE,NA
baseline_111,pre_covid,6,4,4,84,111,11.217279097496892,14.172549593260127,80,0.9795033967009653,TRUE,NA
baseline_111,pre_covid,6,5,4,84,111,11.354780946444405,13.860958366875677,80,0.9795033967009653,TRUE,NA
baseline_111,pre_covid,6,6,4,84,111,9.959411600616686,12.2636132875116,80,0.9795033967009653,TRUE,NA
baseline_111,pre_covid,7,3,4,84,111,5.402187458139112,4.3123576737680365,80,0.9805725583304951,TRUE,NA
baseline_111,pre_covid,7,4,4,84,111,11.306317078703332,11.476146918483566,80,0.9805725583304951,TRUE,NA
baseline_111,pre_covid,7,5,4,84,111,11.093207172974228,11.187659484373564,80,0.9805725583304951,TRUE,NA
baseline_111,pre_covid,7,6,4,84,111,10.667273864802931,10.85927208997886,80,0.9805725583304951,TRUE,NA
baseline_111,pre_covid,7,7,4,84,111,9.879280807366708,10.789366633266345,80,0.9805725583304951,TRUE,NA
baseline_111,pre_covid,8,3,4,84,111,3.029846180493303,1.6455341152209682,80,0.9843801362868403,TRUE,NA
baseline_111,pre_covid,8,4,4,84,111,10.61679922237835,6.660739585499992,80,0.9843801362868403,TRUE,NA
baseline_111,pre_covid,8,5,4,84,111,10.467279724340614,6.55258259052877,80,0.9843801362868403,TRUE,NA
baseline_111,pre_covid,8,6,4,84,111,10.529271678460146,6.5977610731374545,80,0.9843801362868403,TRUE,NA
baseline_111,pre_covid,8,7,4,84,111,10.382492343354102,6.500827052476941,80,0.9843801362868403,TRUE,NA
baseline_111,pre_covid,8,8,4,84,111,9.40134467590182,5.834081950898896,80,0.9843801362868403,TRUE,NA
fiscal_114,full,5,3,4,153,114,3.526422415214747,5.226830503354212,149,0.9690270785064045,TRUE,NA
fiscal_114,full,5,4,4,153,114,4.960071769036386,8.869087143272402,149,0.9690270785064045,TRUE,NA
fiscal_114,full,5,5,4,153,114,5.805646123317375,11.761132087578126,149,0.9690270785064045,TRUE,NA
fiscal_114,full,6,3,4,153,114,3.7416428297037028,5.316832292358333,149,0.9644296278549327,TRUE,NA
fiscal_114,full,6,4,4,153,114,3.6560472151840826,5.139085060943221,149,0.9644296278549327,TRUE,NA
fiscal_114,full,6,5,4,153,114,5.387110624883411,9.572476440143157,149,0.9644296278549327,TRUE,NA
fiscal_114,full,6,6,4,153,114,5.989463697303671,11.537939556552038,149,0.9644296278549327,TRUE,NA
fiscal_114,full,7,3,4,153,114,6.006162299736964,11.145724908345782,149,0.9784517507309899,TRUE,NA
fiscal_114,full,7,4,4,153,114,5.360355753002914,9.04035682197437,149,0.9784517507309899,TRUE,NA
fiscal_114,full,7,5,4,153,114,5.23597112262042,8.755033391391683,149,0.9784517507309899,TRUE,NA
fiscal_114,full,7,6,4,153,114,5.251143193520383,8.777379518177698,149,0.9784517507309899,TRUE,NA
fiscal_114,full,7,7,4,153,114,5.929875679405978,10.824151598963793,149,0.9784517507309899,TRUE,NA
fiscal_114,full,8,3,4,153,114,7.571324238599647,14.793321003303113,149,0.9766476089366991,TRUE,NA
fiscal_114,full,8,4,4,153,114,6.181981240088752,10.082411073098323,149,0.9766476089366991,TRUE,NA
fiscal_114,full,8,5,4,153,114,6.398461442477149,10.85731567149264,149,0.9766476089366991,TRUE,NA
fiscal_114,full,8,6,4,153,114,6.467298547183829,11.044742264951307,149,0.9766476089366991,TRUE,NA
fiscal_114,full,8,7,4,153,114,6.458616422631255,10.942237296385075,149,0.9766476089366991,TRUE,NA
fiscal_114,full,8,8,4,153,114,6.972606706557583,12.417018805362224,149,0.9766476089366991,TRUE,NA
fiscal_114,pre_covid,5,3,4,84,114,7.024988477180127,9.731276208638821,80,0.991811958412687,TRUE,NA
fiscal_114,pre_covid,5,4,4,84,114,8.738518042528428,15.105286971914023,80,0.991811958412687,TRUE,NA
fiscal_114,pre_covid,5,5,4,84,114,8.124920018004207,13.679067824210199,80,0.991811958412687,TRUE,NA
fiscal_114,pre_covid,6,3,4,84,114,8.503995147121444,7.86098400079856,80,0.9726813172125356,TRUE,NA
fiscal_114,pre_covid,6,4,4,84,114,13.317685671952539,16.320926566237286,80,0.9726813172125356,TRUE,NA
fiscal_114,pre_covid,6,5,4,84,114,12.955174049390713,15.143475249271354,80,0.9726813172125356,TRUE,NA
fiscal_114,pre_covid,6,6,4,84,114,11.293549522012425,13.558523624331697,80,0.9726813172125356,TRUE,NA
fiscal_114,pre_covid,7,3,4,84,114,6.435512438127224,5.567309155818015,80,0.9756138453186198,TRUE,NA
fiscal_114,pre_covid,7,4,4,84,114,8.430258081755678,7.782625280605748,80,0.9756138453186198,TRUE,NA
fiscal_114,pre_covid,7,5,4,84,114,9.850540708508325,9.283754146804744,80,0.9756138453186198,TRUE,NA
fiscal_114,pre_covid,7,6,4,84,114,9.868540165134409,9.358309878000515,80,0.9756138453186198,TRUE,NA
fiscal_114,pre_covid,7,7,4,84,114,8.911746891402462,8.697044883369248,80,0.9756138453186198,TRUE,NA
fiscal_114,pre_covid,8,3,4,84,114,5.070706264369113,3.229100323567784,80,0.9832014684121918,TRUE,NA
fiscal_114,pre_covid,8,4,4,84,114,10.648797476826143,11.11557570125794,80,0.9832014684121918,TRUE,NA
fiscal_114,pre_covid,8,5,4,84,114,12.030651299999365,12.136924689593926,80,0.9832014684121918,TRUE,NA
fiscal_114,pre_covid,8,6,4,84,114,11.92265258663846,11.971664174848575,80,0.9832014684121918,TRUE,NA
fiscal_114,pre_covid,8,7,4,84,114,11.928490079457791,11.993028073471528,80,0.9832014684121918,TRUE,NA
fiscal_114,pre_covid,8,8,4,84,114,11.040923628969333,10.564763116658673,80,0.9832014684121918,TRUE,NA
