sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap
full,7,5,5,ok,0.9583573280722406,NA,calendario,permute,TRUE,98,50,0.6655307384495119,0.49085362767668494,1.7968997420299848,-0.5220375649530632,0.3819169807338931,2.055005567251919,2.180222141654656,0.6183816183816184,15.800807955945315,0.32568953171936615,0.7485029940119761,0.20304921714740765
full,7,5,5,ok,0.9583573280722406,NA,episodio_s2,rotate,TRUE,69,79,1.2462315578507273,0.8483383735517644,2.7321071231388947,-0.4225895778454194,0.4128649294508034,1.2864427555613753,4.039833336674409,0.08691308691308691,41.08226643284116,1.7264850014303708e-4,0.041916167664670656,0.3142858289089598
full,7,5,5,ok,0.9583573280722406,NA,intensidade_z,permute,FALSE,49,99,1.0201861770454757,0.6337995009392403,2.117093861542261,-0.8731641844669582,0.35105020399695624,1.8503542020027703,2.564176591785592,0.3866133866133866,38.85138072012293,3.8451859246907004e-4,0.031936127744510975,0.3481030791592987
full,7,5,5,ok,0.9583573280722406,NA,volatilidade_juros,permute,TRUE,37,111,1.978981492100493,0.8236140475187197,5.592582459292032,-0.6019036622846934,0.454960597646899,2.28044675641838,4.866761105041178,0.008991008991008992,35.87760586849323,0.001088383814624251,0.20359281437125748,0.19423423285231492
full,7,5,5,ok,0.9583573280722406,2020-02-01,quebra_livre,rotate,TRUE,68,80,1.2727059543280297,0.8526403089962149,2.888922051982229,-0.396292168630479,0.4169244078101432,1.2763967377959715,4.121373872657085,0.08291708291708291,40.808760133487255,1.9062155120961837e-4,0.03592814371257485,0.31050230909431187
full,7,5,6,ok,0.9767937023956682,NA,calendario,permute,TRUE,98,49,0.7592561311612167,0.4834824315044156,1.7861388887389475,-0.6140699089005537,0.3844758527778337,2.9064633666749518,2.532475232714541,0.3886113886113886,21.21361007464896,0.09628246004768465,0.46706586826347307,0.13150288635872165
full,7,5,6,ok,0.9767937023956682,NA,episodio_s2,rotate,TRUE,69,78,1.124544087234856,0.8026625070242441,2.6751918213537413,-0.6080397020311401,0.36775310427231983,1.2936248342326437,3.4132417187056334,0.0919080919080919,35.54283275475442,0.0012210626205938356,0.08782435129740519,0.2652267499659854
full,7,5,6,ok,0.9767937023956682,NA,intensidade_z,permute,FALSE,49,98,0.9542534128665149,0.599084403439065,1.902185497781042,-0.8841267573633916,0.31871907000988614,1.697563083907661,2.4075645167766524,0.3936063936063936,39.66363767001093,2.8782027585824325e-4,0.021956087824351298,0.3003892544863565
full,7,5,6,ok,0.9767937023956682,NA,volatilidade_juros,permute,TRUE,37,110,1.9157917736674863,0.9443482556946673,4.922052335265626,-0.5353474813117143,0.43070253204283326,2.0874013440210435,4.6805762485361155,0.024975024975024976,31.13222874418304,0.005311976944678008,0.3093812375249501,0.15320884948542363
full,7,5,6,ok,0.9767937023956682,2020-02-01,quebra_livre,rotate,TRUE,68,79,1.146824168272485,0.8203721289767308,2.779943810454812,-0.5822755551348131,0.36603887166963167,1.2787811014696762,3.4638035061315398,0.08391608391608392,35.09810640253439,0.0014216665540892617,0.10778443113772455,0.26622921468594635
