sample,target_bd,agg,instrument,nw_lags,n_obs,n_nonzero,wald_mp,wald_mp_nw0,f_robust_mp,f_robust_mp_nw0,impact_mp,ar_bounded
full,21,sum,z_jk_bs_purif,0,147,53,4.882529237023827,4.882529237023827,5.485414559964898,5.485414559964898,7.056239041889791e-5,TRUE
full,21,sum,z_jk_raw,0,147,53,5.265192907051901,5.265192907051901,5.50583425982698,5.50583425982698,6.845354050650109e-5,TRUE
full,21,sum,z_jk_raw_purif,0,147,53,4.968158427088507,4.968158427088507,5.222600916452618,5.222600916452618,6.705526831349629e-5,TRUE
full,21,sum,z_jk_purif,0,147,50,4.790218663454976,4.790218663454976,6.528240143216324,6.528240143216324,7.486276376401583e-5,TRUE
full,21,sum,z_bruto,0,147,92,2.7042580112345633,2.7042580112345633,2.23065521071608,2.23065521071608,3.4177749993758675e-5,FALSE
full,21,gk,z_jk_bs_purif,1,147,92,2.0955702802825367,2.2015973548964958,1.7556536190560619,1.8092778756851897,5.542652217723273e-5,FALSE
full,21,gk,z_jk_raw,1,147,92,1.9626679308417678,2.0274934171069305,1.64009856382641,1.6658296245737134,5.1409428801222816e-5,FALSE
full,21,gk,z_jk_raw_purif,1,147,92,1.75104336862706,1.8335423431318674,1.4449190720168283,1.4867525201717353,4.9164397586883804e-5,FALSE
full,21,gk,z_jk_purif,1,147,87,0.8865858651828649,0.8881053547822699,0.6814915047480261,0.6816465291693586,3.918409016506501e-5,FALSE
full,21,gk,z_bruto,1,147,143,1.8708224137700236,1.8960598753546136,1.306627170691045,1.3376199981905017,3.145029742409914e-5,FALSE
full,42,sum,z_jk_bs_purif,0,147,55,6.5812714167501065,6.5812714167501065,6.904917786312879,6.904917786312879,7.580100451699193e-5,TRUE
full,42,sum,z_jk_raw,0,147,53,8.027555489614297,8.027555489614297,7.637234418070375,7.637234418070375,7.918681815629099e-5,TRUE
full,42,sum,z_jk_raw_purif,0,147,53,7.348704952048825,7.348704952048825,7.064643944077034,7.064643944077034,7.625793064975925e-5,TRUE
full,42,sum,z_jk_purif,0,147,54,6.7741013156325085,6.7741013156325085,10.302299309135082,10.302299309135082,8.831147086867177e-5,TRUE
full,42,sum,z_bruto,0,147,91,6.578743420321492,6.578743420321492,4.691010348905016,4.691010348905016,4.457499463618084e-5,TRUE
full,42,gk,z_jk_bs_purif,1,147,88,1.1772721829947526,1.3585211846999539,0.871238087984126,0.9952061223318818,4.5944889873613496e-5,FALSE
full,42,gk,z_jk_raw,1,147,86,1.5096324270960197,1.7531208504258637,1.1442613677451656,1.3224773018615597,4.86182658233513e-5,FALSE
full,42,gk,z_jk_raw_purif,1,147,86,1.204491857534697,1.4169313553861063,0.9099810871997988,1.0592079534216479,4.4186207279772136e-5,FALSE
full,42,gk,z_jk_purif,1,147,90,0.15567211412944873,0.16772342527697903,0.11114839190594088,0.11965279750567995,1.8000571655545814e-5,FALSE
full,42,gk,z_bruto,1,147,143,0.6493074550921243,0.713975155566168,0.4256758161424147,0.4663539845495889,1.7952190187914225e-5,FALSE
full,63,sum,z_jk_bs_purif,0,147,55,2.9692118574874207,2.9692118574874207,2.8036516669667955,2.8036516669667955,4.012876489882388e-5,FALSE
full,63,sum,z_jk_raw,0,147,56,4.366897210969307,4.366897210969307,4.0888470750855985,4.0888470750855985,4.562255389057918e-5,TRUE
full,63,sum,z_jk_raw_purif,0,147,56,4.167569700668771,4.167569700668771,3.9093438482215297,3.9093438482215297,4.531299874554477e-5,TRUE
full,63,sum,z_jk_purif,0,147,62,2.259349102413307,2.259349102413307,2.144087549531793,2.144087549531793,4.102397630352778e-5,FALSE
full,63,sum,z_bruto,0,147,94,1.808147146615325,1.808147146615325,1.3839871780123425,1.3839871780123425,2.0212204199649224e-5,FALSE
full,63,gk,z_jk_bs_purif,1,147,89,0.07328416665821039,0.08182911804184279,0.05192003519938343,0.05776788160436968,9.609679874679e-6,FALSE
full,63,gk,z_jk_raw,1,147,94,0.13459815167417474,0.1521042320311272,0.096413392755606,0.10861569419194089,1.2281955727118295e-5,FALSE
full,63,gk,z_jk_raw_purif,1,147,94,0.11115877398970252,0.12676593657836732,0.07960426082858973,0.09040483046987928,1.1219806167055614e-5,FALSE
full,63,gk,z_jk_purif,1,147,101,0.38155325997567857,0.3960715866624333,0.2662873758917869,0.2769049999501258,-2.2667150032535876e-5,FALSE
full,63,gk,z_bruto,1,147,146,0.09443583352722436,0.10454694987585313,0.06672011769474391,0.07389041481970489,-6.114113373147045e-6,FALSE
full,84,sum,z_jk_bs_purif,0,147,58,8.13222755495953,8.13222755495953,8.485451767037208,8.485451767037208,6.930773662734834e-5,TRUE
full,84,sum,z_jk_raw,0,147,52,8.893468682302347,8.893468682302347,9.362819014816425,9.362819014816425,6.641628717582218e-5,TRUE
full,84,sum,z_jk_raw_purif,0,147,52,8.750594629891305,8.750594629891305,9.160436703201333,9.160436703201333,6.704307197453911e-5,TRUE
full,84,sum,z_jk_purif,0,147,59,7.516493014390304,7.516493014390304,8.704420141487292,8.704420141487292,6.666215708758909e-5,TRUE
full,84,sum,z_bruto,0,147,90,7.307417141519613,7.307417141519613,5.180333495346948,5.180333495346948,4.096141446173439e-5,TRUE
full,84,gk,z_jk_bs_purif,1,147,91,0.0053335039330911094,0.006705507048535401,0.003725875812302386,0.004689954667424367,2.3760523697695636e-6,FALSE
full,84,gk,z_jk_raw,1,147,82,0.0959713369027706,0.11787343719849831,0.06679020407325766,0.08245310550986157,8.958515298214463e-6,FALSE
full,84,gk,z_jk_raw_purif,1,147,82,0.06940358580206706,0.08509462383327075,0.04835640158816274,0.05951202803519093,7.71916634040721e-6,FALSE
full,84,gk,z_jk_purif,1,147,95,0.10423873331683763,0.11837920161916764,0.07448573866175551,0.08390092338452573,-9.457634033460307e-6,FALSE
full,84,gk,z_bruto,1,147,139,0.0026070239460357007,0.0031116950424448877,0.0018342188480169532,0.002187717010184128,-9.59777558420588e-7,FALSE
full,105,sum,z_jk_bs_purif,0,147,61,4.918149335385916,4.918149335385916,7.808808607007342,7.808808607007342,5.285665977690051e-5,TRUE
full,105,sum,z_jk_raw,0,147,56,6.045515217582833,6.045515217582833,10.492170586312332,10.492170586312332,5.318502901472521e-5,TRUE
full,105,sum,z_jk_raw_purif,0,147,56,5.883468751810989,5.883468751810989,10.138671723864151,10.138671723864151,5.365732580680957e-5,TRUE
full,105,sum,z_jk_purif,0,147,64,4.058100567568042,4.058100567568042,5.734393995097708,5.734393995097708,4.6442335033638765e-5,TRUE
full,105,sum,z_bruto,0,147,94,4.418595616301264,4.418595616301264,4.306743899415348,4.306743899415348,3.4023965421203155e-5,TRUE
full,105,gk,z_jk_bs_purif,1,147,98,0.015333848932623684,0.020218443282021777,0.011111230250983014,0.014593192797565633,-2.9485981478712134e-6,FALSE
