sample,r,q,instrument,n_obs,f_robust_mp,wald_mp,ar_bounded
full,4,2,z_bruto,162,0.5738547467127091,0.6073949316694828,FALSE
full,4,2,z_bs_purif,162,0.33590377311666786,0.3644290566896653,FALSE
full,4,2,z_jk_bs_purif,162,2.9342065355519042,2.737107904443373,FALSE
full,4,3,z_bruto,162,3.470826507675392,2.9914074225350893,FALSE
full,4,3,z_bs_purif,162,2.5443010535526067,2.3481900705416545,FALSE
full,4,3,z_jk_bs_purif,162,6.494527269301549,4.875641945965432,TRUE
full,4,4,z_bruto,162,6.005121925659494,4.573791335198123,TRUE
full,4,4,z_bs_purif,162,4.485482960291592,3.7392064488894903,FALSE
full,4,4,z_jk_bs_purif,162,10.453169704776924,6.463106597699902,TRUE
full,5,2,z_bruto,162,0.7746637734623643,0.8444888856249515,FALSE
full,5,2,z_bs_purif,162,0.5422164774875675,0.6030074310404382,FALSE
full,5,2,z_jk_bs_purif,162,2.3741175001634685,2.338951439606032,FALSE
full,5,3,z_bruto,162,0.6454282608049876,0.7096356520097046,FALSE
full,5,3,z_bs_purif,162,0.4636317184724825,0.5188219307175654,FALSE
full,5,3,z_jk_bs_purif,162,2.115847439073955,2.104724006108695,FALSE
full,5,4,z_bruto,162,3.261420279817763,2.9643097134439587,FALSE
full,5,4,z_bs_purif,162,2.677702808716312,2.5694561477806706,FALSE
full,5,4,z_jk_bs_purif,162,5.465090077526397,4.359013093330324,TRUE
full,5,5,z_bruto,162,6.728099937508163,5.110192229764748,TRUE
full,5,5,z_bs_purif,162,5.3768810061727565,4.4593380139734,TRUE
full,5,5,z_jk_bs_purif,162,9.625427632173636,6.0570142714031245,TRUE
full,6,2,z_bruto,162,1.2118867957062331,1.311446441555682,FALSE
full,6,2,z_bs_purif,162,0.8462984373225722,0.9447463719357332,FALSE
full,6,2,z_jk_bs_purif,162,2.276635047118881,2.3668067519774,FALSE
full,6,3,z_bruto,162,1.0007976938097343,1.0985852064850872,FALSE
full,6,3,z_bs_purif,162,0.7212845241552511,0.8138139102591009,FALSE
full,6,3,z_jk_bs_purif,162,1.915086118726569,2.0186558877277836,FALSE
full,6,4,z_bruto,162,4.900575351382425,4.044278564238656,TRUE
full,6,4,z_bs_purif,162,3.6657879676870695,3.266593531894326,FALSE
full,6,4,z_jk_bs_purif,162,7.692630694861816,5.367759203290659,TRUE
full,6,5,z_bruto,162,5.10415273044915,4.163670955582594,TRUE
full,6,5,z_bs_purif,162,3.8488799548947306,3.400613115677972,FALSE
full,6,5,z_jk_bs_purif,162,7.968820040759396,5.516017723957356,TRUE
full,6,6,z_bruto,162,7.492526772808875,5.575901981159049,TRUE
full,6,6,z_bs_purif,162,5.861786539716605,4.819317623950308,TRUE
full,6,6,z_jk_bs_purif,162,10.064603463266545,6.418962519506961,TRUE
full,7,2,z_bruto,162,2.3652929925081794,2.5315761744394276,FALSE
full,7,2,z_bs_purif,162,1.831931133396653,2.0428273597234505,FALSE
full,7,2,z_jk_bs_purif,162,3.674075545010868,3.6431730908651145,FALSE
full,7,3,z_bruto,162,2.05912537859554,2.2204548196679537,FALSE
full,7,3,z_bs_purif,162,1.6291332270866963,1.8245570255262407,FALSE
full,7,3,z_jk_bs_purif,162,3.318265220634555,3.31396111581746,FALSE
full,7,4,z_bruto,162,6.827015779155672,5.847821179386936,TRUE
full,7,4,z_bs_purif,162,5.134693595772125,4.838200757250431,TRUE
full,7,4,z_jk_bs_purif,162,9.916368615780735,7.0939230142840985,TRUE
full,7,5,z_bruto,162,6.819796263883361,5.8453369669593265,TRUE
full,7,5,z_bs_purif,162,5.129643351183703,4.836511106160167,TRUE
full,7,5,z_jk_bs_purif,162,9.872912674821428,7.08554247307695,TRUE
full,7,6,z_bruto,162,6.873196333249746,5.855838176668989,TRUE
full,7,6,z_bs_purif,162,5.22347969509928,4.898723052966648,TRUE
