sample,instrument,exercise,key,n_used,wald_mp
full,z_jk_bs_purif,baseline,NA,147,6.270849621527436
full,z_jk_bs_purif,loo,2013-07,146,6.274138934296865
full,z_jk_bs_purif,loo,2013-08,146,5.765186325591619
full,z_jk_bs_purif,loo,2013-09,146,6.188914411159301
full,z_jk_bs_purif,loo,2013-10,146,6.27954689535973
full,z_jk_bs_purif,loo,2013-11,146,6.239199321645075
full,z_jk_bs_purif,loo,2013-12,146,6.2368813487629495
full,z_jk_bs_purif,loo,2014-01,146,6.081265229286121
full,z_jk_bs_purif,loo,2014-02,146,5.770465403308638
full,z_jk_bs_purif,loo,2014-03,146,6.2783727271615115
full,z_jk_bs_purif,loo,2014-04,146,6.053869270767447
full,z_jk_bs_purif,loo,2014-05,146,6.277897154147565
full,z_jk_bs_purif,loo,2014-06,146,6.146375265077802
full,z_jk_bs_purif,loo,2014-07,146,5.820201778217916
full,z_jk_bs_purif,loo,2014-08,146,6.262334639141246
full,z_jk_bs_purif,loo,2014-09,146,6.271080301630654
full,z_jk_bs_purif,loo,2014-10,146,6.285083933782671
full,z_jk_bs_purif,loo,2014-11,146,6.290326023854718
full,z_jk_bs_purif,loo,2014-12,146,6.3692519760239295
full,z_jk_bs_purif,loo,2015-01,146,6.193271623541859
full,z_jk_bs_purif,loo,2015-02,146,6.370782520693718
full,z_jk_bs_purif,loo,2015-03,146,6.263042790868565
full,z_jk_bs_purif,loo,2015-04,146,6.141660351851654
full,z_jk_bs_purif,loo,2015-05,146,6.243568965030917
full,z_jk_bs_purif,loo,2015-06,146,6.2618699512750275
full,z_jk_bs_purif,loo,2015-07,146,6.272447741361711
full,z_jk_bs_purif,loo,2015-08,146,6.302676063184353
full,z_jk_bs_purif,loo,2015-09,146,6.704309802548988
full,z_jk_bs_purif,loo,2015-10,146,6.14461799568642
full,z_jk_bs_purif,loo,2015-11,146,6.148569593824449
full,z_jk_bs_purif,loo,2015-12,146,6.115689587927898
full,z_jk_bs_purif,loo,2016-01,146,5.130087660619793
full,z_jk_bs_purif,loo,2016-02,146,6.29938763666708
full,z_jk_bs_purif,loo,2016-03,146,6.227516768961488
full,z_jk_bs_purif,loo,2016-04,146,6.220915876067285
full,z_jk_bs_purif,loo,2016-05,146,5.98909025026149
full,z_jk_bs_purif,loo,2016-06,146,6.525107920887131
full,z_jk_bs_purif,loo,2016-07,146,6.298695669328025
full,z_jk_bs_purif,loo,2016-08,146,6.252758052610864
full,z_jk_bs_purif,loo,2016-09,146,6.290202737259997
full,z_jk_bs_purif,loo,2016-10,146,6.267288721998979
full,z_jk_bs_purif,loo,2016-11,146,6.281768741935319
full,z_jk_bs_purif,loo,2016-12,146,6.870912720073922
full,z_jk_bs_purif,loo,2017-01,146,5.372817455848727
full,z_jk_bs_purif,loo,2017-02,146,6.415990921321435
full,z_jk_bs_purif,loo,2017-03,146,6.302528890234318
full,z_jk_bs_purif,loo,2017-04,146,6.2049059564004185
full,z_jk_bs_purif,loo,2017-05,146,6.273166362404779
full,z_jk_bs_purif,loo,2017-06,146,6.482747932814743
full,z_jk_bs_purif,loo,2017-07,146,5.887431353404813
full,z_jk_bs_purif,loo,2017-08,146,6.274975816403506
full,z_jk_bs_purif,loo,2017-09,146,6.336421978103166
full,z_jk_bs_purif,loo,2017-10,146,6.2738170838538805
full,z_jk_bs_purif,loo,2017-11,146,6.2565166703933315
full,z_jk_bs_purif,loo,2017-12,146,6.290609581876919
full,z_jk_bs_purif,loo,2018-01,146,6.2716048975396
full,z_jk_bs_purif,loo,2018-02,146,6.298180344582005
full,z_jk_bs_purif,loo,2018-03,146,6.291670285103274
full,z_jk_bs_purif,loo,2018-04,146,6.179672139591855
full,z_jk_bs_purif,loo,2018-05,146,5.575958325791798
full,z_jk_bs_purif,loo,2018-06,146,6.431842826902712
full,z_jk_bs_purif,loo,2018-07,146,6.304164342227979
full,z_jk_bs_purif,loo,2018-08,146,6.220302769914891
full,z_jk_bs_purif,loo,2018-09,146,6.579309541917599
full,z_jk_bs_purif,loo,2018-10,146,6.872312127268258
full,z_jk_bs_purif,loo,2018-11,146,5.977896604155142
full,z_jk_bs_purif,loo,2018-12,146,6.262778232362125
full,z_jk_bs_purif,loo,2019-01,146,6.301201460568892
full,z_jk_bs_purif,loo,2019-02,146,6.243757594313055
full,z_jk_bs_purif,loo,2019-03,146,6.203207656520391
full,z_jk_bs_purif,loo,2019-04,146,6.272426072963443
full,z_jk_bs_purif,loo,2019-05,146,6.228557407568001
full,z_jk_bs_purif,loo,2019-06,146,6.20450237882316
full,z_jk_bs_purif,loo,2019-07,146,6.324334019123167
