cell,var,h,level,tcode,point,ar_lo,ar_hi,set_type,casedummy,dm_lo,dm_hi,boot_lo,boot_hi
producao,cambio_eur,0,0.68,1,0.11348331,0.074300104,0.16830344,interval,1,0.071088581,0.15587805,0.078132761,0.14117604
producao,cambio_cny,0,0.68,1,0.018916724,0.013835123,0.026002332,interval,1,0.013427882,0.024405567,0.014278337,0.022550222
producao,cambio_ars,0,0.68,1,0.0059569283,0.0047385385,0.0077036034,interval,1,0.0046225127,0.0072913438,0.0034548574,0.0077131789
producao,cambio_inr,0,0.68,1,0.0015083482,0.0010574305,0.0021324948,interval,1,0.0010230777,0.0019936186,0.0010744937,0.0018243375
producao,cambio_usd,0,0.68,1,0.13424191,0.097882177,0.18665978,interval,1,0.094307992,0.17417583,0.100012,0.15914524
producao,juros_selic,0,0.68,1,0.26548581,0.22963701,0.30097685,interval,1,0.23285795,0.29811367,0.22837524,0.33461612
producao,yield_3m,0,0.68,1,0.0039875472,0.0038018049,0.0041790596,interval,1,0.0038150247,0.0041600697,0.0037941568,0.0042922605
producao,yield_6m,0,0.68,1,0.005,0.005,0.005,singleton,5,0.005,0.005,0.005,0.005
producao,yield_1y,0,0.68,1,0.0061438841,0.0058178129,0.0064919195,interval,1,0.0058357357,0.0064520325,0.0057497372,0.0064590356
producao,yield_2y,0,0.68,1,0.0070263642,0.0062462986,0.0079391519,interval,1,0.0062544974,0.007798231,0.0062318632,0.0077959072
producao,yield_5y,0,0.68,1,0.0072457194,0.0059079164,0.0089668194,interval,1,0.0058577144,0.0086337245,0.0060839594,0.0084294082
producao,yield_10y,0,0.68,1,0.0065864326,0.005257669,0.0083140176,interval,1,0.0052005211,0.007972344,0.005445788,0.0077512143
producao,base_monetary_base,0,0.68,4,-0.7560103,-1.1450184,-0.453866,interval,1,-1.0691863,-0.44184291,-1.0158761,-0.39601869
producao,base_money_supply,0,0.68,4,-0.28025565,-0.52914223,-0.071526359,interval,1,-0.48854861,-0.071526709,-0.45693566,-0.057175536
producao,base_demand_deposit,0,0.68,4,-0.20363765,-0.60890518,0.10407789,interval,1,-0.52622103,0.11999182,-0.62740641,0.18994802
producao,base_savings_deposit,0,0.68,4,-0.13902932,-0.27888104,-0.032118209,interval,1,-0.25082627,-0.027107066,-0.21965705,0.109445
producao,base_m1,0,0.68,4,-0.23280058,-0.5040654,-0.012292786,interval,1,-0.45629646,-0.0088029155,-0.49991006,0.051240216
producao,base_m2,0,0.68,4,0.13449441,0.014138213,0.25496184,interval,1,0.024410932,0.24469904,-0.013865317,0.30425334
producao,base_m3,0,0.68,4,-0.18761156,-0.26830399,-0.13664314,interval,1,-0.24626098,-0.12892767,-0.26831649,-0.10117758
producao,credito_agro,0,0.68,4,0.88579329,0.69849168,1.1124938,interval,1,0.69749721,1.0744415,0.5890544,1.1399272
producao,credito_industria_total,0,0.68,4,0.74022971,0.57905909,0.95643749,interval,1,0.56964364,0.91110513,0.61462454,1.031658
producao,credito_construcao,0,0.68,4,0.62887412,0.55430724,0.69080145,interval,1,0.56673206,0.69105457,0.36102048,1.0813128
producao,credito_comercio,0,0.68,4,0.68298919,0.5160556,0.8287311,interval,1,0.540405,0.82577559,0.38401366,1.0175662
producao,credito_transporte,0,0.68,4,1.1773814,0.90071356,1.5395976,interval,1,0.88828471,1.4673065,0.89380468,1.588682
producao,credito_pessoa_fisica,0,0.68,4,0.27470612,0.19959324,0.32099537,interval,1,0.22077945,0.32866181,0.20025893,0.40005031
producao,spread_credito_pj_total,0,0.68,1,0.0062715211,3.4423378e-4,0.015622597,interval,1,-5.3853515e-4,0.013081577,7.2254699e-4,0.013475805
producao,spread_credito_pf_total,0,0.68,1,-8.477679e-4,-0.0038597541,0.0024769032,interval,1,-0.0037423958,0.00204686,-0.0046655601,0.0030846259
producao,credit_outstanding,0,0.68,4,0.51419594,0.44393845,0.59223164,interval,1,0.44648947,0.58194806,0.30755915,0.68349857
producao,fin_inst_reserve_req,0,0.68,4,-0.68770521,-1.479902,-0.06311999,interval,1,-1.3293364,-0.041901606,-1.3282668,-0.12144477
producao,consumo_gasolina,0,0.68,1,-6.3625229,-13.273459,-1.7765105,interval,1,-11.512176,-1.2128699,-9.8180865,-3.523714
producao,consumo_glp,0,0.68,1,-0.44203087,-1.7491277,0.39042649,interval,1,-1.3962031,0.51214141,-1.6263133,0.7713112
producao,consumo_oleo_combustivel,0,0.68,1,-0.47578436,-1.0902116,0.0468255,interval,1,-0.99412581,0.042557078,-1.4651515,1.2174272
producao,consumo_oleo_diesel,0,0.68,1,-12.900789,-28.711082,-2.7341628,interval,1,-24.497913,-1.3036649,-20.744424,-5.1530502
producao,consumo_demais_derivados,0,0.68,1,-1.7782949,-4.4417927,-0.044770522,interval,1,-3.7438402,0.1872504,-3.08347,-0.51387266
