cell,level,var,n_h,n_limitado,n_ar_sig,n_dm_sig,n_boot_sig,razao_ar_boot,razao_ar_dm
producao,0.68,asset_ibov,49,49,33,34,8,0.824682,1.10205
producao,0.68,asset_idiv,49,49,33,33,10,0.852254,1.10147
producao,0.68,asset_ifix,49,49,31,33,2,0.564471,1.0977
producao,0.68,asset_ifnc,49,49,32,32,3,0.867369,1.10302
producao,0.68,asset_imat,49,49,36,37,7,0.646354,1.10164
producao,0.68,asset_imob,49,49,31,33,1,0.701103,1.10424
producao,0.68,asset_smll,49,49,32,34,1,0.730042,1.10182
producao,0.68,base_demand_deposit,49,49,28,30,21,0.847638,1.09582
producao,0.68,base_m1,49,49,29,31,20,0.908755,1.09495
producao,0.68,base_m2,49,49,20,20,18,0.8179,1.09634
producao,0.68,base_m3,49,49,35,36,23,0.843652,1.09609
producao,0.68,base_monetary_base,49,49,34,35,23,1.00843,1.09741
producao,0.68,base_money_supply,49,49,28,32,20,0.99327,1.09564
producao,0.68,base_savings_deposit,49,49,29,32,18,0.884742,1.09492
producao,0.68,cambio_ars,49,49,39,39,8,1.04993,1.10157
producao,0.68,cambio_cny,49,49,31,30,18,0.955049,1.09837
producao,0.68,cambio_eur,49,49,23,22,17,0.924899,1.09553
producao,0.68,cambio_inr,49,49,27,28,17,0.937933,1.0971
producao,0.68,cambio_usd,49,49,29,29,17,0.940012,1.0977
producao,0.68,capacidade_instalada_industria,49,49,29,28,23,0.984391,1.09923
producao,0.68,cds_5y,49,49,37,38,20,1.00805,1.10043
producao,0.68,commodity_agro,49,49,39,38,21,1.27728,1.10204
producao,0.68,commodity_energia,49,49,38,39,17,1.34766,1.10454
producao,0.68,commodity_metal,49,49,36,37,13,1.12781,1.10188
producao,0.68,consumo_alcool,49,49,33,31,1,1.29251,1.1011
producao,0.68,consumo_demais_derivados,49,49,22,22,6,1.34052,1.09946
producao,0.68,consumo_gasolina,49,49,33,32,1,1.31741,1.10105
producao,0.68,consumo_glp,49,49,31,30,15,0.925823,1.10359
producao,0.68,consumo_oleo_combustivel,49,49,36,36,0,0.375985,1.09477
