tag,instrument,r,q,sample,var,maturity,h0
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_3m,0.25,0.0032250364803341415
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,0.5,0.005
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_1y,1,0.006937531286206587
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,2,0.008446105367231062
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,5,0.008753908967703028
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_10y,10,0.007823626650111383
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,yield_3m,0.25,0.004044329650970525
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,yield_6m,0.5,0.005
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,yield_1y,1,0.006045250087663236
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,yield_2y,2,0.007320411599576201
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,yield_5y,5,0.008255006656855466
z_jk_bs_purif_r6q5_pre_covid,z_jk_bs_purif,6,5,pre_covid,yield_10y,10,0.007101211187024085
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,yield_3m,0.25,0.002832987211072491
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,yield_6m,0.5,0.005
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,yield_1y,1,0.007306577767014389
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,yield_2y,2,0.009080368203674482
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,yield_5y,5,0.009206882613002804
z_jk_bs_purif_r7q6_full,z_jk_bs_purif,7,6,full,yield_10y,10,0.00803443672128502
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,yield_3m,0.25,0.002679818450375834
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,yield_6m,0.5,0.005
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,yield_1y,1,0.007792281266495298
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,yield_2y,2,0.009826045009829386
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,yield_5y,5,0.008553710450887328
z_jk_bs_purif_r7q6_pre_covid,z_jk_bs_purif,7,6,pre_covid,yield_10y,10,0.007397006554538065
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,yield_3m,0.25,0.003272282743431127
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,yield_6m,0.5,0.005
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,yield_1y,1,0.006756131662003152
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,yield_2y,2,0.00802700739545289
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,yield_5y,5,0.007980534676952762
z_jk_bs_purif_r8q8_full,z_jk_bs_purif,8,8,full,yield_10y,10,0.006951406379337591
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,yield_3m,0.25,0.0034274848816380366
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,yield_6m,0.5,0.005
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,yield_1y,1,0.006279141824603073
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,yield_2y,2,0.005825363995811861
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,yield_5y,5,0.0013306302980548132
z_jk_bs_purif_r8q8_pre_covid,z_jk_bs_purif,8,8,pre_covid,yield_10y,10,-1.6830635515749538e-4
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,yield_3m,0.25,0.002746378910841824
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,yield_6m,0.5,0.005
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,yield_1y,1,0.007740446134104938
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,yield_2y,2,0.010459276504886499
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,yield_5y,5,0.01218911755829162
z_jk_purif_r6q5_full,z_jk_purif,6,5,full,yield_10y,10,0.01115375414362815
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,yield_3m,0.25,0.004036090795171298
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,yield_6m,0.5,0.005
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,yield_1y,1,0.005998429912922034
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,yield_2y,2,0.007223675719392097
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,yield_5y,5,0.008492115435142977
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,yield_10y,10,0.007543811542760938
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,yield_3m,0.25,0.002668962826583853
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,yield_6m,0.5,0.005
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,yield_1y,1,0.007807428900690451
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,yield_2y,2,0.010670865354625364
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,yield_5y,5,0.012529970470130929
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,yield_10y,10,0.011412581057929512
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_3m,0.25,0.002245881129759392
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_6m,0.5,0.005
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_1y,1,0.00820306054726691
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_2y,2,0.010341133150511975
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_5y,5,0.009159767250485814
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,yield_10y,10,0.008198023132149236
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_3m,0.25,0.002863786338251557
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_6m,0.5,0.005
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_1y,1,0.007578570880020855
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_2y,2,0.010241412627998936
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_5y,5,0.012022410595221198
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,yield_10y,10,0.010966024676613215
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_3m,0.25,0.0035314072104242773
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_6m,0.5,0.005
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_1y,1,0.006025478249064471
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_2y,2,0.004725506039405903
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_5y,5,-1.390547611059153e-4
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,yield_10y,10,-0.0011666459685943501
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_3m,0.25,0.003215476275834763
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_6m,0.5,0.005
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,yield_1y,1,0.006934256172591972
