group,var,tier,theory_sign,w_lo,w_hi,h0,h3,h6,h12,h24,h36,h48,peak_h,peak_val,share_correct,first_correct_h,right_sig68,right_sig90,wrong_sig90,contain0_share,channel,verdict
curva_juros,yield_3m,scored,1,0,6,0.0040153154453415945,0.006007138746305128,0.005516942936757707,0.0020239062389538526,-0.004879020971502723,-0.007859439896806271,-0.0074155859909975875,40,-0.008016097043361295,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
curva_juros,yield_6m,scored,1,0,6,0.005,0.007403149152490637,0.006537387441353954,0.001966092172261116,-0.006313786637922919,-0.009687855488946009,-0.0089931469646673,39,-0.009822412963642566,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
curva_juros,yield_1y,scored,1,0,6,0.006119249932480584,0.008841211698451631,0.007473387460452415,0.0017199386255342898,-0.0078116447770916414,-0.011445544335089963,-0.010452363237238043,39,-0.011544879661828813,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
curva_juros,yield_2y,scored,1,0,6,0.007009032608368654,0.009653988130034992,0.007799008509186346,0.0013531255307161758,-0.00843269889317678,-0.011935657879864375,-0.010768366764390233,38,-0.012003596092510971,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
curva_juros,yield_5y,scored,1,0,6,0.0072900543327283655,0.009222240623838284,0.007108684007387982,0.0010625669736054634,-0.007274981189422272,-0.010116368848670065,-0.00909691924832838,38,-0.010162510014795076,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
curva_juros,yield_10y,scored,1,0,6,0.0066355942486380284,0.00822155905801302,0.006281337769389641,9.08520055384156e-4,-0.0063460411347813165,-0.008790205619813791,-0.007905200015792178,38,-0.008828925412349427,1,0,TRUE,TRUE,FALSE,NA,NA,coerente_forte
curva_juros,juros_selic,scored,1,1,12,0.27171486425583474,0.4114913940517077,0.4051150724638136,0.18844847497998277,-0.31663124724694064,-0.5523739769598724,-0.5334822932474584,41,-0.5691008501941953,1,1,TRUE,TRUE,FALSE,NA,NA,coerente_forte
acoes,asset_ibov,scored,-1,0,6,-1.5020158375666013,0.8818048931445434,1.9359201430026525,1.816319799914475,-0.845169635576388,-2.7989693715294797,-3.2621560238938785,46,-3.274425489630888,0.2857142857142857,0,FALSE,FALSE,TRUE,NA,NA,incoerente
acoes,asset_smll,scored,-1,0,6,-2.393927387611838,-0.1322569103410661,1.206365477131973,1.596385259761616,-0.5108085505055602,-2.2453243614404848,-2.7200661002992366,47,-2.7227109603560056,0.5714285714285714,0,TRUE,FALSE,FALSE,NA,NA,parcial
acoes,asset_idiv,scored,-1,0,6,-1.8328377210187305,0.48888466615655696,1.5770031626273655,1.5270700857021182,-0.9922692886390619,-2.7885847108760973,-3.1387617550087454,45,-3.1674938930510175,0.2857142857142857,0,TRUE,FALSE,TRUE,NA,NA,incoerente
