r,q,group,var,tier,theory_sign,w_lo,w_hi,h0,h3,h6,h12,h24,h36,peak_h,peak_val,share_correct,first_correct_h,right_sig68,right_sig90,wrong_sig90,verdict,yield6m_impact,dfm_max_eig
8,4,acoes,asset_ibov,scored,-1,0,6,-0.014331518980837567,0.006446819343120558,0.01130907661305684,0.018131057993469018,-9.874001479060661e-4,-0.0018665619988256282,2,0.020295137184594327,0.2857142857142857,0,FALSE,FALSE,FALSE,incoerente,0.005,0.9800073730917406
8,4,risco_cambio_soft,cambio_usd,soft,-1,0,6,0.16609784403953343,0.15489645202415459,0.11731365580924008,0.018090066239412023,-0.024541644319400324,0.040217115403847925,1,0.21042928345077813,0,NA,FALSE,FALSE,TRUE,soft_depreciacao_fiscal_dom,0.005,0.9800073730917406
8,4,risco_cambio_soft,embi_perc,soft,-1,0,6,0.21408298923418798,0.16306491556601405,0.12435418003606158,-0.028253895758768712,-0.14146461915085365,-0.06957327375005938,1,0.24394259212789912,0,NA,FALSE,FALSE,TRUE,soft_risco_abre_fiscal_dom,0.005,0.9800073730917406
8,4,credito,credit_outstanding,scored,-1,6,36,0.07034485544534785,0.047572400056372643,0.026986794407046766,-0.4395929077192551,-1.2270516352709038,-1.03274142773504,26,-1.2458684141343546,0.9354838709677419,8,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9800073730917406
8,4,credito,credito_pessoa_fisica,scored,-1,6,36,-0.020196521913995458,0.02628329821978692,-0.02175511482142012,-0.3500825034303712,-0.900922088889955,-0.8443224385485504,28,-0.9382085979806498,1,6,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9800073730917406
8,4,credito,spread_icc_juridica,scored,1,0,12,-0.016847802321792095,7.754380510941849e-5,0.017717733432080947,0.04249389086480718,0.03478600748806631,0.0025132480316197724,19,0.04329268008833708,0.7692307692307693,3,FALSE,FALSE,FALSE,parcial,0.005,0.9800073730917406
8,4,credito,spread_icc_fisica,scored,1,0,12,-0.009991342268863102,0.01575934244333562,0.0601188789244681,0.09347626990292224,0.029466705585491006,-0.01841771651048016,11,0.09596167612794472,0.7692307692307693,3,FALSE,FALSE,FALSE,parcial,0.005,0.9800073730917406
8,4,atividade,ibc_br,scored,-1,3,24,-0.4997908829416502,-0.2921956250137805,-0.4611670954613898,-0.6317217293953142,-0.25328343626708466,-0.25081568130645177,12,-0.6317217293953142,1,3,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9800073730917406
8,4,trabalho,trab_tx_desemprego,scored,1,6,36,-0.011439647455344482,-0.03855236776220574,-0.027533420429640743,0.06858887427540517,0.2839595277386285,0.29923881447429146,30,0.3114102755261674,0.8709677419354839,10,FALSE,FALSE,FALSE,coerente,0.005,0.9800073730917406
8,4,precos,price_ipca,scored,-1,12,48,-0.005482447814088817,0.047713277029672804,0.06614625726926739,-0.06678995708339201,-0.0058183656486242175,0.035609976663114266,5,0.13124588252493227,0.35135135135135137,12,FALSE,FALSE,FALSE,incoerente,0.005,0.9800073730917406
7,7,acoes,asset_ibov,scored,-1,0,6,-0.015660994819734615,0.012352536927897576,0.01270384935277482,0.014678118230406415,4.2030341921213854e-4,-0.0027670397369454875,2,0.017764121465443747,0.2857142857142857,0,TRUE,FALSE,FALSE,incoerente,0.005,0.9803559968450436
7,7,risco_cambio_soft,cambio_usd,soft,-1,0,6,0.11503015970981363,0.11131606391944038,0.06799870283016565,-0.015031563481495692,-0.048871165789011205,0.016948524565353826,1,0.15813917967975052,0,NA,FALSE,FALSE,TRUE,soft_depreciacao_fiscal_dom,0.005,0.9803559968450436
7,7,risco_cambio_soft,embi_perc,soft,-1,0,6,0.18384100583253016,0.12955129156407513,0.09654400924881465,0.009903754975883274,-0.11862137168707625,-0.05322179285433217,1,0.18622395301893271,0,NA,FALSE,FALSE,TRUE,soft_risco_abre_fiscal_dom,0.005,0.9803559968450436
7,7,credito,credit_outstanding,scored,-1,6,36,0.1294777686202675,0.26020361223619837,0.368418443147589,0.14865474374199383,-0.6025419759635331,-0.54906340955585,28,-0.6494964157677918,0.7419354838709677,14,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
