tag,r,q,sample,mp_var,var,maturity,h0,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,0.25,0.0032250364803341415,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,0.5,0.005,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_1y,1,0.006937531286206587,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_2y,2,0.008446105367231062,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_5y,5,0.008753908967703028,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_10y,10,0.007823626650111383,TRUE
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,yield_3m,0.25,0.004044329650970525,TRUE
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,yield_6m,0.5,0.005,TRUE
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,yield_1y,1,0.006045250087663236,TRUE
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,yield_2y,2,0.007320411599576201,TRUE
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,yield_5y,5,0.008255006656855466,TRUE
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,yield_10y,10,0.007101211187024085,FALSE
r8q8_full_yield_6m,8,8,full,yield_6m,yield_3m,0.25,0.003272282743431127,TRUE
r8q8_full_yield_6m,8,8,full,yield_6m,yield_6m,0.5,0.005,TRUE
r8q8_full_yield_6m,8,8,full,yield_6m,yield_1y,1,0.006756131662003152,TRUE
r8q8_full_yield_6m,8,8,full,yield_6m,yield_2y,2,0.00802700739545289,TRUE
r8q8_full_yield_6m,8,8,full,yield_6m,yield_5y,5,0.007980534676952762,TRUE
r8q8_full_yield_6m,8,8,full,yield_6m,yield_10y,10,0.006951406379337591,TRUE
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,yield_3m,0.25,0.0034274848816380366,FALSE
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,yield_6m,0.5,0.005,TRUE
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,yield_1y,1,0.006279141824603073,FALSE
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,yield_2y,2,0.005825363995811861,FALSE
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,yield_5y,5,0.0013306302980548132,FALSE
r8q8_pre_covid_yield_6m,8,8,pre_covid,yield_6m,yield_10y,10,-1.6830635515749538e-4,FALSE
r6q5_full_yield_2y,6,5,full,yield_2y,yield_3m,0.25,0.0019091855595636648,TRUE
r6q5_full_yield_2y,6,5,full,yield_2y,yield_6m,0.5,0.0029599441296333136,TRUE
r6q5_full_yield_2y,6,5,full,yield_2y,yield_1y,1,0.004106941000950927,TRUE
r6q5_full_yield_2y,6,5,full,yield_2y,yield_2y,2,0.005,TRUE
r6q5_full_yield_2y,6,5,full,yield_2y,yield_5y,5,0.0051822162920594,TRUE
r6q5_full_yield_2y,6,5,full,yield_2y,yield_10y,10,0.004631499555087986,TRUE
