sample,rung,instrument,degrau,var,h,point
full,bruta,z_bruto,1,price_ipca,0,-0.06621242797698819
full,bruta,z_bruto,1,price_ipca,1,-0.005844301632761779
full,bruta,z_bruto,1,price_ipca,2,0.019522743855998444
full,bruta,z_bruto,1,price_ipca,3,0.06328543434931931
full,bruta,z_bruto,1,price_ipca,4,0.08299517875197827
full,bruta,z_bruto,1,price_ipca,5,0.10966240746670208
full,bruta,z_bruto,1,price_ipca,6,0.09598131626150465
full,bruta,z_bruto,1,price_ipca,7,0.08482483848406418
full,bruta,z_bruto,1,price_ipca,8,0.07770872008896917
full,bruta,z_bruto,1,price_ipca,9,0.053268764835468024
full,bruta,z_bruto,1,price_ipca,10,0.02815287632645862
full,bruta,z_bruto,1,price_ipca,11,0.006083840528696697
full,bruta,z_bruto,1,price_ipca,12,-0.021717920254561512
full,bruta,z_bruto,1,price_ipca,13,-0.0495489021636719
full,bruta,z_bruto,1,price_ipca,14,-0.07447365171487291
full,bruta,z_bruto,1,price_ipca,15,-0.09947858372005561
full,bruta,z_bruto,1,price_ipca,16,-0.12306110280550556
full,bruta,z_bruto,1,price_ipca,17,-0.14409293211865387
full,bruta,z_bruto,1,price_ipca,18,-0.16342030461761073
full,bruta,z_bruto,1,price_ipca,19,-0.18083124192902186
full,bruta,z_bruto,1,price_ipca,20,-0.19602555316148182
full,bruta,z_bruto,1,price_ipca,21,-0.2092264958953761
full,bruta,z_bruto,1,price_ipca,22,-0.2204970487263853
full,bruta,z_bruto,1,price_ipca,23,-0.22982737700607492
full,bruta,z_bruto,1,price_ipca,24,-0.23731274318734477
full,bruta,z_bruto,1,price_ipca,25,-0.24305031822570544
full,bruta,z_bruto,1,price_ipca,26,-0.2471125695797952
full,bruta,z_bruto,1,price_ipca,27,-0.249579145075295
full,bruta,z_bruto,1,price_ipca,28,-0.2505449502907777
full,bruta,z_bruto,1,price_ipca,29,-0.25010205346644293
full,bruta,z_bruto,1,price_ipca,30,-0.24833753880121556
full,bruta,z_bruto,1,price_ipca,31,-0.24534765044113477
full,bruta,z_bruto,1,price_ipca,32,-0.24123136976055626
full,bruta,z_bruto,1,price_ipca,33,-0.2360847896934857
full,bruta,z_bruto,1,price_ipca,34,-0.2300075749100861
full,bruta,z_bruto,1,price_ipca,35,-0.22310122545150804
full,bruta,z_bruto,1,price_ipca,36,-0.21546537961532547
full,bruta,z_bruto,1,price_ipca,37,-0.20719950520875963
full,bruta,z_bruto,1,price_ipca,38,-0.19840230177496954
full,bruta,z_bruto,1,price_ipca,39,-0.18916974817688867
full,bruta,z_bruto,1,price_ipca,40,-0.17959505471161274
full,bruta,z_bruto,1,price_ipca,41,-0.16976825158391431
full,bruta,z_bruto,1,price_ipca,42,-0.15977523011159211
full,bruta,z_bruto,1,price_ipca,43,-0.14969736598929426
full,bruta,z_bruto,1,price_ipca,44,-0.13961121793969716
full,bruta,z_bruto,1,price_ipca,45,-0.12958809667914545
full,bruta,z_bruto,1,price_ipca,46,-0.11969381042412171
full,bruta,z_bruto,1,price_ipca,47,-0.10998852109745125
full,bruta,z_bruto,1,price_ipca,48,-0.10052661601077797
full,bruta,z_bruto,1,price_ipca_difusao,0,0.3104277272729318
full,bruta,z_bruto,1,price_ipca_difusao,1,0.5844696859917039
full,bruta,z_bruto,1,price_ipca_difusao,2,0.592834221932151
full,bruta,z_bruto,1,price_ipca_difusao,3,1.0707376735632854
full,bruta,z_bruto,1,price_ipca_difusao,4,1.1937775266197106
full,bruta,z_bruto,1,price_ipca_difusao,5,1.295148530356359
full,bruta,z_bruto,1,price_ipca_difusao,6,1.283970269807941
full,bruta,z_bruto,1,price_ipca_difusao,7,1.2231511543484586
full,bruta,z_bruto,1,price_ipca_difusao,8,1.156027492839832
full,bruta,z_bruto,1,price_ipca_difusao,9,1.0122189238718895
full,bruta,z_bruto,1,price_ipca_difusao,10,0.8497408035811196
full,bruta,z_bruto,1,price_ipca_difusao,11,0.6934932881652347
full,bruta,z_bruto,1,price_ipca_difusao,12,0.504469732842382
full,bruta,z_bruto,1,price_ipca_difusao,13,0.309432232305747
full,bruta,z_bruto,1,price_ipca_difusao,14,0.12535974292732682
full,bruta,z_bruto,1,price_ipca_difusao,15,-0.06304960598063147
full,bruta,z_bruto,1,price_ipca_difusao,16,-0.24708193363950773
full,bruta,z_bruto,1,price_ipca_difusao,17,-0.41973199804251954
full,bruta,z_bruto,1,price_ipca_difusao,18,-0.5855022016519099
full,bruta,z_bruto,1,price_ipca_difusao,19,-0.7422061518626432
full,bruta,z_bruto,1,price_ipca_difusao,20,-0.8874504882496733
full,bruta,z_bruto,1,price_ipca_difusao,21,-1.0221763260256844
full,bruta,z_bruto,1,price_ipca_difusao,22,-1.1458960280739945
full,bruta,z_bruto,1,price_ipca_difusao,23,-1.257915456832147
full,bruta,z_bruto,1,price_ipca_difusao,24,-1.358385502783331
full,bruta,z_bruto,1,price_ipca_difusao,25,-1.4472672568208425
full,bruta,z_bruto,1,price_ipca_difusao,26,-1.524483887438115
full,bruta,z_bruto,1,price_ipca_difusao,27,-1.5901535380236718
full,bruta,z_bruto,1,price_ipca_difusao,28,-1.6444489942250982
full,bruta,z_bruto,1,price_ipca_difusao,29,-1.687586324318093
full,bruta,z_bruto,1,price_ipca_difusao,30,-1.7198453249930825
full,bruta,z_bruto,1,price_ipca_difusao,31,-1.7415854245615146
full,bruta,z_bruto,1,price_ipca_difusao,32,-1.753226922724885
full,bruta,z_bruto,1,price_ipca_difusao,33,-1.7552313546339364
full,bruta,z_bruto,1,price_ipca_difusao,34,-1.748118662186339
full,bruta,z_bruto,1,price_ipca_difusao,35,-1.7324564053837983
full,bruta,z_bruto,1,price_ipca_difusao,36,-1.708840397591216
full,bruta,z_bruto,1,price_ipca_difusao,37,-1.677897926555475
full,bruta,z_bruto,1,price_ipca_difusao,38,-1.6402806261184772
full,bruta,z_bruto,1,price_ipca_difusao,39,-1.5966512776341721
full,bruta,z_bruto,1,price_ipca_difusao,40,-1.547680198736911
full,bruta,z_bruto,1,price_ipca_difusao,41,-1.494039454288131
full,bruta,z_bruto,1,price_ipca_difusao,42,-1.4363945255237067
