sample,r,q,p,instrument,mp_var,n_obs_align,wald_mp,f_robust_mp,fs_beta,fs_se,fs_p,impact_mp_pre,sign_mp,score_hard,n_hard_avail,score_ext,n_ext_avail,fx_channel,risk_channel,yield_ordering_ok,magnitude_flag,h0_yield6m,h0_yield2y,h0_yield5y,h0_ibov,h0_cambio,dfm_max_eig,failure_class,err_msg,denom_ratio
full,5,4,6,z_bruto,yield_3m,147,2.0738554048622504,1.8701619263937603,1.5596000610280758e-5,1.1404431419364578e-5,0.17412327592555915,1.0764928694276179e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009386733877646861,0.02408041089380499,0.031746048223571736,-11.859161594532791,0.9239408579924988,0.9654973075567307,weak_xi_mp_severe,NA,0.46429019324642057
full,5,4,6,z_bruto,yield_6m,147,2.9692363852717945,2.7724723204952015,2.927910145694331e-5,1.7584261558916906e-5,0.0986200854108282,2.0209504173002998e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.012826831572986735,0.016910060856828127,-6.316979765865984,0.49215247285998454,0.9654973075567307,weak_xi_mp_severe,NA,0.49498830617906475
full,5,4,6,z_bruto,yield_1y,147,3.53317332827825,3.3091083960944156,5.0087591638545904e-5,2.7534338882484897e-5,0.0714987521173354,3.457228336469503e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0029227899065586162,0.0074980267709306,0.009884911038325839,-3.692640939921622,0.2876916560326052,0.9654973075567307,weak_xi_mp_severe,NA,0.4885020102745134
full,5,4,6,z_bruto,yield_2y,147,3.840851248267006,3.546296062592392,7.511162059956801e-5,3.988592216674537e-5,0.06220484064900844,5.18447812401364e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0019490393911969594,0.005,0.006591674943499166,-2.4624084794133894,0.19184491121582045,0.9654973075567307,weak_xi_mp,NA,0.518955063775318
full,5,4,6,z_bruto,juros_selic,147,0.004130528236380647,0.0032248305849122785,-3.807637377551396e-5,6.705051676612705e-4,0.9548129479645306,-2.6281702519386646e-5,-1,0,4,2,3,apreciacao,standard,FALSE,TRUE,-0.38447859605167317,-0.9863284389946427,-1.3003112914763262,485.74870233339607,-37.8444183617132,0.9654973075567307,negative_control,NA,0.07610802629346429
full,5,4,6,z_bruto_purif,yield_3m,147,1.9866297171360485,1.7845184625673636,1.517755894091623e-5,1.1361649968719639e-5,0.18423310943624308,1.0645813065510204e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.0096784800803573,0.02595424132646969,0.03483741269741427,-16.002951395337305,0.9874042406645474,0.9654973075567307,weak_xi_mp_severe,NA,0.4591527492494316
full,5,4,6,z_bruto_purif,yield_6m,147,2.9566320689145846,2.762289572669213,2.9379140375709383e-5,1.7676833949440085e-5,0.0992335948114448,2.0607057938749597e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.013408221699574722,0.017997357233868576,-8.267285391130612,0.5101029461580994,0.9654973075567307,weak_xi_mp_severe,NA,0.5047255299841343
full,5,4,6,z_bruto_purif,yield_1y,147,3.580461147954519,3.367446605833865,5.145870025781932e-5,2.804196568171857e-5,0.06908108395535197,3.609405871318096e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0028546329608568287,0.007655110322016354,0.010275169833623263,-4.7200130748663165,0.2912313367066173,0.9654973075567307,weak_xi_mp_severe,NA,0.510004504312287
full,5,4,6,z_bruto_purif,yield_2y,147,3.9208074689574492,3.6443031894440154,7.878440550036169e-5,4.126986152364391e-5,0.0587534574148257,5.526080028374718e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0018645276428262624,0.005,0.006711314012073432,-3.082916428579351,0.19022020875977855,0.9654973075567307,weak_xi_mp,NA,0.5531486766757873
full,5,4,6,z_bruto_purif,juros_selic,147,0.0378158961149606,0.029427233050166347,-1.1416489289421732e-4,6.655150164883056e-4,0.8640977819361735,-8.007731104989652e-5,-1,0,4,2,3,apreciacao,standard,FALSE,TRUE,-0.12866976718229992,-0.3450465528825883,-0.4631431530357102,212.74993730128108,-13.126965464233583,0.9654973075567307,negative_control,NA,0.23189236277215403
full,5,4,6,z_jk,yield_3m,147,4.100038284918774,5.324241371544115,3.0029403255760354e-5,1.3014210712910959e-5,0.022819758701716538,2.1746833029766364e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009316918899871704,0.024286653875536027,0.03181028972447715,-28.71598353936513,0.7267437644876529,0.9654973075567307,weak_xi_mp,NA,0.9379385220876065
full,5,4,6,z_jk,yield_6m,147,5.7395711732221315,8.75202951351921,5.5956302949183884e-5,1.8914489578744104e-5,0.0037550746093303654,4.052269593347689e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.013033629538124702,0.017071249662222125,-15.410665182327904,0.39001292825338446,0.9654973075567307,weak_xi_mp,NA,0.9925162166381085
full,5,4,6,z_jk,yield_1y,147,7.0012372192039205,11.668962074745993,9.621085008743246e-5,2.816488211198782e-5,8.790893010079323e-4,6.96744212556454e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0029080037697617423,0.007580368766108925,0.00992865167445716,-8.962854488949114,0.2268318131233316,0.9654973075567307,weak_xi_mp,NA,0.9844907982807256
full,5,4,6,z_jk,yield_2y,147,8.010673107367655,13.708395672389646,1.458627445928603e-4,3.9395903547980926e-5,3.294042787291373e-4,1.0563156133660203e-4,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0019181149753315023,0.005,0.006548923924946221,-5.911885533208585,0.14961792765114149,0.9654973075567307,weak_xi_mp,NA,1.0573491167069393
full,5,4,6,z_jk,juros_selic,147,0.03310414886096903,0.026382155619831656,1.3714621052020586e-4,8.443619870429815e-4,0.8712555753466407,9.931918112556935e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.20400236628131277,0.5317782534022906,0.6965150652944749,-628.7624326327862,15.91271204879886,0.9654973075567307,negative_control,NA,0.2876140479474
full,5,4,6,z_jk_purif,yield_3m,147,4.035325433798681,5.164079264764769,2.966673992366695e-5,1.3054894738857991e-5,0.024916843797987094,2.168794938925288e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009483099274770144,0.025469246750645533,0.03379748382876732,-32.201832194667865,0.7514157883519961,0.9654973075567307,weak_xi_mp,NA,0.9353988771341202
full,5,4,6,z_jk_purif,yield_6m,147,5.717693025453005,8.636668225085403,5.6266527971082225e-5,1.914595345275335e-5,0.003982406148587402,4.113379542489511e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.013428756787565568,0.017819851321543043,-16.978537955592788,0.39618681961452384,0.9654973075567307,weak_xi_mp,NA,1.0074837833618915
full,5,4,6,z_jk_purif,yield_1y,147,6.9853444618033755,11.557002752551453,9.830982089981757e-5,2.89184023938381e-5,9.284464253256043e-4,7.1869656916181e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0028616941550777117,0.007685798961787306,0.010198992874242712,-9.717476565856991,0.22675310120194206,0.9654973075567307,weak_xi_mp,NA,1.0155092017192744
full,5,4,6,z_jk_purif,yield_2y,147,7.922062364139287,13.398701417492454,1.511179038812189e-4,4.128426588119983e-5,3.81751724234739e-4,1.1047514690207875e-4,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0018616764303266624,0.005,0.006634959439448421,-6.321708786666745,0.147514332816488,0.9654973075567307,weak_xi_mp,NA,1.1058323621929331
full,5,4,6,z_jk_purif,juros_selic,147,0.01084219023601236,0.008562491664493356,7.773142693762153e-5,8.400334102330428e-4,0.9264349987883618,5.682576710237125e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.36192908184409417,0.9720515228862506,1.2899044854808683,-1229.0053306645605,28.67830637236327,0.9654973075567307,negative_control,NA,0.1645592394017586
full,5,4,6,z_jk_raw_purif,yield_3m,147,3.3693870528395755,4.236239755914073,2.871755708804959e-5,1.3952666934342169e-5,0.041829586078054475,2.0704959063954498e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.008775281753141635,0.02034895657266061,0.02530900457160892,-13.23334586903929,0.6883549435266987,0.9654973075567307,weak_xi_mp_severe,NA,0.8930026122768512
full,5,4,6,z_jk_raw_purif,yield_6m,147,4.263272909801452,6.039790292858769,5.040093094199392e-5,2.0508203978653695e-5,0.01547911349533132,3.633836989469288e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.011594474767363163,0.014420622199707746,-7.54012591350792,0.3922124456461248,0.9654973075567307,weak_xi_mp,NA,0.8900301565790265
full,5,4,6,z_jk_raw_purif,yield_1y,147,4.772061408727892,7.167031052904931,8.163985812014681e-5,3.0495278098522108e-5,0.008511529382820246,5.886120170936959e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.003086784574507634,0.007157929172282918,0.008902670832172043,-4.654948871932305,0.2421350654300743,0.9654973075567307,weak_xi_mp,NA,0.831701367794638
full,5,4,6,z_jk_raw_purif,yield_2y,147,5.09456100102255,7.792606648670368,1.1687446441198376e-4,4.186761832126727e-5,0.006144578791248367,8.426486256622516e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0021561994399583785,0.005,0.006218747502172241,-3.251603054384286,0.169137651129376,0.9654973075567307,weak_xi_mp,NA,0.8434730763840086
full,5,4,6,z_jk_raw_purif,juros_selic,147,0.13500544270485348,0.10969582454805611,2.903161465295197e-4,8.765488861483894e-4,0.7410934572479869,2.0931390198913131e-4,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.08680352702177364,0.2012882607544162,0.25035217375662405,-130.9019046961521,6.8090847247838635,0.9654973075567307,negative_control,NA,0.6061429218455439
full,5,4,6,z_jk_raw,yield_3m,147,3.795770784487694,4.900761425436486,2.9952898891072213e-5,1.35302892165868e-5,0.028817803366839773,2.1387176386964378e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.008642173354530318,0.01958215532196123,0.02407395009332853,-12.148804424573509,0.6511805696319273,0.9654973075567307,weak_xi_mp_severe,NA,0.922426570552091
full,5,4,6,z_jk_raw,yield_6m,147,4.677322901689297,6.782550534067482,5.177162893754607e-5,1.987903556497439e-5,0.010420166518190081,3.696633718001271e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.011329415945872027,0.013928180508383757,-7.028790054416681,0.37674583864403255,0.9654973075567307,weak_xi_mp,NA,0.9054108636085221
full,5,4,6,z_jk_raw,yield_1y,147,5.129365156695379,7.814698180634569,8.289253864456972e-5,2.9652364891008857e-5,0.006074712809683199,5.91875047419446e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0031228159846562733,0.007075936242517768,0.008699028945751745,-4.389923586945089,0.23530158541406354,0.9654973075567307,weak_xi_mp,NA,0.8363119885537615
full,5,4,6,z_jk_raw,yield_2y,147,5.365031898107187,8.225489753421877,1.1730846368600942e-4,4.090236918106522e-5,0.004915223718785029,8.37614019815436e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0022066450838632125,0.005,0.0061469102091968875,-3.102009003817042,0.1662688705419555,0.9654973075567307,weak_xi_mp,NA,0.8384335446590776
full,5,4,6,z_jk_raw,juros_selic,147,0.25251496831803094,0.20794404943058467,3.938663383518221e-4,8.637252523557298e-4,0.649243596873878,2.8123117171515127e-4,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.06572233254686034,0.14891912847126074,0.18307850222893912,-92.38969547168753,4.952123058601778,0.9654973075567307,negative_control,NA,0.8144049798771568
full,5,4,6,z_bs_purif,yield_3m,147,1.773697300947587,1.5541126803899552,1.4414535843162818e-5,1.1562704063169789e-5,0.21506257690361613,1.0194092133009852e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009589329784163096,0.025546967455089286,0.03431150790270455,-14.114165807227664,0.9743610671292494,0.9654973075567307,weak_xi_mp_severe,NA,0.4396700750023131
full,5,4,6,z_bs_purif,yield_6m,147,2.6123459746185858,2.3694941641326275,2.7645147577222812e-5,1.7959369712814154e-5,0.12647422593293714,1.9550902262714816e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.013320517716097553,0.017890461937898127,-7.359307753987873,0.5080444040721279,0.9654973075567307,weak_xi_mp_severe,NA,0.4788572699483326
full,5,4,6,z_bs_purif,yield_1y,147,3.1669712582629606,2.8895465058401504,4.827923200612316e-5,2.8401776706920956e-5,0.09185922506113377,3.414351627649295e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0028630475702022483,0.007627455176181821,0.010244248716219009,-4.214009636685109,0.2909110593267111,0.9654973075567307,weak_xi_mp_severe,NA,0.4824435853126216
full,5,4,6,z_bs_purif,yield_2y,147,3.45931141097,3.1264804924489136,7.364953561355007e-5,4.165260340081469e-5,0.07968164319049374,5.2085627991236887e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.001876803930059569,0.005,0.006715377855125667,-2.7623955430404594,0.1906999468414683,0.9654973075567307,weak_xi_mp_severe,NA,0.5213658877403861
