group,n_var,sig90_proxy,sig90_gmr,sign_agree_h0_12,sign_agree_sig90,median_cor_path,median_band_ratio90
fora_do_ruler,53,98,0,0.6168359941944848,0.703042328042328,0.7955539162522247,4.212356325873146
curva_juros,7,81,6,1,1,0.9241612388810403,NA
credito_setorial,5,43,0,1,1,0.9128427763878134,4.94965496925942
expectativas,4,37,0,1,1,0.9382036044174302,4.656090985468694
risco_cambio_soft,4,27,0,0.8653846153846154,0.9375,0.9112464071210331,4.142423496050693
credito,4,20,0,0.9038461538461539,1,0.8934708822644428,4.608946793125723
atividade,9,13,0,0.3418803418803419,0.4,0.29698889262078143,4.22347986276049
fiscal,3,12,0,1,1,0.9282846835071865,4.590674306571457
trabalho,3,6,0,0.6923076923076923,0.6666666666666666,0.9470577288239097,4.495767301169296
commodity_domestica,1,5,0,1,1,0.9302202553729091,4.397660714810705
acoes,5,4,0,0.38461538461538464,1,-0.3471850401390878,4.8024624474580335
precos_ambiguos,2,4,0,0.8461538461538463,1,0.9369197928540615,4.345150336333578
precos,6,3,0,0.858974358974359,1,0.8822378070408419,4.61334723328525
acoes_ambiguas,2,0,0,0.6538461538461539,NA,-0.43749647937286584,4.982069142097794
placebo_externas,3,0,0,0.6666666666666666,NA,0.718708919902612,3.9197493692887884
