var,sig90_proxy,sig90_gmr,sig68_proxy,sig68_gmr,sign_agree_all,sign_agree_h0_12,sign_agree_sig90,cor_path,coverage90,band_ratio90,group,tier
cambio_eur,4,0,5,0,0.42857142857142855,0.6923076923076923,1,0.42409622027283966,1,5.589246137032787,risco_cambio_soft,soft
cambio_cny,5,0,6,0,0.46938775510204084,0.7692307692307693,1,0.6277296768753247,1,5.339134767227548,fora_do_ruler,NA
cambio_ars,5,0,23,0,0.6530612244897959,0.8461538461538461,1,0.8535979132066139,1,5.454066796897293,fora_do_ruler,NA
cambio_inr,5,0,6,0,0.4489795918367347,0.8461538461538461,1,0.637707038303042,1,5.527761462807309,fora_do_ruler,NA
cambio_usd,5,0,6,0,0.4897959183673469,0.7692307692307693,1,0.6925447790956761,1,5.226363088428837,risco_cambio_soft,soft
juros_selic,0,0,20,0,0.42857142857142855,0.9230769230769231,NA,0.21316323542389315,1,6.692363686060789,curva_juros,scored
juros_cdi,0,0,20,0,0.40816326530612246,0.9230769230769231,NA,0.21205393613346224,1,6.699348399423835,curva_juros,scored
yield_3m,4,0,26,4,0.4489795918367347,0.9230769230769231,1,0.41758928753252034,1,6.448339842248451,curva_juros,scored
yield_6m,4,1,30,4,0.46938775510204084,0.9230769230769231,1,0.5887783425437033,1,NA,curva_juros,scored
yield_1y,6,0,30,4,0.4897959183673469,0.9230769230769231,1,0.7305228010053489,1,6.38421882419835,curva_juros,scored
yield_2y,7,0,28,4,0.5306122448979592,0.8461538461538461,1,0.8120084722253861,1,6.095305770078995,curva_juros,scored
yield_5y,7,0,26,0,0.5714285714285714,0.8461538461538461,1,0.8529559913346789,1,5.807406581762057,curva_juros,scored
yield_10y,7,0,25,0,0.5918367346938775,0.8461538461538461,1,0.8537476538526251,1,5.864619899496004,curva_juros,scored
base_monetary_base,0,0,3,0,0.2653061224489796,0,NA,-0.544570512257572,1,5.5830302971732175,fora_do_ruler,NA
base_money_supply,0,0,0,0,0.30612244897959184,0,NA,-0.5086571272850193,1,5.347365332061881,fora_do_ruler,NA
base_demand_deposit,0,0,0,0,0.3877551020408163,0,NA,-0.5178097066992063,1,5.3225177699061295,fora_do_ruler,NA
base_savings_deposit,0,0,0,0,0.30612244897959184,0.15384615384615385,NA,-0.4049293577246746,1,5.572515480027436,fora_do_ruler,NA
base_m1,0,0,0,0,0.32653061224489793,0,NA,-0.5224165138210878,1,5.509430902489483,fora_do_ruler,NA
base_m2,0,0,9,0,0.5714285714285714,0,NA,-0.13957565855924056,1,5.442183429909009,fora_do_ruler,NA
base_m3,2,0,15,0,0.5102040816326531,0.15384615384615385,1,-0.7197417178837142,1,5.483737320837247,fora_do_ruler,NA
credito_agro,4,0,28,0,0.5510204081632653,0.6923076923076923,1,0.7614136309301642,1,6.209863087441166,credito_setorial,ambiguous
credito_industria_total,0,0,24,0,0.4489795918367347,0.15384615384615385,NA,0.6046628823796613,1,6.720928096898001,credito_setorial,scored
credito_construcao,0,0,24,0,0.2653061224489796,0,NA,0.5370685868936652,1,7.326600528172687,credito_setorial,ambiguous
credito_comercio,0,0,23,0,0.3673469387755102,0,NA,0.5089793611010099,1,6.272265270229442,credito_setorial,scored
credito_transporte,2,0,25,0,0.5714285714285714,0.5384615384615384,1,0.672250627476638,1,6.128447855092179,credito_setorial,scored
credito_pessoa_fisica,0,0,21,0,0.3469387755102041,0.5384615384615384,NA,0.3172713350804734,1,6.8879305539784035,credito,scored
spread_icc_juridica,0,0,5,0,0.40816326530612246,0.23076923076923078,NA,-0.1933516138432832,1,5.231364331967222,credito,scored
spread_icc_fisica,0,0,10,0,0.32653061224489793,0.3076923076923077,NA,-0.264183491469535,1,5.683759040179638,credito,scored
credit_outstanding,0,0,23,0,0.2857142857142857,0.07692307692307693,NA,0.6082522976755128,1,6.343398250369027,credito,scored
fin_inst_reserve_req,0,0,0,0,0.3877551020408163,0.7692307692307693,NA,0.6668597016468507,1,4.587814008152454,fora_do_ruler,NA
consumo_gasolina,1,0,21,0,0.32653061224489793,0.3076923076923077,1,-0.32776113687972436,1,6.2020320314150625,fora_do_ruler,NA
consumo_glp,0,0,0,0,0.4489795918367347,0,NA,0.11699577931355264,1,5.067735246374673,fora_do_ruler,NA
consumo_oleo_combustivel,0,0,9,0,0.5102040816326531,0.07692307692307693,NA,-0.5345830296825435,1,5.200238917228196,fora_do_ruler,NA
consumo_oleo_diesel,0,0,7,0,0.42857142857142855,0.07692307692307693,NA,-0.29853140821677343,1,5.245545492023479,fora_do_ruler,NA
consumo_demais_derivados,0,0,0,0,0.32653061224489793,0.07692307692307693,NA,-0.5865537759563632,1,5.159765461447786,fora_do_ruler,NA
consumo_alcool,0,0,0,0,0.3469387755102041,0.46153846153846156,NA,0.028618629916833484,1,4.980394203787233,fora_do_ruler,NA
capacidade_instalada_industria,2,0,16,0,0.6122448979591837,0.3076923076923077,1,-0.42638941436430994,1,4.972278952294638,atividade,scored
vendas_varejo,2,0,16,0,0.6122448979591837,0.6923076923076923,1,0.12355184398460532,1,5.555379570220051,atividade,scored
vendas_servicos,0,0,14,0,0.2857142857142857,0.15384615384615385,NA,-0.5207487074345489,1,5.966429026839823,atividade,scored
ind_automoveis,0,0,4,0,0.6122448979591837,0.8461538461538461,NA,-0.09762561805960203,1,4.9338422226217205,atividade,scored
ind_leves,3,0,14,0,0.6122448979591837,0.3076923076923077,0.6666666666666666,-0.40595359097705463,1,5.437887475587264,fora_do_ruler,NA
ind_caminhoes,3,0,14,0,0.673469387755102,0.5384615384615384,1,-0.3860110828505938,1,5.26923627525832,fora_do_ruler,NA
ind_onibus,0,0,5,0,0.7142857142857143,0.6153846153846154,NA,0.35235316530225586,1,4.831540691843607,fora_do_ruler,NA
ind_bens_consumo,1,0,11,0,0.8571428571428571,0.9230769230769231,1,-0.0742166838603555,1,5.1999227227055345,fora_do_ruler,NA
ind_bens_duraveis,1,0,12,0,0.8571428571428571,0.8461538461538461,0,0.06680004352746466,1,5.1656009393227675,atividade,scored
ind_bens_nao_duraveis,1,0,9,0,0.6938775510204082,0.9230769230769231,1,-0.2496985431943193,1,5.236129024812319,fora_do_ruler,NA
ind_bens_capital,3,0,15,0,0.6122448979591837,0.3076923076923077,0.6666666666666666,-0.5309647995924791,1,5.620081067507476,atividade,scored
ind_transformacao,1,0,11,0,0.7959183673469388,0.6923076923076923,1,-0.20360076107860284,1,5.21849088757212,atividade,scored
ind_min_extr,1,0,5,0,0.4489795918367347,0.7692307692307693,1,0.6729886620407867,1,5.453124933482429,fora_do_ruler,NA
ind_uti_cap_instalada,0,0,0,0,0.5918367346938775,0.38461538461538464,NA,0.26570403020942435,1,5.112828169134975,fora_do_ruler,NA
energia_comercial,0,0,0,0,0.46938775510204084,0.9230769230769231,NA,-0.2135851624409507,1,5.703587306628757,fora_do_ruler,NA
energia_residencial,0,0,14,0,0.6122448979591837,0.3076923076923077,NA,-0.7022988721655109,1,5.407274274558208,fora_do_ruler,NA
energia_industrial,0,0,1,0,0.4897959183673469,0.7692307692307693,NA,0.5188146763002658,1,5.7895107495691205,fora_do_ruler,NA
energia_outros,0,0,0,0,0.6326530612244898,0.8461538461538461,NA,0.405293749769966,1,4.909770139162254,fora_do_ruler,NA
pib,0,0,13,0,0.2653061224489796,0.38461538461538464,NA,-0.4518997858193747,1,6.03250949994567,atividade,scored
ibc_br,0,0,1,0,0.5102040816326531,0.8461538461538461,NA,-0.19141613554678444,1,5.358304671131418,atividade,scored
icc,0,0,19,0,0.6530612244897959,0.6153846153846154,NA,0.7057661729798475,1,6.265253505840221,fora_do_ruler,NA
ics,0,0,1,0,0.7755102040816326,1,NA,0.7827301731750762,1,5.509189337270111,fora_do_ruler,NA
trab_employment_southest,2,0,9,0,0.42857142857142855,0.6153846153846154,1,0.3525922288432023,1,5.707121953955155,fora_do_ruler,NA
