subset,cond,hwin,n,sign_agree,coverage90,median_ratio,iqr_lo,iqr_hi
headline_8,incondicional,h0,8,0.75,1,0.7959483142355175,0.16799043360787802,0.9501397523566136
headline_8,incondicional,h0_6,56,0.8214285714285714,1,0.8075492533121158,0.2879484418962907,1.0305204663276473
headline_8,incondicional,h0_12,104,0.9038461538461539,1,1.0138136778432765,0.4832828754943643,1.806696879480839
headline_8,incondicional,h13_24,96,0.4791666666666667,1,-0.05160633554870732,-1.2596543980276753,3.0335147667973965
headline_8,incondicional,h25_48,192,0.20833333333333334,1,-0.11504021316450654,-0.290946971287144,-0.028671860066513975
headline_8,incondicional,all,392,0.45918367346938777,1,-0.035111743897505474,-0.2881482898369373,1.0069068389216382
headline_8,proxy_sig90,h0,6,1,1,0.86798993397111,0.7926923722865753,0.9833799174522045
headline_8,proxy_sig90,h0_6,40,1,1,0.8506763059987873,0.46229597779161546,1.0305204663276473
headline_8,proxy_sig90,h0_12,54,1,1,0.946027608740211,0.5849763204871412,1.2810763357676591
headline_8,proxy_sig90,h13_24,0,NA,NA,NA,NA,NA
headline_8,proxy_sig90,h25_48,0,NA,NA,NA,NA,NA
headline_8,proxy_sig90,all,54,1,1,0.946027608740211,0.5849763204871412,1.2810763357676591
headline_8,proxy_sig68_only,h0,1,0,1,-0.6864507877566581,-0.6864507877566581,-0.6864507877566581
headline_8,proxy_sig68_only,h0_6,4,0.5,1,0.10128405767275944,-0.6923918222765331,0.8967035219484296
headline_8,proxy_sig68_only,h0_12,14,0.8571428571428571,1,0.9043881407946821,0.6327653300404211,2.0063748191622244
headline_8,proxy_sig68_only,h13_24,12,1,1,2.6122827431724795,0.3371194167901995,2.913240420798491
headline_8,proxy_sig68_only,h25_48,32,0.15625,1,-0.06765849935151322,-0.09195207216207352,-0.04136440697281958
headline_8,proxy_sig68_only,all,58,0.5,1,0.11258219314397865,-0.07700578889287787,0.9120727596409348
coherence_53,incondicional,h0,58,0.6551724137931034,1,0.7959483142355175,-0.7898699575966466,1.048022567704103
coherence_53,incondicional,h0_6,406,0.7216748768472906,1,0.8929887987041678,-0.4171958584729396,1.4123761546213986
coherence_53,incondicional,h0_12,754,0.7639257294429708,1,1.187135836463085,0.14784154351896286,1.9080123128457565
coherence_53,incondicional,h13_24,696,0.5747126436781609,1,0.39634188124852027,-0.9779485769769409,2.92910570257813
coherence_53,incondicional,h25_48,1392,0.27155172413793105,1,-0.11682206865836178,-0.410975442764872,0.021518648369377568
coherence_53,incondicional,all,2842,0.47642505277973257,1,-0.031936872015357914,-0.4275084086880683,1.3883982674203315
coherence_53,proxy_sig90,h0,32,0.875,1,0.851984749819206,0.5620879190732354,0.9901199603629529
coherence_53,proxy_sig90,h0_6,181,0.9723756906077348,1,0.9335196698088182,0.6704215533987736,1.148137333054591
coherence_53,proxy_sig90,h0_12,245,0.9795918367346939,1,1.051219331615894,0.7352092729370584,1.4155750049813292
coherence_53,proxy_sig90,h13_24,8,1,1,0.39841358582414205,0.28865465846462346,0.43195762908721136
coherence_53,proxy_sig90,h25_48,2,1,1,0.4101821144376506,0.380509805943436,0.4398544229318653
coherence_53,proxy_sig90,all,255,0.9803921568627451,1,1.0276273556865532,0.7047412192806762,1.410619487137751
coherence_53,proxy_sig68_only,h0,10,0.1,1,-0.6369709215964197,-1.0446992815321083,-0.4663716902832754
coherence_53,proxy_sig68_only,h0_6,59,0.5423728813559322,1,0.30078134799753214,-0.6032198669789088,1.4723729520520545
coherence_53,proxy_sig68_only,h0_12,144,0.8055555555555556,1,1.5653230100054993,0.7089662540445212,1.9310425721669482
coherence_53,proxy_sig68_only,h13_24,161,0.9565217391304348,1,0.7890301203671726,0.3362607300736195,2.310849052338591
coherence_53,proxy_sig68_only,h25_48,267,0.2958801498127341,1,-0.05768800725569551,-0.09826440144431495,0.06545315009771228
coherence_53,proxy_sig68_only,all,572,0.6101398601398601,1,0.2997519098172675,-0.07419340767395342,1.5861683734013834
production_panel,incondicional,h0,111,0.5405405405405406,1,0.3110106785228397,-1.0198747565704984,0.9931240070821582
production_panel,incondicional,h0_6,777,0.667953667953668,1,0.816337953715236,-0.7380708499590242,1.4712259793401092
production_panel,incondicional,h0_12,1443,0.6936936936936937,1,1.0455894686206462,-0.4466939380670135,1.8922365352542876
production_panel,incondicional,h13_24,1332,0.5953453453453453,1,0.3479029042707199,-0.7084824944570409,1.815211241160233
production_panel,incondicional,h25_48,2664,0.3641141141141141,1,-0.08604914634022723,-0.3004995989850987,0.1502312165101076
production_panel,incondicional,all,5439,0.5081816510387939,1,0.010717641889706251,-0.3803366941814884,1.1464026810117924
production_panel,proxy_sig90,h0,47,0.7446808510638298,1,0.8110260034206667,-0.01127451223873667,0.9652126440446118
production_panel,proxy_sig90,h0_6,238,0.9453781512605042,1,0.8686839390279746,0.5506787233173688,1.1160576104057671
production_panel,proxy_sig90,h0_12,310,0.9580645161290322,1,1.0065429237178298,0.6729916250021254,1.3450324393091122
production_panel,proxy_sig90,h13_24,41,1,1,0.5548589200842116,0.38994842981031774,0.6277905455042101
production_panel,proxy_sig90,h25_48,2,1,1,0.4101821144376506,0.380509805943436,0.4398544229318653
production_panel,proxy_sig90,all,353,0.9631728045325779,1,0.9316794808638048,0.5730102152524257,1.2901804621306225
production_panel,proxy_sig68_only,h0,26,0.38461538461538464,1,-0.5554933125143275,-1.1238199542487712,0.7442095195148913
production_panel,proxy_sig68_only,h0_6,134,0.5373134328358209,1,0.11406332047498222,-0.6449279677821289,0.9854697720334673
production_panel,proxy_sig68_only,h0_12,273,0.7619047619047619,1,1.1260725974068524,0.07209493370549003,1.8125895965551133
production_panel,proxy_sig68_only,h13_24,354,0.9576271186440678,1,0.9599867506201127,0.38200507898825115,1.6312498883808537
production_panel,proxy_sig68_only,h25_48,378,0.4576719576719577,1,-0.01837595459905873,-0.0874429866563542,0.3706916923599066
production_panel,proxy_sig68_only,all,1005,0.7164179104477612,1,0.48041479953306987,-0.032584353075224115,1.2771516919883121
