ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_6m,0,0.005,0.005,0.005,0.005,0.005
GMR nao-gaussiano,yield_6m,1,0.006151981283798655,0.0037616821637050453,0.008817305038672407,-4.44543977634034e-4,0.01743976953521252
GMR nao-gaussiano,yield_6m,2,0.005045444269267285,0.0027882477904035015,0.010001267691119519,-0.0034158463088392148,0.03050976528093442
GMR nao-gaussiano,yield_6m,3,0.005617942107480161,0.00222752517726685,0.011129480091557621,-0.0036083254023619605,0.03535677086566281
GMR nao-gaussiano,yield_6m,4,0.0036202954886493683,-6.96084331730865e-4,0.01156694793153075,-0.006278641997019866,0.039750182619290066
GMR nao-gaussiano,yield_6m,5,0.0037797545713520427,-6.74387328474996e-4,0.012677514892859797,-0.011992333862616727,0.044224576924202244
GMR nao-gaussiano,yield_6m,6,0.004959160684710924,-0.001511258754129464,0.01212621293389465,-0.01157958475019891,0.04214004660451445
GMR nao-gaussiano,yield_6m,7,0.004581733640472938,-0.0025786212970355265,0.010914573990254351,-0.01752829626257705,0.04193996788511445
GMR nao-gaussiano,yield_6m,8,0.004351739980907777,-0.0028063236223138375,0.011398079044970163,-0.020354667626616578,0.04816086503571389
GMR nao-gaussiano,yield_6m,9,0.004550766922050438,-0.0036415085708262095,0.010953239296106842,-0.026358896216681693,0.041877527463500076
GMR nao-gaussiano,yield_6m,10,0.004213026009091793,-0.005381398546205393,0.01026664475548591,-0.03967535542716909,0.034538261338058956
GMR nao-gaussiano,yield_6m,11,0.004085075213106505,-0.00635802036563125,0.010752461289691703,-0.04146342981236778,0.03319439341196355
GMR nao-gaussiano,yield_6m,12,0.004328464760194041,-0.007557516293293071,0.011149643598715234,-0.042005443597181384,0.03405616567728895
GMR nao-gaussiano,yield_6m,13,0.003910092904974838,-0.008992039950431999,0.011301119735546188,-0.041794228229240074,0.03460898549501679
GMR nao-gaussiano,yield_6m,14,0.0036984682607313023,-0.009683360563675362,0.011066893795917097,-0.04259633749464568,0.038949638354080884
GMR nao-gaussiano,yield_6m,15,0.0037098764117748624,-0.010293983898110821,0.011641267290111557,-0.044965895892072685,0.041670425134778415
GMR nao-gaussiano,yield_6m,16,0.0036594544817192855,-0.010710807255479921,0.011974686689822706,-0.0474651950629596,0.041250807501928576
GMR nao-gaussiano,yield_6m,17,0.003669341991434339,-0.011202313144258324,0.012558700088144033,-0.049051406700267745,0.04272369090276442
GMR nao-gaussiano,yield_6m,18,0.003708046589141153,-0.011478037033564207,0.013162919072253162,-0.05558454101558383,0.044118430891996775
GMR nao-gaussiano,yield_6m,19,0.0036699285328650865,-0.012443699286852829,0.01427977850976139,-0.05346239502255341,0.046963532252370106
GMR nao-gaussiano,yield_6m,20,0.0036111760177088025,-0.01365889310859595,0.01401459258102194,-0.05564319262591805,0.05142978134151003
GMR nao-gaussiano,yield_6m,21,0.003651452438935484,-0.014580012925075025,0.013848597165144444,-0.0576328045664024,0.050905382048847564
GMR nao-gaussiano,yield_6m,22,0.0036044656506026736,-0.014772916374314195,0.01274577200537331,-0.0589097397954391,0.049202629865205065
GMR nao-gaussiano,yield_6m,23,0.0035372500615994946,-0.013699993424811279,0.013874238391372706,-0.060378254458182,0.051823723376780165
GMR nao-gaussiano,yield_6m,24,0.003473507253241676,-0.01388988910972951,0.014416934043370761,-0.06188205135053113,0.051314195068444375
GMR nao-gaussiano,yield_6m,25,0.003324229726273527,-0.013835070172610264,0.013831358968458681,-0.06359516924587091,0.047010631572726815
GMR nao-gaussiano,yield_6m,26,0.0031854688599732453,-0.01443599546107967,0.013576420789083828,-0.06255474739925247,0.045323656434821266
GMR nao-gaussiano,yield_6m,27,0.003034549825936562,-0.013939050738717592,0.014509191349217694,-0.06051665938824779,0.04315286985956351
GMR nao-gaussiano,yield_6m,28,0.002842722040448812,-0.013856413117586015,0.014267487407562337,-0.05741411481053256,0.04247401738082667
GMR nao-gaussiano,yield_6m,29,0.0026385456547893364,-0.013535909369894728,0.014925179005167329,-0.04772253194287509,0.04326416249706408
GMR nao-gaussiano,yield_6m,30,0.0024110268805636005,-0.013464573033573686,0.013494906025783866,-0.05118639841145956,0.039081050691338354
GMR nao-gaussiano,yield_6m,31,0.0021598124560422653,-0.012931538341641336,0.014396987262636052,-0.04642972697115359,0.04338521211716473
GMR nao-gaussiano,yield_6m,32,0.001895689574390077,-0.013486781852884322,0.013800115326487297,-0.044364748176686716,0.04426448944900315
GMR nao-gaussiano,yield_6m,33,0.0016197715184290008,-0.013102692354417174,0.012918411258112456,-0.04394872124703787,0.0447236542286104
GMR nao-gaussiano,yield_6m,34,0.0013266859763003639,-0.012561288879192188,0.013113967519685757,-0.04406874070623537,0.044214095818007726
