coluna,group,n_sig90,agree
1,acoes,0,NA
1,acoes_ambiguas,0,NA
1,atividade,9,0.5555555555555556
1,commodity_domestica,5,0.6
1,credito,0,NA
1,credito_setorial,6,0
1,curva_juros,35,1
1,placebo_externas,1,1
1,precos,10,0.8
1,precos_ambiguos,9,0.4444444444444444
1,risco_cambio_soft,16,0
1,trabalho,1,0
2,acoes,0,NA
2,acoes_ambiguas,0,NA
2,atividade,9,0.7777777777777778
2,commodity_domestica,5,1
2,credito,0,NA
2,credito_setorial,6,1
2,curva_juros,35,1
2,placebo_externas,1,1
2,precos,10,1
2,precos_ambiguos,9,1
2,risco_cambio_soft,16,1
2,trabalho,1,1
3,acoes,0,NA
3,acoes_ambiguas,0,NA
3,atividade,9,1
3,commodity_domestica,5,1
3,credito,0,NA
3,credito_setorial,6,1
3,curva_juros,35,1
3,placebo_externas,1,1
3,precos,10,1
3,precos_ambiguos,9,1
3,risco_cambio_soft,16,1
3,trabalho,1,1
4,acoes,0,NA
4,acoes_ambiguas,0,NA
4,atividade,9,0.6666666666666666
4,commodity_domestica,5,0.4
4,credito,0,NA
4,credito_setorial,6,0.3333333333333333
4,curva_juros,35,0.7142857142857143
4,placebo_externas,1,1
4,precos,10,0.5
4,precos_ambiguos,9,0.4444444444444444
4,risco_cambio_soft,16,0.25
4,trabalho,1,0
5,acoes,0,NA
5,acoes_ambiguas,0,NA
5,atividade,9,0
5,commodity_domestica,5,0.2
5,credito,0,NA
5,credito_setorial,6,0.8333333333333334
5,curva_juros,35,0.9428571428571428
5,placebo_externas,1,0
5,precos,10,0.1
5,precos_ambiguos,9,0.4444444444444444
5,risco_cambio_soft,16,0.3125
5,trabalho,1,0
6,acoes,0,NA
6,acoes_ambiguas,0,NA
6,atividade,9,0.5555555555555556
6,commodity_domestica,5,0.6
6,credito,0,NA
6,credito_setorial,6,0
6,curva_juros,35,0.6571428571428571
6,placebo_externas,1,1
6,precos,10,0.9
6,precos_ambiguos,9,0.7777777777777778
6,risco_cambio_soft,16,0.25
6,trabalho,1,0
