tipo,estatistica,linha,valor
nulo,sig90,5%,0.2571428571428571
nulo,sig90,50%,0.7857142857142857
nulo,sig90,95%,1
nulo,curva,5%,0.4
nulo,curva,50%,1
nulo,curva,95%,1
nulo,sem_curva,5%,0.16142857142857148
nulo,sem_curva,50%,0.7333333333333333
nulo,sem_curva,95%,1
nulo,log_razao,5%,0.03664076993714958
nulo,log_razao,50%,0.5912647008903411
nulo,log_razao,95%,2.916674138783223
nulo,cos_proxy,5%,0.023421856071084626
nulo,cos_proxy,50%,0.31464909103480043
nulo,cos_proxy,95%,0.7629397544031922
coluna,sig90,col1,0.6
coluna,sig90,col2,0.9714285714285714
coluna,sig90,col3,1
coluna,sig90,col4,0.5357142857142857
coluna,sig90,col5,0.45714285714285713
coluna,sig90,col6,0.5714285714285714
coluna,curva,col1,1
coluna,curva,col2,1
coluna,curva,col3,1
coluna,curva,col4,0.7142857142857143
coluna,curva,col5,0.9428571428571428
coluna,curva,col6,0.6571428571428571
coluna,sem_curva,col1,0.4666666666666667
coluna,sem_curva,col2,0.9619047619047619
coluna,sem_curva,col3,1
coluna,sem_curva,col4,0.47619047619047616
coluna,sem_curva,col5,0.29523809523809524
coluna,sem_curva,col6,0.5428571428571428
coluna,log_razao,col1,1.5976743428619609
coluna,log_razao,col2,0.10142628705335316
coluna,log_razao,col3,0.775730657081667
coluna,log_razao,col4,2.1570733205429407
coluna,log_razao,col5,1.6285422909982683
coluna,log_razao,col6,1.1045354830849083
coluna,cos_proxy,col1,0.45883794664317223
coluna,cos_proxy,col2,0.6201367293042994
coluna,cos_proxy,col3,0.47733550766861926
coluna,cos_proxy,col4,0.04542499740127251
coluna,cos_proxy,col5,0.29819911580691416
coluna,cos_proxy,col6,0.2933646975180444
p_valor,sig90,col1,0.6955
p_valor,sig90,col2,0.1785
p_valor,sig90,col3,0.083
p_valor,sig90,col4,0.751
p_valor,sig90,col5,0.812
p_valor,sig90,col6,0.7215
p_valor,curva,col1,0.5655
p_valor,curva,col2,0.5655
p_valor,curva,col3,0.5655
p_valor,curva,col4,0.825
p_valor,curva,col5,0.6475
p_valor,curva,col6,0.86
p_valor,sem_curva,col1,0.721
p_valor,sem_curva,col2,0.2025
p_valor,sem_curva,col3,0.092
p_valor,sem_curva,col4,0.7155
p_valor,sem_curva,col5,0.8675
p_valor,sem_curva,col6,0.6755
p_valor,log_razao,col1,0.8335
p_valor,log_razao,col2,0.1245
p_valor,log_razao,col3,0.6025
p_valor,log_razao,col4,0.9115
p_valor,log_razao,col5,0.8415
p_valor,log_razao,col6,0.733
p_valor,cos_proxy,col1,0.297
p_valor,cos_proxy,col2,0.134
p_valor,cos_proxy,col3,0.272
p_valor,cos_proxy,col4,0.913
p_valor,cos_proxy,col5,0.5235
p_valor,cos_proxy,col6,0.531
