cap,sample,n_series,xi_mp,f_robust_mp,impact_mp,ar_bounded
2,full,38,7.066543502025208,15.62093112033444,1.6219251080806771e-4,TRUE
2,pre_covid,38,10.701840435682588,18.12979761680073,1.6123767787596036e-4,TRUE
3,full,52,5.124922087169011,10.055885723121337,1.4083162937228398e-4,TRUE
3,pre_covid,52,8.917513565783725,14.277765461446217,1.26251307580576e-4,TRUE
4,full,65,5.029118661898616,8.815782070406422,1.3090841549964462e-4,TRUE
4,pre_covid,65,7.377344673199256,9.769634430065885,1.0431386226101972e-4,TRUE
6,full,84,5.249789543981108,9.990884689316111,1.119992567377084e-4,TRUE
6,pre_covid,84,6.201442989183253,7.6719257998424,8.4817884302013e-5,TRUE
8,full,96,5.284211007125012,10.118469045564623,1.1184397752891746e-4,TRUE
8,pre_covid,96,5.690629023144775,7.318221426813257,7.86642831841387e-5,TRUE
