level,dropped,n_dropped,sample,n_series,xi_mp,f_robust_mp,impact_mp,ar_bounded
baseline,(nenhum),0,full,111,6.270849621527436,10.120538138455602,8.42628715321554e-5,TRUE
bloco,acoes,7,full,104,8.546290232770389,13.858891289516459,7.362937024937738e-5,TRUE
bloco,atividade_agregada,2,full,109,6.230634426791965,10.358289709887067,8.422698126331098e-5,TRUE
bloco,cambio,5,full,106,6.920091805283244,10.055351675377015,7.897281701486924e-5,TRUE
bloco,combustiveis,6,full,105,6.575637886061863,10.718546029534126,8.619521217221825e-5,TRUE
bloco,commodities,3,full,108,6.738323618047498,11.956915376540511,8.0195490173559e-5,TRUE
bloco,confianca,2,full,109,6.321529248395204,10.09452961025506,8.432295112662823e-5,TRUE
bloco,credito,10,full,101,6.732524422562656,10.042545913701598,1.0278050896060615e-4,TRUE
bloco,curva,5,full,106,4.091388975207203,4.822919559652592,3.6857363081216984e-5,TRUE
bloco,energia,4,full,107,6.432655377192549,10.426679508958298,8.372971920776711e-5,TRUE
bloco,epu,8,full,103,6.696896962352954,10.976687226139415,8.397764814921618e-5,TRUE
bloco,expectativas,4,full,107,6.064246854250444,10.15049255083291,7.459920688659569e-5,TRUE
bloco,fiscal,3,full,108,6.473553367154945,10.399771194813358,9.11421905038083e-5,TRUE
bloco,industria,12,full,99,6.153871638416286,10.043530632961112,8.488933429538051e-5,TRUE
bloco,monetario,7,full,104,6.92707329410684,10.755501552168484,8.517226941373154e-5,TRUE
bloco,politica,1,full,110,6.053740242152854,9.233926253646352,8.424316420699045e-5,TRUE
bloco,precos,11,full,100,6.679807141073801,10.714775409056791,8.517522558508986e-5,TRUE
bloco,risco_externo,4,full,107,6.102657368824163,9.697525590552104,8.0244786849557e-5,TRUE
bloco,trabalho,14,full,97,6.303490062819557,10.17987008606012,9.221838789504573e-5,TRUE
bloco,vendas,2,full,109,6.265319985929737,10.138928297029251,8.559569089714327e-5,TRUE
dominio,atividade_real,28,full,83,6.2468997873480605,8.681453460839043,7.54418150828395e-5,TRUE
dominio,credito_moeda,17,full,94,8.203644765841949,12.085006718691726,1.0789968446814592e-4,TRUE
dominio,expectativas,4,full,107,6.064246854250444,10.15049255083291,7.459920688659569e-5,TRUE
dominio,externo_risco,15,full,96,6.820926699414834,11.94439884812619,7.657315049435602e-5,TRUE
dominio,financeiro_domestico,18,full,93,5.9499290988429685,8.067010671164526,4.4027289794739946e-5,TRUE
dominio,fiscal,3,full,108,6.473553367154945,10.399771194813358,9.11421905038083e-5,TRUE
dominio,precos,11,full,100,6.679807141073801,10.714775409056791,8.517522558508986e-5,TRUE
dominio,trabalho,14,full,97,6.303490062819557,10.17987008606012,9.221838789504573e-5,TRUE
baseline,(nenhum),0,pre_covid,111,10.992676983493542,9.747458077834404,8.05441604945774e-5,TRUE
bloco,acoes,7,pre_covid,104,11.448236401063339,15.852091181120615,9.55577429548245e-5,TRUE
bloco,atividade_agregada,2,pre_covid,109,7.720284493626542,6.45329101237358,6.040961337536705e-5,TRUE
bloco,cambio,5,pre_covid,106,13.321003680876789,12.065476659947379,8.572256706530914e-5,TRUE
bloco,combustiveis,6,pre_covid,105,10.320305732897284,9.220127364989434,8.239453873874093e-5,TRUE
bloco,commodities,3,pre_covid,108,9.02630569550344,7.607739506539913,6.662694234651898e-5,TRUE
bloco,confianca,2,pre_covid,109,11.017210131298835,11.68326124403151,9.549164129211468e-5,TRUE
bloco,credito,10,pre_covid,101,12.372375048089296,11.812498716617899,1.0303031441513081e-4,TRUE
bloco,curva,5,pre_covid,106,5.844220084552889,4.503707557875042,4.568590359289162e-5,TRUE
bloco,energia,4,pre_covid,107,12.861797709537802,9.102905612618294,6.831618944249174e-5,TRUE
bloco,epu,8,pre_covid,103,10.230447222224813,9.210402204838957,8.096270690337666e-5,TRUE
bloco,expectativas,4,pre_covid,107,8.1854186491690335,7.384623877878854,7.595516850970183e-5,TRUE
bloco,fiscal,3,pre_covid,108,9.093894108849753,7.828460274152136,6.915407665026809e-5,TRUE
bloco,industria,12,pre_covid,99,7.853904721935951,6.2746884089733825,7.86467596152863e-5,TRUE
bloco,monetario,7,pre_covid,104,9.336616418490431,7.833915175378534,9.335133107302648e-5,TRUE
bloco,politica,1,pre_covid,110,8.830475463226172,7.18458183794925,6.377632230561999e-5,TRUE
bloco,precos,11,pre_covid,100,9.902978942062587,7.981195188604128,7.689035259081354e-5,TRUE
bloco,risco_externo,4,pre_covid,107,10.21398362255603,10.113461714970734,8.821308582534175e-5,TRUE
bloco,trabalho,14,pre_covid,97,8.008922183144985,6.841016940308925,6.814031225228628e-5,TRUE
bloco,vendas,2,pre_covid,109,10.2384509656707,9.169893809259209,8.183144080615355e-5,TRUE
dominio,atividade_real,28,pre_covid,83,7.3942697154451364,5.696961367384645,6.597667991740498e-5,TRUE
dominio,credito_moeda,17,pre_covid,94,12.637050475077924,11.424316981297503,1.0548490461248337e-4,TRUE
dominio,expectativas,4,pre_covid,107,8.1854186491690335,7.384623877878854,7.595516850970183e-5,TRUE
dominio,externo_risco,15,pre_covid,96,9.703448871765978,8.407053445894729,7.28894511877161e-5,TRUE
dominio,financeiro_domestico,18,pre_covid,93,10.33980725007992,10.415290975823295,6.431206835344265e-5,TRUE
dominio,fiscal,3,pre_covid,108,9.093894108849753,7.828460274152136,6.915407665026809e-5,TRUE
dominio,precos,11,pre_covid,100,9.902978942062587,7.981195188604128,7.689035259081354e-5,TRUE
dominio,trabalho,14,pre_covid,97,8.008922183144985,6.841016940308925,6.814031225228628e-5,TRUE
