dropped,block,sample,n_series,xi_mp,f_robust_mp,impact_mp,ar_bounded
cambio_eur,cambio,full,110,6.303283680063029,10.06645206763872,8.323597259742367e-5,TRUE
cambio_cny,cambio,full,110,6.368722770119207,10.283423601951718,8.448167694573847e-5,TRUE
cambio_ars,cambio,full,110,6.038557567871089,9.65987659514209,8.349038476165377e-5,TRUE
cambio_inr,cambio,full,110,6.368784879200052,10.056274189508622,8.31162445763267e-5,TRUE
cambio_usd,cambio,full,110,6.357640023909277,10.155460159939732,8.38164080196183e-5,TRUE
juros_selic,politica,full,110,6.053740242152854,9.233926253646352,8.424316420699045e-5,TRUE
yield_3m,curva,full,110,5.58781436305149,8.067076635638132,7.153268000797959e-5,TRUE
yield_1y,curva,full,110,5.857999420359452,8.87568616889539,6.748073264997485e-5,TRUE
yield_2y,curva,full,110,6.068525617158472,9.377909673078907,7.313872027518996e-5,TRUE
yield_5y,curva,full,110,6.295364176585173,9.986951404075747,8.143819397278667e-5,TRUE
yield_10y,curva,full,110,6.332944667075348,10.099845278764088,8.370872973824405e-5,TRUE
base_monetary_base,monetario,full,110,6.231715984602099,9.955221101984218,8.361064852251602e-5,TRUE
base_money_supply,monetario,full,110,6.346805286328162,10.279977214845802,8.364808111402439e-5,TRUE
base_demand_deposit,monetario,full,110,6.126032491546301,9.877955655771933,8.39847966590453e-5,TRUE
base_savings_deposit,monetario,full,110,6.294641680320042,10.165261319721914,8.324756732983643e-5,TRUE
base_m1,monetario,full,110,6.15088440018489,9.825136924626053,8.427519371137287e-5,TRUE
base_m2,monetario,full,110,6.472240152597044,10.24352369335887,8.61061790855723e-5,TRUE
base_m3,monetario,full,110,6.376760120833456,10.277296838078252,8.576804737558643e-5,TRUE
credito_agro,credito,full,110,6.265696207580186,9.919934516374088,8.267596644407633e-5,TRUE
credito_industria_total,credito,full,110,6.365798202806314,10.299267975201637,8.727552117022833e-5,TRUE
credito_construcao,credito,full,110,6.242624600897512,9.883423054473463,9.074388361047446e-5,TRUE
credito_comercio,credito,full,110,6.222716175234343,9.682589128218703,8.861174978662844e-5,TRUE
credito_transporte,credito,full,110,6.298248554951366,10.053275299777683,8.663331815167724e-5,TRUE
credito_pessoa_fisica,credito,full,110,6.251820772900392,9.88762511109411,9.379923554912876e-5,TRUE
spread_icc_juridica,credito,full,110,6.2546027005858145,9.910561732504984,8.291357416291156e-5,TRUE
spread_icc_fisica,credito,full,110,6.424235232717489,10.539673724899647,8.503692219986472e-5,TRUE
credit_outstanding,credito,full,110,6.449138090453749,10.513696245196527,9.265513839714281e-5,TRUE
fin_inst_reserve_req,credito,full,110,6.229107936707159,10.00592475743332,8.395223272448556e-5,TRUE
consumo_gasolina,combustiveis,full,110,6.193351371962576,9.948440839356184,8.479569346918971e-5,TRUE
consumo_glp,combustiveis,full,110,6.31861020447251,10.084680498262365,8.414393101285413e-5,TRUE
consumo_oleo_combustivel,combustiveis,full,110,6.323629086299147,10.212718609557186,8.416818282781807e-5,TRUE
consumo_oleo_diesel,combustiveis,full,110,6.370726912745272,10.16696583605175,8.476079734360192e-5,TRUE
consumo_demais_derivados,combustiveis,full,110,6.35869512242542,10.425417527310433,8.524478774986138e-5,TRUE
consumo_alcool,combustiveis,full,110,6.376708482179694,10.468581863500829,8.465035122703706e-5,TRUE
capacidade_instalada_industria,industria,full,110,6.292357542032377,10.230253809806694,8.445507722709788e-5,TRUE
vendas_varejo,vendas,full,110,6.22629335371224,10.057505589778959,8.440385281903722e-5,TRUE
vendas_servicos,vendas,full,110,6.311728761475698,10.191678926951365,8.524440875304702e-5,TRUE
ind_automoveis,industria,full,110,6.231291206690436,10.078568128842948,8.455031669268645e-5,TRUE
ind_leves,industria,full,110,6.240619257058965,10.024070062085547,8.383390317787726e-5,TRUE
ind_caminhoes,industria,full,110,6.117888211253971,9.799961126155292,8.360820340653252e-5,TRUE
ind_onibus,industria,full,110,6.169195733044565,10.006500733025085,8.426346437582486e-5,TRUE
ind_bens_consumo,industria,full,110,6.275205032526638,10.138416370009724,8.463173913842855e-5,TRUE
ind_bens_duraveis,industria,full,110,6.2434438269436425,10.111448893060508,8.463153407174237e-5,TRUE
ind_bens_nao_duraveis,industria,full,110,6.305225079324437,10.153527897133367,8.451652563898778e-5,TRUE
ind_bens_capital,industria,full,110,6.314408099540399,10.238643293211096,8.473888550796978e-5,TRUE
ind_transformacao,industria,full,110,6.2823165721843415,10.164431327622038,8.478471294790746e-5,TRUE
ind_min_extr,industria,full,110,6.356802492196074,10.360770662635627,8.405648108327564e-5,TRUE
ind_uti_cap_instalada,industria,full,110,6.2275244397182865,10.077074298764597,8.411471675396677e-5,TRUE
energia_comercial,energia,full,110,6.308260854182703,10.1988070130895,8.431477931425593e-5,TRUE
energia_residencial,energia,full,110,6.334587484934223,10.203993927613046,8.392664677994684e-5,TRUE
energia_industrial,energia,full,110,6.297576865589945,10.147058010727164,8.374407657571962e-5,TRUE
energia_outros,energia,full,110,6.279011179930446,10.19242693683696,8.443150640822932e-5,TRUE
pib,atividade_agregada,full,110,6.186033224958529,10.210627615232793,8.441104896319379e-5,TRUE
ibc_br,atividade_agregada,full,110,6.316124177335491,10.264880562447864,8.411692130604426e-5,TRUE
icc,confianca,full,110,6.318827753137835,10.13808356583752,8.401728678255687e-5,TRUE
ics,confianca,full,110,6.274040711808169,10.080847692362132,8.451989755459615e-5,TRUE
trab_employment_southest,trabalho,full,110,6.239698697891563,10.151681077883513,8.459093748556513e-5,TRUE
trab_employment_south,trabalho,full,110,6.262636941926061,10.202434328533995,8.477090072320627e-5,TRUE
trab_employment_northeast,trabalho,full,110,6.266309824722211,10.10216370690348,8.433241475371468e-5,TRUE
trab_employment_north,trabalho,full,110,6.215020770925266,10.069015062904429,8.440894075117097e-5,TRUE
trab_employment_central_west,trabalho,full,110,6.236277843846038,10.12271822141123,8.447187120364717e-5,TRUE
trab_min_wage,trabalho,full,110,6.151851416079741,9.823038685711545,8.308514543686074e-5,TRUE
trab_pop_forca_trab,trabalho,full,110,6.4477327423074735,10.709939248302314,8.762415895066802e-5,TRUE
trab_pop_ocupada,trabalho,full,110,6.414023785525705,10.530735691885601,8.879560305984702e-5,TRUE
trab_tx_desemprego,trabalho,full,110,6.196255013168317,9.880588897194995,8.925788019197158e-5,TRUE
trab_hrs_trabalhadas_industria,trabalho,full,110,6.28103163096306,10.141572686885684,8.436458836044577e-5,TRUE
trab_menos_de_1_mes,trabalho,full,110,6.079463306568568,9.819579415353886,8.440991754601657e-5,TRUE
trab_de_1_mes_a_menos_de_1_ano,trabalho,full,110,6.568729134055283,10.68854096000262,8.479983954746377e-5,TRUE
trab_de_1_ano_a_menos_de_2_anos,trabalho,full,110,6.067188471160298,9.373746567960067,7.808958594125789e-5,TRUE
trab_x2_anos_ou_mais,trabalho,full,110,6.271474631146777,9.884811257247527,8.295385455132002e-5,TRUE
price_ipca,precos,full,110,6.246393439200916,10.863586295333386,8.913162378820158e-5,TRUE
price_ipca_difusao,precos,full,110,6.186035595417498,9.83135164785097,8.312365645600385e-5,TRUE
price_core_ipca_ex0,precos,full,110,6.053294837300303,10.228396149407022,8.637326917604847e-5,TRUE
price_core_ipca_ex1,precos,full,110,6.250430841823288,10.293503276303186,8.764794342747713e-5,TRUE
price_core_ipca_dw,precos,full,110,6.349634848397831,11.13075091234582,9.022615965264051e-5,TRUE
price_igp_m,precos,full,110,6.290072778919026,10.255728256438102,8.466516980518473e-5,TRUE
price_ipc,precos,full,110,6.143337374694156,10.238779148676882,8.77522583600084e-5,TRUE
price_core_ipc,precos,full,110,6.267626375716778,9.769644187806312,8.228442989659766e-5,TRUE
price_incc,precos,full,110,6.23050676723633,10.138966084477326,8.436941323867583e-5,TRUE
price_inpc,precos,full,110,6.219176920179625,10.580252569606747,8.921416558996277e-5,TRUE
price_ipp,precos,full,110,6.206912389401731,9.875527713761418,8.430624833626488e-5,TRUE
commodity_agro,commodities,full,110,6.474205736814918,10.794245390009161,8.408964985183258e-5,TRUE
commodity_metal,commodities,full,110,6.369977209388378,10.510196899579364,8.317817904354112e-5,TRUE
commodity_energia,commodities,full,110,6.457361918161833,10.842617156824819,8.188046920137894e-5,TRUE
asset_ibov,acoes,full,110,6.575517442046071,10.965869201530833,8.69467547450784e-5,TRUE
asset_idiv,acoes,full,110,6.671670729331202,11.215279245148558,8.709752957658056e-5,TRUE
