variable,block,source_file,source_sheet,published_label,source_id,unit,transformation,tcode,n_months,first_month,last_month,is_seasonal,seasonal_status
cambio_eur,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
cambio_cny,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
cambio_ars,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
cambio_inr,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
cambio_usd,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
juros_selic,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
yield_3m,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
yield_6m,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
yield_1y,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
yield_2y,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
yield_5y,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
yield_10y,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,level,1,166,2012-03-01,2025-12-01,FALSE,nao_sazonal
base_monetary_base,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,log_level,2,166,2012-03-01,2025-12-01,TRUE,ajustada_completo
base_money_supply,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,log_level,2,166,2012-03-01,2025-12-01,TRUE,ajustada_completo
base_demand_deposit,painel_historico,data/raw/raw_data.csv,NA,NA,NA,NA,log_level,2,166,2012-03-01,2025-12-01,TRUE,ajustada_completo
