variant,sample,block,n_series,share_panel,n_effective,share_effective,overweight,shock_share,commonality_mean
baseline,full,acoes,8,0.07547169811320754,1.7354065472488096,0.03477912753670248,2.170028504411507,0.10951090916971885,0.718747131900712
baseline,full,atividade_agregada,2,0.018867924528301886,1.8704615034734624,0.037485751845829016,0.5033358969536392,0.015096585171197403,0.46975090221285226
baseline,full,cambio,5,0.04716981132075472,1.5864590116315722,0.031794083285416316,1.4836034395868594,0.07160109350699516,0.6860301647562163
baseline,full,combustiveis,6,0.05660377358490566,4.070071782915109,0.0815679448979535,0.6939463002987319,0.032938459310138626,0.34808442381911814
baseline,full,commodities,3,0.02830188679245283,2.474591613023542,0.049593069385983395,0.5706822978061499,0.03211201381211382,0.4095960548139588
baseline,full,confianca,2,0.018867924528301886,1.9146273425215652,0.03837087547951277,0.49172515071687567,0.010090523424092461,0.35482443135373826
baseline,full,credito_existente,10,0.09433962264150944,5.235249083146598,0.10491915905112427,0.8991648760312718,0.10609275529382593,0.477330806530465
baseline,full,curva,6,0.05660377358490566,1.6430490818899979,0.03292819982655125,1.719006015605624,0.10631378384810393,0.7854935591680049
baseline,full,energia,4,0.03773584905660377,2.436167308579475,0.04882301133423301,0.7729111340198038,0.01848072099593865,0.281868662212654
baseline,full,epu,8,0.07547169811320754,5.617878668643942,0.1125874043821244,0.6703387339586829,0.07277333279126605,0.28078087417766306
baseline,full,industria,12,0.11320754716981132,3.213024649655,0.06439193988640561,1.7581012059820182,0.088478229199278,0.5144551682149702
baseline,full,monetario,7,0.0660377358490566,3.0030012301773605,0.06018287930444162,1.0972844206239711,0.04400648437164521,0.5249270780044412
baseline,full,politica,2,0.018867924528301886,1.000294269319664,0.02004680806468882,0.9411934542106251,0.02022275103165224,0.6907533230125349
baseline,full,precos,11,0.10377358490566038,4.928642243175725,0.09877447876979337,1.050611313753607,0.12598304580843836,0.4427797980670144
baseline,full,risco_externo,4,0.03773584905660377,2.567623721608858,0.05145751756075058,0.7333398664646609,0.040266924928989416,0.42262088571996337
baseline,full,trabalho,14,0.1320754716981132,5.001918949458962,0.10024301069237623,1.3175529225017373,0.08919058516503257,0.48228008145735995
baseline,full,vendas,2,0.018867924528301886,1.5994651776379512,0.032054738696113305,0.588615764651036,0.016841802171573567,0.6043124325575614
baseline,pre_covid,acoes,8,0.07547169811320754,1.8302237579017453,0.03431501308357599,2.1993783866377177,0.11174624947242941,0.7150332268676981
baseline,pre_covid,atividade_agregada,2,0.018867924528301886,1.913649621758761,0.035879171344227204,0.5258740327997472,0.015548011983286666,0.38889760220129743
baseline,pre_covid,cambio,5,0.04716981132075472,1.547647863479572,0.029016974812388484,1.625593695612131,0.09818075525834893,0.7398236173541863
baseline,pre_covid,combustiveis,6,0.05660377358490566,3.9772565786524687,0.07456990487855146,0.7590699448670828,0.03944428773848946,0.4222342479456235
baseline,pre_covid,commodities,3,0.02830188679245283,2.063854499918693,0.038695374738496394,0.7314023183317689,0.04996648269114529,0.5384489042466676
baseline,pre_covid,confianca,2,0.018867924528301886,1.9326186206053482,0.036234822635930045,0.5207124847243674,0.009800381082482988,0.3423263472799213
baseline,pre_covid,credito_existente,10,0.09433962264150944,4.9569441482132035,0.09293814626005042,1.0150796679066263,0.09326561080955179,0.462205949530311
baseline,pre_covid,curva,6,0.05660377358490566,1.675929714382259,0.03142214159765506,1.8013976994212844,0.1257340370142308,0.722719107813989
baseline,pre_covid,energia,4,0.03773584905660377,2.2211908387068697,0.04164528646416861,0.9061253327929801,0.013323071203008477,0.30128130046608703
baseline,pre_covid,epu,8,0.07547169811320754,6.248217693709238,0.11714833827447992,0.6442404495433515,0.02246558567106461,0.13578311262014894
baseline,pre_covid,industria,12,0.11320754716981132,3.8541486597597805,0.07226174456249397,1.566631802971575,0.07447055053569934,0.5461221325622624
baseline,pre_covid,monetario,7,0.0660377358490566,4.072175642679075,0.07634955007761057,0.864939423767765,0.036838233668891364,0.4087967056778122
baseline,pre_covid,politica,2,0.018867924528301886,1.0008012278163507,0.018764103065708675,1.0055329829637818,0.03759742935441101,0.5625344537652349
baseline,pre_covid,precos,11,0.10377358490566038,4.597049436018363,0.08619045122857834,1.204003267490169,0.08840944296348084,0.4992925113481526
baseline,pre_covid,risco_externo,4,0.03773584905660377,2.6266749486556527,0.049247740796870824,0.7662452824435245,0.045260811946488046,0.4025555901108911
baseline,pre_covid,trabalho,14,0.1320754716981132,7.018442659772448,0.1315893483824772,1.003694245177224,0.12384838965349697,0.39748535390116885
baseline,pre_covid,vendas,2,0.018867924528301886,1.7991222178496697,0.03373188779673681,0.5593497951255236,0.014100668953493139,0.5637527472674273
drop_near_duplicates,full,acoes,7,0.0673076923076923,1.8553029585114096,0.03709305113717123,1.8145633816637627,0.09850050932553146,0.6770007067098428
drop_near_duplicates,full,atividade_agregada,2,0.019230769230769232,1.8704615034734624,0.03739611575573556,0.5142450985118622,0.015486598316410995,0.47280711691177923
drop_near_duplicates,full,cambio,5,0.04807692307692308,1.5864590116315722,0.03171805713752067,1.5157587638005354,0.07267951726599792,0.6852843772727553
drop_near_duplicates,full,combustiveis,6,0.057692307692307696,4.070071782915109,0.08137289927934936,0.7089867536150174,0.035395114133802884,0.3512260975591516
drop_near_duplicates,full,commodities,3,0.028846153846153848,2.474591613023542,0.049474482226420056,0.583051151786478,0.03483425400092609,0.4139723878894359
drop_near_duplicates,full,confianca,2,0.019230769230769232,1.9146273425215652,0.03827912287800188,0.5023827032834315,0.010664327417709703,0.3548651790098163
drop_near_duplicates,full,credito_existente,10,0.09615384615384616,5.235249083146598,0.10466827590939311,0.9186531957121609,0.11841063332592437,0.4856729841056574
drop_near_duplicates,full,curva,6,0.057692307692307696,1.6430490818899979,0.03284946177433325,1.756263408168997,0.10820406830525484,0.777550439186123
drop_near_duplicates,full,energia,4,0.038461538461538464,2.436167308579475,0.04870626554077559,0.789663055348382,0.01847065836264499,0.28140082674091543
drop_near_duplicates,full,epu,8,0.07692307692307693,5.617878668643942,0.11231818489937026,0.68486752160387,0.07183711219811537,0.28415685315278555
drop_near_duplicates,full,industria,12,0.11538461538461539,3.213024649655,0.06423796560442538,1.79620593988217,0.09369488379174068,0.5157649856577596
drop_near_duplicates,full,monetario,7,0.0673076923076923,3.0030012301773605,0.060038969746121884,1.121066743688418,0.05028951785887557,0.5260080105479225
drop_near_duplicates,full,politica,1,0.009615384615384616,1,0.019992988728338254,0.4809378300581782,0.010535303124140302,0.5848990713776333
drop_near_duplicates,full,precos,11,0.10576923076923077,4.928642243175725,0.09853828881382404,1.0733820532348466,0.10276882379707024,0.4426211190097485
drop_near_duplicates,full,risco_externo,4,0.038461538461538464,2.567623721608858,0.05133447212473982,0.7492341280549089,0.03987698124014997,0.4290922366847516
drop_near_duplicates,full,trabalho,14,0.1346153846153846,5.001918949458962,0.10000330917659456,1.3461093010199197,0.1003267811318561,0.4918711167035292
drop_near_duplicates,full,vendas,2,0.019230769230769232,1.5994651776379512,0.031978089267885104,0.6013733050048826,0.018024916403849216,0.6056530499997668
drop_near_duplicates,pre_covid,acoes,7,0.0673076923076923,1.9714511392818344,0.03686583403789612,1.8257471738874422,0.09574460194534153,0.6728277339350551
drop_near_duplicates,pre_covid,atividade_agregada,2,0.019230769230769232,1.913649621758761,0.0357849545224543,0.5373981743836598,0.014699290018504485,0.41019559801996364
drop_near_duplicates,pre_covid,cambio,5,0.04807692307692308,1.547647863479572,0.028940777758725833,1.661217382536569,0.10371464377432538,0.7404501030021212
drop_near_duplicates,pre_covid,combustiveis,6,0.057692307692307696,3.9772565786524687,0.07437408822018554,0.775704402876292,0.03477382007906808,0.42462033920431647
drop_near_duplicates,pre_covid,commodities,3,0.028846153846153848,2.063854499918693,0.0385937627143447,0.7474304607110046,0.04857988113572604,0.5369743600919554
