variant,sample,block,factor,squared_loading_share
baseline,full,acoes,F1,0.03548115172886783
baseline,full,acoes,F2,0.24254873697878407
baseline,full,acoes,F3,0.00215506953078014
baseline,full,acoes,F4,0.3895248066149432
baseline,full,acoes,F5,0.017297670789312384
baseline,full,acoes,F6,0.04736336528554382
baseline,full,acoes,F7,0.012878891784016102
baseline,full,atividade_agregada,F1,0.04223400994505022
baseline,full,atividade_agregada,F2,0.0016534602117692203
baseline,full,atividade_agregada,F3,0.006860955667068001
baseline,full,atividade_agregada,F4,0.005870202489983355
baseline,full,atividade_agregada,F5,0.011473881083215998
baseline,full,atividade_agregada,F6,0.004685508890347526
baseline,full,atividade_agregada,F7,0.020158007117228108
baseline,full,cambio,F1,0.027969991578354475
baseline,full,cambio,F2,0.11350442801881722
baseline,full,cambio,F3,0.06655535975816643
baseline,full,cambio,F4,0.05111762626404918
baseline,full,cambio,F5,0.1311516579425124
baseline,full,cambio,F6,0.052602969050098605
baseline,full,cambio,F7,0.026513539790096394
baseline,full,combustiveis,F1,0.09450179940883371
baseline,full,combustiveis,F2,0.004096199816353584
baseline,full,combustiveis,F3,0.017739868482533873
baseline,full,combustiveis,F4,0.02342038596997864
baseline,full,combustiveis,F5,0.005748025237427549
baseline,full,combustiveis,F6,0.038815035695667105
baseline,full,combustiveis,F7,0.013456526097064521
baseline,full,commodities,F1,9.878829383210604e-4
baseline,full,commodities,F2,0.039261746711180635
baseline,full,commodities,F3,0.010739108076892748
baseline,full,commodities,F4,0.04513894727578478
baseline,full,commodities,F5,0.010165539134997605
baseline,full,commodities,F6,0.09424106000156995
baseline,full,commodities,F7,0.011587047896754897
baseline,full,confianca,F1,0.03763929356692437
baseline,full,confianca,F2,6.57674073372892e-4
baseline,full,confianca,F3,0.0011791971585381556
baseline,full,confianca,F4,0.00880302553115277
baseline,full,confianca,F5,0.0017858059532455941
baseline,full,confianca,F6,0.0031384574196652187
baseline,full,confianca,F7,0.0012838006185431508
baseline,full,credito_existente,F1,0.017632804352261156
baseline,full,credito_existente,F2,0.1440348926948923
baseline,full,credito_existente,F3,0.11984280325790575
baseline,full,credito_existente,F4,0.1197563279029867
baseline,full,credito_existente,F5,0.04614343465383314
baseline,full,credito_existente,F6,0.22979816458351096
baseline,full,credito_existente,F7,0.06244770915263014
baseline,full,curva,F1,0.003107531548695392
baseline,full,curva,F2,0.2527931201610879
baseline,full,curva,F3,0.07827424180164269
baseline,full,curva,F4,0.12214925139524418
baseline,full,curva,F5,0.017638460911381496
baseline,full,curva,F6,0.05326622408311404
baseline,full,curva,F7,0.09667128430886998
baseline,full,energia,F1,0.05314909783103228
baseline,full,energia,F2,0.002036946742335863
baseline,full,energia,F3,0.004846358916663639
baseline,full,energia,F4,0.004497678861895677
baseline,full,energia,F5,0.015342027454220261
baseline,full,energia,F6,0.009854617270556516
baseline,full,energia,F7,0.01693541316895475
baseline,full,epu,F1,0.0033485510619564135
baseline,full,epu,F2,0.008857268666120261
baseline,full,epu,F3,0.0034295887340293194
baseline,full,epu,F4,0.024392070043926635
baseline,full,epu,F5,0.024638565023240386
baseline,full,epu,F6,0.027680155073389428
baseline,full,epu,F7,0.5128566052680714
baseline,full,industria,F1,0.3180862638931444
baseline,full,industria,F2,0.007727007694977512
baseline,full,industria,F3,0.03870546133114983
baseline,full,industria,F4,0.049255435921544806
baseline,full,industria,F5,0.0081494858372409
baseline,full,industria,F6,0.02139013671444358
