id,variable,block,transform,tcode,name,source,unit,source_frequency,file,producer,reason,n_months,first_month,last_month,is_seasonal,seasonal_status
13762,fiscal_dbgg,fiscal,level,1,Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008,BCB/SGS,Percentual,mensal,data/raw/panel_candidates/sgs_13762.csv,R/data_download/bcb.R,Série corrente; o SGS não permite reconstruir o vintage disponível em tempo real.,153,2013-01-01,2025-09-01,FALSE,nao_sazonal
4513,fiscal_dlsp,fiscal,level,1,Dívida Líquida do Setor Público (% PIB) - Total - Setor público consolidado,BCB/SGS,Percentual,mensal,data/raw/panel_candidates/sgs_4513.csv,R/data_download/bcb.R,Série corrente; o SGS não permite reconstruir o vintage disponível em tempo real.,153,2013-01-01,2025-09-01,TRUE,ajustada_completo
4649,fiscal_primary_balance,fiscal,level_no_log,1,NFSP sem desvalorização cambial - Fluxo mensal corrente - Resultado primário - Total - Setor público consolidado,BCB/SGS,Milhões de reais,mensal,data/raw/panel_candidates/sgs_4649.csv,R/data_download/bcb.R,Muda de sinal e não admite log; série corrente sem reconstrução de vintage em tempo real.,153,2013-01-01,2025-09-01,TRUE,ajustada_completo
23079,external_current_account_gdp,setor_externo,level,1,Transações Correntes acumulado em 12 meses em relação ao PIB - mensal,BCB/SGS,Percentual,mensal,data/raw/panel_candidates/sgs_23079.csv,R/data_download/bcb.R,Escolhida em vez do saldo mensal 22701 para manter o bloco pequeno.,153,2013-01-01,2025-09-01,FALSE,nao_sazonal
22708,external_exports,setor_externo,log_level,4,Exportação de bens - Balanço de Pagamentos - mensal,BCB/SGS,Milhões de dólares americanos,mensal,data/raw/panel_candidates/sgs_22708.csv,R/data_download/bcb.R,Total de bens no BPM6; o saldo 22707 é excluído para evitar identidade exata.,153,2013-01-01,2025-09-01,TRUE,ajustada_completo
22709,external_imports,setor_externo,log_level,4,Importação de bens - Balanço de Pagamentos - mensal,BCB/SGS,Milhões de dólares americanos,mensal,data/raw/panel_candidates/sgs_22709.csv,R/data_download/bcb.R,Total de bens no BPM6; o saldo 22707 é excluído para evitar identidade exata.,153,2013-01-01,2025-09-01,TRUE,ajustada_completo
3546,external_reserves,setor_externo,log_level,4,Reservas internacionais - Total - mensal,BCB/SGS,US$ (milhões),mensal,data/raw/panel_candidates/sgs_3546.csv,R/data_download/bcb.R,Conceito liquidez; nível mensal.,153,2013-01-01,2025-09-01,TRUE,ajustada_completo
FOCUS_IPCA12M,expect_focus_ipca12m,expectativas,level,1,Expectativa Focus para IPCA suavizado nos próximos 12 meses,BCB/Focus Olinda,Percentual,diária,data/raw/panel_candidates/focus_ipca12m.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês; sem revisão retrospectiva.,153,2013-01-01,2025-09-01,FALSE,nao_sazonal
FOCUS_SELIC_NY,expect_focus_selic_ny,expectativas,level,1,Expectativa Focus para Selic no fim do ano seguinte,BCB/Focus Olinda,Percentual ao ano,diária,data/raw/panel_candidates/focus_selic_ny.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês para horizonte de ano seguinte.,153,2013-01-01,2025-09-01,FALSE,nao_sazonal
FOCUS_PIB_NY,expect_focus_pib_ny,expectativas,level,1,Expectativa Focus para PIB Total no ano seguinte,BCB/Focus Olinda,Variação percentual anual,diária,data/raw/panel_candidates/focus_pib_ny.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês para horizonte de ano seguinte.,153,2013-01-01,2025-09-01,TRUE,ajustada_completo
FOCUS_CAMBIO_NY,expect_focus_cambio_ny,expectativas,level,1,Expectativa Focus para câmbio no fim do ano seguinte,BCB/Focus Olinda,R$/US$,diária,data/raw/panel_candidates/focus_cambio_ny.csv,R/data_download/focus_fred.R,Última mediana publicada dentro de cada mês para horizonte de ano seguinte.,153,2013-01-01,2025-09-01,FALSE,nao_sazonal
DGS2,us_dgs2,eua,level,1,"Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity, Quoted on an Investment Basis",Federal Reserve Board via FRED,Percentual,diária,data/raw/fred_dgs2.csv,R/data_download/focus_fred.R,Reutilizar o arquivo diário existente; não baixar uma duplicata candidata.,153,2013-01-01,2025-09-01,FALSE,nao_sazonal
