serie_a,serie_b,bloco_a,bloco_b,rho,rho_pre_covid,mesmo_bloco
yield_5y,yield_10y,curva,curva,0.9577728815581132,0.9552661391252205,TRUE
ind_bens_consumo,ind_bens_nao_duraveis,industria,industria,0.9471400968540918,0.95368018100244345,TRUE
cambio_cny,cambio_usd,cambio,cambio,0.9470388888199968,0.9553848568810425,TRUE
price_ipca,price_inpc,precos,precos,0.9449240006996421,0.9070253121158993,TRUE
ind_bens_consumo,ind_transformacao,industria,industria,0.9415557525279293,0.9526207872654903,TRUE
asset_ibov,asset_idiv,acoes,acoes,0.9377065051536209,0.9347927500876743,TRUE
cambio_inr,cambio_usd,cambio,cambio,0.9375427802511189,0.9089352602396779,TRUE
yield_1y,yield_2y,curva,curva,0.9250628850667294,0.9263862819495994,TRUE
yield_6m,yield_1y,curva,curva,0.9245717497190471,0.912096671996834,TRUE
yield_3m,yield_6m,curva,curva,0.9207627157231165,0.8998469738379753,TRUE
cambio_cny,cambio_inr,cambio,cambio,0.9155162985794243,0.8962794103274433,TRUE
asset_ibov,asset_ifnc,acoes,acoes,0.9128992201337389,0.9117392224706491,TRUE
ind_bens_duraveis,ind_transformacao,industria,industria,0.9073934039031588,0.8747307118051433,TRUE
trab_employment_southest,trab_employment_south,trabalho,trabalho,0.8974601700357465,0.6637294083332234,TRUE
cambio_eur,cambio_cny,cambio,cambio,0.8969230304143033,0.8941183560848852,TRUE
ind_bens_consumo,ind_bens_duraveis,industria,industria,0.8964324509191887,0.903804183817859,TRUE
trab_pop_forca_trab,trab_pop_ocupada,trabalho,trabalho,0.8943773467140663,0.4212852568520488,TRUE
asset_ibov,asset_smll,acoes,acoes,0.8912934598543065,0.8629755635541339,TRUE
yield_2y,yield_5y,curva,curva,0.8880741114412857,0.8904066021969704,TRUE
embi_perc,cds_5y,risco_externo,risco_externo,0.8841343331545036,0.9025361732897135,TRUE
cambio_eur,cambio_usd,cambio,cambio,0.8803235978905538,0.8988804375388614,TRUE
asset_imob,asset_smll,acoes,acoes,0.8785969971298765,0.8476283638340891,TRUE
asset_idiv,asset_ifnc,acoes,acoes,0.8660323772369956,0.8524842181029616,TRUE
ind_bens_nao_duraveis,ind_transformacao,industria,industria,0.8653206429849358,0.920187409952168,TRUE
base_demand_deposit,base_m1,monetario,monetario,0.8587432329440838,0.8567079296966559,TRUE
trab_employment_southest,trab_employment_central_west,trabalho,trabalho,0.8577972864330141,0.6039101410399242,TRUE
cambio_eur,cambio_inr,cambio,cambio,0.8552782470171547,0.8244415004783081,TRUE
asset_idiv,asset_smll,acoes,acoes,0.8248214011466057,0.828622912202204,TRUE
trab_employment_south,trab_employment_central_west,trabalho,trabalho,0.8242988834835185,0.6777941830444935,TRUE
price_ipca,price_ipc,precos,precos,0.818438033474211,0.8082793211651593,TRUE
price_ipc,price_inpc,precos,precos,0.8180193158188744,0.8428669452591577,TRUE
asset_ifnc,asset_smll,acoes,acoes,0.8083569578795117,0.7477789341354829,TRUE
