config,linkage,threshold,principal,series,block,group,group_size,kept,reason,kept_dentro_do_bloco
completa_0.90,complete,0.9,TRUE,cambio_eur,cambio,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,cambio_cny,cambio,1,3,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,cambio_ars,cambio,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,cambio_inr,cambio,1,3,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,cambio_usd,cambio,1,3,TRUE,prioridade,TRUE
completa_0.90,complete,0.9,TRUE,juros_selic,politica,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,yield_3m,curva,2,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,yield_6m,curva,2,2,TRUE,prioridade,TRUE
completa_0.90,complete,0.9,TRUE,yield_1y,curva,3,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,yield_2y,curva,3,2,TRUE,prioridade,TRUE
completa_0.90,complete,0.9,TRUE,yield_5y,curva,4,2,TRUE,prioridade,TRUE
completa_0.90,complete,0.9,TRUE,yield_10y,curva,4,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,base_monetary_base,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,base_money_supply,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,base_demand_deposit,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,base_savings_deposit,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,base_m1,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,base_m2,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,base_m3,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credito_agro,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credito_industria_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credito_construcao,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credito_comercio,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credito_transporte,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credito_pessoa_fisica,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,spread_credito_pj_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,spread_credito_pf_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,credit_outstanding,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,fin_inst_reserve_req,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,consumo_gasolina,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,consumo_glp,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,consumo_oleo_combustivel,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,consumo_oleo_diesel,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,consumo_demais_derivados,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,consumo_alcool,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,capacidade_instalada_industria,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,vendas_varejo,vendas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,vendas_servicos,vendas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_automoveis,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_leves,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_caminhoes,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_onibus,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_bens_consumo,industria,5,2,TRUE,medoide,TRUE
completa_0.90,complete,0.9,TRUE,ind_bens_duraveis,industria,6,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,ind_bens_nao_duraveis,industria,5,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,ind_bens_capital,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_transformacao,industria,6,2,TRUE,medoide,TRUE
completa_0.90,complete,0.9,TRUE,ind_min_extr,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ind_uti_cap_instalada,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,energia_comercial,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,energia_residencial,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,energia_industrial,energia,NA,1,TRUE,sem_grupo,TRUE
