variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
add_conjunto,full,5,3,6,125,153,147,2.5751678474564,xi_mp_le_3.84
add_conjunto,full,5,4,6,125,153,147,3.9314552148306103,xi_mp_3.84_10
add_conjunto,full,5,5,6,125,153,147,5.209772627063499,xi_mp_3.84_10
add_conjunto,full,6,3,6,125,153,147,2.695561469903092,xi_mp_le_3.84
add_conjunto,full,6,4,6,125,153,147,3.5524812707602846,xi_mp_le_3.84
add_conjunto,full,6,5,6,125,153,147,3.8354661540616846,xi_mp_le_3.84
add_conjunto,full,6,6,6,125,153,147,5.53991712383197,xi_mp_3.84_10
add_conjunto,full,7,3,6,125,153,147,4.5325102094584375,xi_mp_3.84_10
add_conjunto,full,7,4,6,125,153,147,3.960205411296904,xi_mp_3.84_10
add_conjunto,full,7,5,6,125,153,147,4.536091959686188,xi_mp_3.84_10
add_conjunto,full,7,6,6,125,153,147,4.6713185675815065,xi_mp_3.84_10
add_conjunto,full,7,7,6,125,153,147,6.60798122815444,xi_mp_3.84_10
add_conjunto,full,8,3,6,125,153,147,4.830332873647595,xi_mp_3.84_10
add_conjunto,full,8,4,6,125,153,147,4.841498550407495,xi_mp_3.84_10
add_conjunto,full,8,5,6,125,153,147,5.417339239518161,xi_mp_3.84_10
add_conjunto,full,8,6,6,125,153,147,5.4494457794582996,xi_mp_3.84_10
add_conjunto,full,8,7,6,125,153,147,5.554303167731405,xi_mp_3.84_10
add_conjunto,full,8,8,6,125,153,147,7.376150575631968,xi_mp_3.84_10
add_conjunto,pre_covid,5,3,6,125,84,78,7.688390896318237,xi_mp_3.84_10
add_conjunto,pre_covid,5,4,6,125,84,78,9.220841685207766,xi_mp_3.84_10
add_conjunto,pre_covid,5,5,6,125,84,78,9.4870365338672,xi_mp_3.84_10
add_conjunto,pre_covid,6,3,6,125,84,78,3.4497455036235145,xi_mp_le_3.84
add_conjunto,pre_covid,6,4,6,125,84,78,8.737268676769894,xi_mp_3.84_10
add_conjunto,pre_covid,6,5,6,125,84,78,8.755471850323874,xi_mp_3.84_10
add_conjunto,pre_covid,6,6,6,125,84,78,8.373260659515909,xi_mp_3.84_10
add_conjunto,pre_covid,7,3,6,125,84,78,1.4931024107019901,xi_mp_le_3.84
add_conjunto,pre_covid,7,4,6,125,84,78,1.462196203854391,xi_mp_le_3.84
add_conjunto,pre_covid,7,5,6,125,84,78,14.708721097761709,xi_mp_ge_10
add_conjunto,pre_covid,7,6,6,125,84,78,16.137214225760644,xi_mp_ge_10
add_conjunto,pre_covid,7,7,6,125,84,78,17.35230789408418,xi_mp_ge_10
add_conjunto,pre_covid,8,3,6,125,84,78,3.9056397398028992,xi_mp_3.84_10
add_conjunto,pre_covid,8,4,6,125,84,78,3.427060965538278,xi_mp_le_3.84
add_conjunto,pre_covid,8,5,6,125,84,78,8.755985872694893,xi_mp_3.84_10
add_conjunto,pre_covid,8,6,6,125,84,78,11.092373681263528,xi_mp_ge_10
add_conjunto,pre_covid,8,7,6,125,84,78,13.044196170056008,xi_mp_ge_10
add_conjunto,pre_covid,8,8,6,125,84,78,13.147208346885753,xi_mp_ge_10
add_credito,full,5,3,6,108,153,147,3.6021295703059697,xi_mp_le_3.84
add_credito,full,5,4,6,108,153,147,4.956049867982791,xi_mp_3.84_10
add_credito,full,5,5,6,108,153,147,5.871785977628716,xi_mp_3.84_10
add_credito,full,6,3,6,108,153,147,2.606487309737532,xi_mp_le_3.84
add_credito,full,6,4,6,108,153,147,4.520375661838654,xi_mp_3.84_10
add_credito,full,6,5,6,108,153,147,4.779462361444871,xi_mp_3.84_10
add_credito,full,6,6,6,108,153,147,6.889301946505741,xi_mp_3.84_10
add_credito,full,7,3,6,108,153,147,7.655827663203706,xi_mp_3.84_10
add_credito,full,7,4,6,108,153,147,6.670753779143596,xi_mp_3.84_10
add_credito,full,7,5,6,108,153,147,7.564631170650345,xi_mp_3.84_10
add_credito,full,7,6,6,108,153,147,7.618908949757223,xi_mp_3.84_10
add_credito,full,7,7,6,108,153,147,10.397362135199838,xi_mp_ge_10
add_credito,full,8,3,6,108,153,147,7.122054286384125,xi_mp_3.84_10
add_credito,full,8,4,6,108,153,147,6.8200616877069455,xi_mp_3.84_10
add_credito,full,8,5,6,108,153,147,8.003430177168047,xi_mp_3.84_10
add_credito,full,8,6,6,108,153,147,7.960355816656073,xi_mp_3.84_10
add_credito,full,8,7,6,108,153,147,8.68391238393043,xi_mp_3.84_10
add_credito,full,8,8,6,108,153,147,10.704956171932023,xi_mp_ge_10
