variant,sample,r,ic1,ic2,ic3
baseline,full,1,-0.11081668292578643,-0.1023746274823324,-0.13292983076615722
baseline,full,2,-0.17106135670502823,-0.15417724581812017,-0.21528765238576983
baseline,full,3,-0.20609383343765372,-0.18076766710729167,-0.2724332769587661
baseline,full,4,-0.21650058011178713,-0.18273235833797102,-0.30495317147327033
baseline,full,5,-0.2268511563328135,-0.1846408791155434,-0.3374168955346675
baseline,full,6,-0.22365190453754752,-0.1729995718768234,-0.3563307915797723
baseline,full,7,-0.21764917972381165,-0.15855479161963348,-0.3724412146064072
baseline,full,8,-0.2115321917374452,-0.14399574818981298,-0.3884373744604116
baseline,full,9,-0.1992869302175473,-0.12330843122646107,-0.39830526078088446
baseline,full,10,-0.1833252562432771,-0.0989047018087369,-0.40445673464698517
baseline,full,11,-0.16494170023608734,-0.07207909035809312,-0.4081863264801662
baseline,full,12,-0.14648832699698255,-0.04518366167553434,-0.41184610108143216
baseline,full,13,-0.12823971280219826,-0.01849299203729593,-0.4157106347270185
baseline,full,14,-0.11110878364690369,0.0070799925614526416,-0.42069285341209484
baseline,full,15,-0.09090055680261466,0.035730274849195665,-0.4225977744081768
baseline,full,16,-0.07070216845730104,0.0643707186379634,-0.42451253390323385
baseline,full,17,-0.048385278118091346,0.0951296644206272,-0.4243087914043948
baseline,full,18,-0.027692073729005173,0.12426492425316726,-0.4257287348556795
baseline,full,19,-0.007305572459457066,0.15309348096616948,-0.4274553814265023
baseline,full,20,0.01344240012789144,0.18228350899697188,-0.4288205566795247
baseline,pre_covid,1,-0.06616525366956043,-0.05345484898786776,-0.09594370098591198
baseline,pre_covid,2,-0.11123231824627475,-0.08581150888288941,-0.17078921287897786
baseline,pre_covid,3,-0.10961795780478303,-0.07148674375970504,-0.1989532997538377
baseline,pre_covid,4,-0.1004369972421742,-0.04959537851540352,-0.2195507865075804
baseline,pre_covid,5,-0.09195848858213534,-0.02840646517367207,-0.24085072516389316
baseline,pre_covid,6,-0.08905657684230689,-0.012794148752150902,-0.2677272607404162
baseline,pre_covid,7,-0.07283728072347995,0.016135552048368695,-0.2812864119379408
baseline,pre_covid,8,-0.052709224298663426,0.04897401315487793,-0.2909368028294758
baseline,pre_covid,9,-0.030678283293520625,0.08371535884171333,-0.29868430914068467
baseline,pre_covid,10,-0.009995655649106205,0.11710839116782035,-0.30778012881262184
baseline,pre_covid,11,0.013971476256962045,0.15378592775558142,-0.3135914442229051
baseline,pre_covid,12,0.03670437999239107,0.18922923617270304,-0.32063698780382754
baseline,pre_covid,13,0.06368099127402371,0.22891625213602818,-0.3234388238385466
baseline,pre_covid,14,0.08934863248901359,0.2672942980327109,-0.3275496299399081
baseline,pre_covid,15,0.1152475099032102,0.3059035801286003,-0.3314291998420631
baseline,pre_covid,16,0.14199510637128587,0.3453615812783686,-0.3344600506903389
baseline,pre_covid,17,0.16762749070797578,0.3837043702967511,-0.3386061136700007
baseline,pre_covid,18,0.19286552895600884,0.42165281322647674,-0.34314652273831925
baseline,pre_covid,19,0.21775637922496327,0.459254068177124,-0.3480341197857164
baseline,pre_covid,20,0.2393165785137874,0.4935246721476405,-0.3562523678132439
conjunto_completo_sem_duplicatas,full,1,-0.09471089731579346,-0.08599005282362503,-0.11764916042475936
conjunto_completo_sem_duplicatas,full,2,-0.15224633336185767,-0.1348046443775208,-0.19812285957978945
conjunto_completo_sem_duplicatas,full,3,-0.1881844119614136,-0.16202187848490832,-0.2569992012883113
conjunto_completo_sem_duplicatas,full,4,-0.19939384137704202,-0.16451046340836828,-0.2911468938129056
conjunto_completo_sem_duplicatas,full,5,-0.20323155509087332,-0.15962733263003115,-0.3179228706357028
conjunto_completo_sem_duplicatas,full,6,-0.1974251259546288,-0.1451000590016182,-0.3350547046084241
conjunto_completo_sem_duplicatas,full,7,-0.19012143323152203,-0.12907552178634307,-0.3506892749942833
conjunto_completo_sem_duplicatas,full,8,-0.17993789970490937,-0.11017114376756187,-0.3634440045766365
conjunto_completo_sem_duplicatas,full,9,-0.1672269594345176,-0.08873935900500174,-0.37367132741521064
conjunto_completo_sem_duplicatas,full,10,-0.1542833485292654,-0.06707490360758106,-0.38366597961892435
conjunto_completo_sem_duplicatas,full,11,-0.13859444746499028,-0.042665158051137575,-0.39091534166361525
conjunto_completo_sem_duplicatas,full,12,-0.12356992255031662,-0.018919788644295443,-0.39882907985790733
conjunto_completo_sem_duplicatas,full,13,-0.10748282833552014,0.005888150062669406,-0.40568024875207676
conjunto_completo_sem_duplicatas,full,14,-0.09050887267920871,0.03158295021114921,-0.4116445562047313
conjunto_completo_sem_duplicatas,full,15,-0.072783968745695593,0.0580286986368308,-0.416857915380184
conjunto_completo_sem_duplicatas,full,16,-0.05287234020793541,0.08666117166675957,-0.4198845499513897
conjunto_completo_sem_duplicatas,full,17,-0.03269882911074129,0.11555552725612195,-0.4226493019631613
conjunto_completo_sem_duplicatas,full,18,-0.013381377378370196,0.14359382348066152,-0.4262701133397563
conjunto_completo_sem_duplicatas,full,19,0.006080314920440255,0.17177636027164023,-0.4297466841499118
conjunto_completo_sem_duplicatas,full,20,0.026769632894353634,0.2011865227377223,-0.43199562928496427
conjunto_completo_sem_duplicatas,pre_covid,1,-0.06578640533171848,-0.05538063458395319,-0.09130616798067351
conjunto_completo_sem_duplicatas,pre_covid,2,-0.09935890123831193,-0.07854735974278135,-0.15039842653622199
conjunto_completo_sem_duplicatas,pre_covid,3,-0.1007412583413258,-0.06952394609802992,-0.17730054628819086
conjunto_completo_sem_duplicatas,pre_covid,4,-0.09124076403527104,-0.04961768104420988,-0.19331981463109113
conjunto_completo_sem_duplicatas,pre_covid,5,-0.08273316264818259,-0.03070430890935616,-0.2103319758929577
conjunto_completo_sem_duplicatas,pre_covid,6,-0.07508621115684577,-0.012651586670254011,-0.2282047870505759
conjunto_completo_sem_duplicatas,pre_covid,7,-0.05974348218576997,0.013096913048587067,-0.23838182072845504
conjunto_completo_sem_duplicatas,pre_covid,8,-0.04066980957381405,0.04257635640830826,-0.24482791076545424
conjunto_completo_sem_duplicatas,pre_covid,9,-0.022242016693520328,0.07140992003636737,-0.2519198805341155
conjunto_completo_sem_duplicatas,pre_covid,10,0.0020244985722549513,0.10608220604990781,-0.2531731279172953
conjunto_completo_sem_duplicatas,pre_covid,11,0.0273679175089776,0.14183139573439585,-0.2533494716295276
conjunto_completo_sem_duplicatas,pre_covid,12,0.05329493575081068,0.1781641847239942,-0.25294221603664957
conjunto_completo_sem_duplicatas,pre_covid,13,0.07763651882790612,0.2129115385488548,-0.2541203956085091
conjunto_completo_sem_duplicatas,pre_covid,14,0.10338633752379245,0.24906712799250652,-0.2538903395615777
conjunto_completo_sem_duplicatas,pre_covid,15,0.1262661005402863,0.28235266175676554,-0.2565303391940392
conjunto_completo_sem_duplicatas,pre_covid,16,0.15018936660596438,0.316681698570209,-0.258126835777316
conjunto_completo_sem_duplicatas,pre_covid,17,0.17374462397646218,0.3506427266884722,-0.26009134105577303
conjunto_completo_sem_duplicatas,pre_covid,18,0.19770847840643757,0.38501235186621297,-0.2616472492747528
conjunto_completo_sem_duplicatas,pre_covid,19,0.22309582895986813,0.42080547316740846,-0.26177966137027764
conjunto_completo_sem_duplicatas,pre_covid,20,0.24810601435880497,0.4562214293141107,-0.2622892386202955
drop_credito,full,1,-0.09636304038852998,-0.08767086890666502,-0.11922212249611726
drop_credito,full,2,-0.1550921243926979,-0.13770778142896797,-0.20081028860787245
drop_credito,full,3,-0.1869824989437528,-0.16090598449815788,-0.2555597452665146
drop_credito,full,4,-0.19807589092310213,-0.16330720499564227,-0.28951221935345123
drop_credito,full,5,-0.2026111199919392,-0.15915026258261433,-0.31690653052987555
drop_credito,full,6,-0.19710138573371816,-0.14494835684252833,-0.33425587837924176
drop_credito,full,7,-0.18938896424207674,-0.12854376386902194,-0.34940253899518775
drop_credito,full,8,-0.17966348098681195,-0.11012610913189225,-0.36253613784751015
drop_credito,full,9,-0.16749621339594067,-0.0892666700591559,-0.37322795236422607
drop_credito,full,10,-0.15443462466344005,-0.0675129098447903,-0.38302544573931274
drop_credito,full,11,-0.13786368395856985,-0.042249797658055144,-0.3893135871420299
drop_credito,full,12,-0.12146251770995464,-0.017156459927574974,-0.3957715030010019
drop_credito,full,13,-0.10577923424382141,0.0072189950204232245,-0.40294730164245585
drop_credito,full,14,-0.08922439582410635,0.032466004922003244,-0.40925154533032837
drop_credito,full,15,-0.07180977411928613,0.05857279810868832,-0.4146960057330954
drop_credito,full,16,-0.052373739810697595,0.08670100389914182,-0.418119053532094
drop_credito,full,17,-0.03232288395719163,0.11544403123451286,-0.42092727978617517
drop_credito,full,18,-0.01200561152569568,0.14445347514787388,-0.42346908946226647
drop_credito,full,19,0.007449150563073159,0.17260040871850757,-0.4268734094810851
drop_credito,full,20,0.027863224628770444,0.20170665426606993,-0.42931841752297495
drop_credito,pre_covid,1,-0.06750742985785071,-0.056897531675785096,-0.0934168755418727
drop_credito,pre_covid,2,-0.10082908211634906,-0.07960928575221782,-0.15264797348439302
drop_credito,pre_covid,3,-0.10183005254845653,-0.07000035800225968,-0.17955838960052245
drop_credito,pre_covid,4,-0.09220798533104946,-0.04976839260278698,-0.19584576806713735
drop_credito,pre_covid,5,-0.08211268610164002,-0.029063195191311897,-0.21165991452174987
drop_credito,pre_covid,6,-0.07463611246467489,-0.010976723372281172,-0.23009278656880672
drop_credito,pre_covid,7,-0.05967328105691572,0.014596006217543644,-0.24103940084506947
drop_credito,pre_covid,8,-0.039323690343275985,0.04555549511324897,-0.24659925581545178
drop_credito,pre_covid,9,-0.021206413048689088,0.07428267058990146,-0.2543914242048869
drop_credito,pre_covid,10,0.002597197549747521,0.10869617937040377,-0.2564972592904722
drop_credito,pre_covid,11,0.028025556087092784,0.14473443608981462,-0.2569783464371489
drop_credito,pre_covid,12,0.05357957386177936,0.1808983520465668,-0.2573337743464843
drop_credito,pre_covid,13,0.07763101976026265,0.21555969612711567,-0.2591917741320232
drop_credito,pre_covid,14,0.102944462961716,0.2514830375106347,-0.2597877766145915
drop_credito,pre_covid,15,0.12548540445385115,0.28463387718483535,-0.26315628080647846
drop_credito,pre_covid,16,0.14946286402959075,0.31922123494264065,-0.26508826691476084
drop_credito,pre_covid,17,0.1723515892731875,0.3527198583683031,-0.26810898735518607
drop_credito,pre_covid,18,0.19837621431134878,0.38935438158852986,-0.2679938080010469
drop_credito,pre_covid,19,0.22332728004591518,0.42491534550516197,-0.26895218795050235
drop_credito,pre_covid,20,0.2474873470305199,0.4596853106718324,-0.2707015666499195
drop_credito__imoveis,full,1,-0.09750768990325642,-0.08882991247111148,-0.12032656867362493
drop_credito__imoveis,full,2,-0.1572530482248845,-0.13989749336059462,-0.20289080576562152
drop_credito__imoveis,full,3,-0.18925958278233743,-0.16322625048590259,-0.25771621909344294
drop_credito__imoveis,full,4,-0.20087889900812966,-0.1661677892795499,-0.29215441408960374
drop_credito__imoveis,full,5,-0.20582998507544942,-0.16244109791472466,-0.319924378927292
drop_credito__imoveis,full,6,-0.19975687972935113,-0.14769021513648145,-0.33667015235156217
drop_credito__imoveis,full,7,-0.19249756803754875,-0.13175312601253408,-0.3522297194301282
drop_credito__imoveis,full,8,-0.18324938774890864,-0.1138271682917491,-0.36580041791185675
drop_credito__imoveis,full,9,-0.17152902303271245,-0.09342902614340776,-0.37689893196602897
drop_credito__imoveis,full,10,-0.1582006994493892,-0.07142292512793968,-0.38638948715307425
drop_credito__imoveis,full,11,-0.14186415486937298,-0.046408603115778435,-0.39287182134342646
drop_credito__imoveis,full,12,-0.12484626570049495,-0.020712936514755587,-0.398672810944917
drop_credito__imoveis,full,13,-0.10657570635944624,0.006235400258438162,-0.4032211303742368
drop_credito__imoveis,full,14,-0.08924342747699954,0.032245456573029796,-0.40870773026215845
drop_credito__imoveis,full,15,-0.07102060045070735,0.05914606103146691,-0.41330378200623497
drop_credito__imoveis,full,16,-0.051236763389320705,0.08760767552499837,-0.4163388237152169
drop_credito__imoveis,full,17,-0.031141856103074517,0.11638036024338971,-0.4190627951993391
drop_credito__imoveis,full,18,-0.010790235582731622,0.14540975819587776,-0.42153005344936467
drop_credito__imoveis,full,19,0.008949635475131279,0.17382740668588537,-0.42460906116187036
drop_credito__imoveis,full,20,0.0291534044021744,0.20270895304507341,-0.4272241710051957
drop_credito__imoveis,pre_covid,1,-0.06793301579321814,-0.05721815736342621,-0.09404182909506453
drop_credito__imoveis,pre_covid,2,-0.10206150885072007,-0.08063179199113621,-0.15427913545441285
drop_credito__imoveis,pre_covid,3,-0.10298040501070704,-0.07083582972133129,-0.1813068449162462
drop_credito__imoveis,pre_covid,4,-0.09378155008220906,-0.050922116363041336,-0.1982168032895946
