variant,sample,n_series,n_months,r_ic1,r_ic2,r_ic3,r_ic3_at_upper_bound,q_aw_ic2,p_aw
baseline,full,104,153,5,5,20,TRUE,3,6
baseline,pre_covid,104,84,2,2,20,TRUE,2,6
conjunto_completo_sem_duplicatas,full,123,153,5,4,20,TRUE,2,6
conjunto_completo_sem_duplicatas,pre_covid,123,84,3,2,20,TRUE,2,6
drop_credito,full,121,153,5,4,20,TRUE,2,6
drop_credito,pre_covid,121,84,3,2,20,TRUE,2,6
drop_credito__imoveis,full,120,153,5,4,20,TRUE,2,6
drop_credito__imoveis,pre_covid,120,84,3,2,20,TRUE,2,6
drop_eua,full,118,153,5,4,20,TRUE,2,6
drop_eua,pre_covid,118,84,3,2,20,TRUE,2,6
drop_eua__credito,full,116,153,5,4,20,TRUE,3,6
drop_eua__credito,pre_covid,116,84,3,2,20,TRUE,2,6
drop_eua__credito__imoveis,full,115,153,5,4,20,TRUE,3,6
drop_eua__credito__imoveis,pre_covid,115,84,3,2,20,TRUE,2,6
drop_eua__imoveis,full,117,153,5,4,20,TRUE,2,6
drop_eua__imoveis,pre_covid,117,84,3,2,20,TRUE,2,6
drop_expectativas,full,119,153,5,3,20,TRUE,2,6
drop_expectativas,pre_covid,119,84,3,2,20,TRUE,2,6
drop_expectativas__credito,full,117,153,5,3,20,TRUE,2,6
drop_expectativas__credito,pre_covid,117,84,2,2,20,TRUE,2,6
drop_expectativas__credito__imoveis,full,116,153,5,4,20,TRUE,3,6
drop_expectativas__credito__imoveis,pre_covid,116,84,2,2,20,TRUE,2,6
drop_expectativas__eua,full,114,153,5,3,20,TRUE,3,6
drop_expectativas__eua,pre_covid,114,84,3,2,20,TRUE,2,6
drop_expectativas__eua__credito,full,112,153,5,3,20,TRUE,3,6
drop_expectativas__eua__credito,pre_covid,112,84,3,2,20,TRUE,2,6
drop_expectativas__eua__credito__imoveis,full,111,153,5,3,20,TRUE,3,6
drop_expectativas__eua__credito__imoveis,pre_covid,111,84,3,2,20,TRUE,2,6
drop_expectativas__eua__imoveis,full,113,153,5,3,20,TRUE,3,6
drop_expectativas__eua__imoveis,pre_covid,113,84,3,2,20,TRUE,2,6
drop_expectativas__imoveis,full,118,153,5,4,20,TRUE,2,6
drop_expectativas__imoveis,pre_covid,118,84,3,2,20,TRUE,2,6
drop_fiscal,full,120,153,5,4,20,TRUE,2,6
drop_fiscal,pre_covid,120,84,2,2,20,TRUE,2,6
drop_fiscal__credito,full,118,153,5,4,20,TRUE,2,6
drop_fiscal__credito,pre_covid,118,84,2,2,20,TRUE,2,6
drop_fiscal__credito__imoveis,full,117,153,5,4,20,TRUE,2,6
drop_fiscal__credito__imoveis,pre_covid,117,84,2,2,20,TRUE,2,6
drop_fiscal__eua,full,115,153,5,4,20,TRUE,2,6
drop_fiscal__eua,pre_covid,115,84,3,2,20,TRUE,2,6
drop_fiscal__eua__credito,full,113,153,5,4,20,TRUE,3,6
drop_fiscal__eua__credito,pre_covid,113,84,3,2,20,TRUE,2,6
drop_fiscal__eua__credito__imoveis,full,112,153,5,4,20,TRUE,2,6
drop_fiscal__eua__credito__imoveis,pre_covid,112,84,2,2,20,TRUE,2,6
drop_fiscal__eua__imoveis,full,114,153,5,4,20,TRUE,2,6
drop_fiscal__eua__imoveis,pre_covid,114,84,3,2,20,TRUE,2,6
drop_fiscal__expectativas,full,116,153,5,3,20,TRUE,2,6
drop_fiscal__expectativas,pre_covid,116,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__credito,full,114,153,5,3,20,TRUE,2,6
drop_fiscal__expectativas__credito,pre_covid,114,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__credito__imoveis,full,113,153,5,4,20,TRUE,3,6
drop_fiscal__expectativas__credito__imoveis,pre_covid,113,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__eua,full,111,153,5,3,20,TRUE,3,6
drop_fiscal__expectativas__eua,pre_covid,111,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__eua__credito,full,109,153,5,3,20,TRUE,3,6
drop_fiscal__expectativas__eua__credito,pre_covid,109,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__eua__credito__imoveis,full,108,153,5,3,20,TRUE,3,6
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,108,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__eua__imoveis,full,110,153,5,3,20,TRUE,3,6
drop_fiscal__expectativas__eua__imoveis,pre_covid,110,84,2,2,20,TRUE,2,6
drop_fiscal__expectativas__imoveis,full,115,153,5,4,20,TRUE,2,6
drop_fiscal__expectativas__imoveis,pre_covid,115,84,2,2,20,TRUE,2,6
drop_fiscal__imoveis,full,119,153,5,4,20,TRUE,2,6
drop_fiscal__imoveis,pre_covid,119,84,2,2,20,TRUE,2,6
