variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
baseline,full,5,3,6,104,153,147,3.2415336205057486,xi_mp_le_3.84
baseline,full,5,4,6,104,153,147,4.883710497888623,xi_mp_3.84_10
baseline,full,5,5,6,104,153,147,6.182997408831719,xi_mp_3.84_10
baseline,full,6,3,6,104,153,147,1.9872509469746502,xi_mp_le_3.84
baseline,full,6,4,6,104,153,147,4.4307185075430215,xi_mp_3.84_10
baseline,full,6,5,6,104,153,147,5.168301585472553,xi_mp_3.84_10
baseline,full,6,6,6,104,153,147,7.993486516924326,xi_mp_3.84_10
baseline,full,7,3,6,104,153,147,3.127556975592608,xi_mp_le_3.84
baseline,full,7,4,6,104,153,147,6.970708368240727,xi_mp_3.84_10
baseline,full,7,5,6,104,153,147,7.836658621639616,xi_mp_3.84_10
baseline,full,7,6,6,104,153,147,7.941778825997358,xi_mp_3.84_10
baseline,full,7,7,6,104,153,147,10.96677200547431,xi_mp_ge_10
baseline,full,8,3,6,104,153,147,7.881646908890779,xi_mp_3.84_10
baseline,full,8,4,6,104,153,147,7.628463626521136,xi_mp_3.84_10
baseline,full,8,5,6,104,153,147,8.834926428711979,xi_mp_3.84_10
baseline,full,8,6,6,104,153,147,8.67964313749306,xi_mp_3.84_10
baseline,full,8,7,6,104,153,147,9.032727338289694,xi_mp_3.84_10
baseline,full,8,8,6,104,153,147,11.4187278769509,xi_mp_ge_10
baseline,pre_covid,5,3,6,104,84,78,6.199416597240485,xi_mp_3.84_10
baseline,pre_covid,5,4,6,104,84,78,6.302932732010675,xi_mp_3.84_10
baseline,pre_covid,5,5,6,104,84,78,4.7922042729599195,xi_mp_3.84_10
baseline,pre_covid,6,3,6,104,84,78,6.7908708084495215,xi_mp_3.84_10
baseline,pre_covid,6,4,6,104,84,78,10.673696573955734,xi_mp_ge_10
baseline,pre_covid,6,5,6,104,84,78,10.3095939871951,xi_mp_ge_10
baseline,pre_covid,6,6,6,104,84,78,9.711030355156334,xi_mp_3.84_10
baseline,pre_covid,7,3,6,104,84,78,5.699358847419701,xi_mp_3.84_10
baseline,pre_covid,7,4,6,104,84,78,11.19594791672087,xi_mp_ge_10
baseline,pre_covid,7,5,6,104,84,78,10.166452637117478,xi_mp_ge_10
baseline,pre_covid,7,6,6,104,84,78,9.690025284690218,xi_mp_3.84_10
baseline,pre_covid,7,7,6,104,84,78,9.756611223967369,xi_mp_3.84_10
baseline,pre_covid,8,3,6,104,84,78,2.9496643780034257,xi_mp_le_3.84
baseline,pre_covid,8,4,6,104,84,78,3.9502106503229015,xi_mp_3.84_10
baseline,pre_covid,8,5,6,104,84,78,6.325710638071679,xi_mp_3.84_10
baseline,pre_covid,8,6,6,104,84,78,4.765433343540558,xi_mp_3.84_10
baseline,pre_covid,8,7,6,104,84,78,4.763412716279091,xi_mp_3.84_10
baseline,pre_covid,8,8,6,104,84,78,4.465055517442689,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,5,3,6,123,153,147,2.4660005634398443,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,full,5,4,6,123,153,147,4.1787532252674024,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,5,5,6,123,153,147,5.169840346993228,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,6,3,6,123,153,147,3.0780774747927033,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,full,6,4,6,123,153,147,3.6901252902225106,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,full,6,5,6,123,153,147,4.123290611515498,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,6,6,6,123,153,147,5.73129767100295,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,7,3,6,123,153,147,4.9279877916360375,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,7,4,6,123,153,147,4.09265820585342,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,7,5,6,123,153,147,4.531234772236819,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,7,6,6,123,153,147,4.7407575865647225,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,7,7,6,123,153,147,6.609611534695935,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,8,3,6,123,153,147,4.968832160491034,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,8,4,6,123,153,147,5.1024198813371555,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,8,5,6,123,153,147,5.580349230679993,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,8,6,6,123,153,147,5.609308560337256,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,8,7,6,123,153,147,5.550149500685897,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,full,8,8,6,123,153,147,7.359274915337446,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,5,3,6,123,84,78,8.399579363173192,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,5,4,6,123,84,78,9.928770504410968,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,5,5,6,123,84,78,9.305642280077771,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,6,3,6,123,84,78,6.026917746884101,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,6,4,6,123,84,78,10.44440617777716,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,6,5,6,123,84,78,10.467541887372844,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,6,6,6,123,84,78,9.37693719273774,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,7,3,6,123,84,78,0.9101778161187144,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,pre_covid,7,4,6,123,84,78,0.8831300924753368,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,pre_covid,7,5,6,123,84,78,17.235518687963307,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,7,6,6,123,84,78,17.588671186769343,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,7,7,6,123,84,78,18.09964596591357,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,8,3,6,123,84,78,1.9051009614341174,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,pre_covid,8,4,6,123,84,78,2.582551681395299,xi_mp_le_3.84
conjunto_completo_sem_duplicatas,pre_covid,8,5,6,123,84,78,5.435744793637236,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,8,6,6,123,84,78,10.123449971059639,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,8,7,6,123,84,78,11.401261682275,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,8,8,6,123,84,78,11.426917441317155,xi_mp_ge_10
drop_credito,full,5,3,6,121,153,147,2.321573053411566,xi_mp_le_3.84
drop_credito,full,5,4,6,121,153,147,4.25023240517987,xi_mp_3.84_10
drop_credito,full,5,5,6,121,153,147,5.600749935733437,xi_mp_3.84_10
