variant,sample,n_series,n_months,n_obs_align,r,q,p,xi_mp,f_robust_mp,impact_mp_pre,mosw_class
baseline,full,106,153,147,7,6,6,7.647789722807889,7.954660744137921,5.329710784620142e-5,xi_mp_3.84_10
baseline,pre_covid,106,84,78,7,6,6,11.534896821694216,6.264391345021919,5.0561368258530826e-5,xi_mp_ge_10
drop_near_duplicates,full,104,153,147,7,6,6,7.941778825997358,8.01727475960494,5.5979590022514096e-5,xi_mp_3.84_10
drop_near_duplicates,pre_covid,104,84,78,7,6,6,9.690025284690218,5.806293880371383,4.821588677330991e-5,xi_mp_3.84_10
add_fiscal,full,109,153,147,7,6,6,6.388507387999098,6.402631687431976,5.013114663919036e-5,xi_mp_3.84_10
add_fiscal,pre_covid,109,84,78,7,6,6,13.733397040680114,7.4967752402815595,5.4061654605080864e-5,xi_mp_ge_10
add_setor_externo,full,110,153,147,7,6,6,7.375481623171399,7.5516542398137565,5.617190526689274e-5,xi_mp_3.84_10
add_setor_externo,pre_covid,110,84,78,7,6,6,11.849723190014691,6.62726109708253,5.3758082033976653e-5,xi_mp_ge_10
add_expectativas,full,110,153,147,7,6,6,8.35689944677467,9.300996695132216,6.782815063315644e-5,xi_mp_3.84_10
add_expectativas,pre_covid,110,84,78,7,6,6,16.278276346982985,9.099274240471262,6.67753901541195e-5,xi_mp_ge_10
add_eua,full,111,153,147,7,6,6,5.963099108549191,5.914970603377579,4.754660003074087e-5,xi_mp_3.84_10
add_eua,pre_covid,111,84,78,7,6,6,15.344471648652648,7.41684009074878,4.833537923411505e-5,xi_mp_ge_10
add_credito,full,108,153,147,7,6,6,7.618908949757223,8.147040491264251,5.725734105896992e-5,xi_mp_3.84_10
add_credito,pre_covid,108,84,78,7,6,6,7.205290643418385,3.4056729542905653,3.553381970978372e-5,xi_mp_3.84_10
add_imoveis,full,107,153,147,7,6,6,7.373404713746587,7.6006887929810905,5.363797439476667e-5,xi_mp_3.84_10
add_imoveis,pre_covid,107,84,78,7,6,6,12.321128440418468,6.87320413555478,4.8955686304019306e-5,xi_mp_ge_10
add_conjunto,full,125,153,147,7,6,6,4.6713185675815065,4.660797180064579,5.3943106043287766e-5,xi_mp_3.84_10
add_conjunto,pre_covid,125,84,78,7,6,6,16.137214225760644,9.576177123921978,4.4655569496584844e-5,xi_mp_ge_10
